gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_blue,sr_green,sr_red,sr_nir,ndvi
Mappature_precedenti.2632,PRAL,03012038,583.4,62,20260330_105814_34_2514_3B,0.20245000000000002,0.21035,0.2351,0.27585000000000004,0.0798
Mappature_precedenti.2651,PRAL,03012133,98.3,11,20260330_105814_34_2514_3B,0.0876,0.1008,0.1072,0.2038,0.3106
Mappature_precedenti.2662,PRAL,03012133,264.9,28,20260330_105814_34_2514_3B,0.0835,0.0975,0.10490000000000001,0.21450000000000002,0.3431
Mappature_precedenti.2737,PRAL,03012133,1360.9,101,20260330_105814_34_2514_3B,0.0819,0.0936,0.1153,0.1434,0.1086
Mappature_precedenti.2740,PRAL,03012133,60.5,6,20260330_105814_34_2514_3B,0.11220000000000001,0.1306,0.1487,0.21655000000000002,0.1858
Mappature_precedenti.2785,PRAL,03012133,183.6,20,20260330_105814_34_2514_3B,0.0965,0.11040000000000001,0.1295,0.21445,0.247
Mappature_precedenti.2825,PRAL,03012133,117.7,13,20260330_105814_34_2514_3B,0.12430000000000001,0.1421,0.1673,0.23470000000000002,0.1677
Mappature_precedenti.2831,PRAL,03012133,54.1,6,20260330_105814_34_2514_3B,0.08285000000000001,0.0974,0.11040000000000001,0.18825,0.2607
Mappature_precedenti.2837,PRAL,03012133,53.4,6,20260330_105814_34_2514_3B,0.12225000000000001,0.13875,0.16,0.2235,0.1656
Mappature_precedenti.4903,PRAL,03012096,97.5,10,20260330_105814_34_2514_3B,0.08675000000000001,0.08665,0.10525000000000001,0.20815,0.3283
Mappature_precedenti.7073,PRAL,03012133,51.7,6,20260330_105814_34_2514_3B,0.06115,0.0668,0.07200000000000001,0.13870000000000002,0.3166
Mappature_precedenti.7221,PRAL,03012133,129.9,15,20260330_105814_34_2514_3B,0.0689,0.0779,0.0844,0.1627,0.3169
Mappature_precedenti.7241,PRAL,03012133,397.6,42,20260330_105814_34_2514_3B,0.1569,0.1781,0.20650000000000002,0.25135,0.098
Mappature_precedenti.1,PRAL,03012002,54.9,6,20260330_105816_37_2514_3B,0.09525,0.11225,0.12335,0.2412,0.3233
Mappature_precedenti.7,PRAL,03012002,83.6,10,20260330_105816_37_2514_3B,0.0738,0.082,0.0883,0.18045,0.3429
Mappature_precedenti.8,PRAL,03012002,1299.8,136,20260330_105816_37_2514_3B,0.1816,0.18605000000000002,0.19140000000000001,0.23335,0.0988
Mappature_precedenti.10,PRAL,03012002,94.2,8,20260330_105816_37_2514_3B,0.09525,0.09345,0.09090000000000001,0.1839,0.3384
Mappature_precedenti.18,PRAL,03012002,351.2,45,20260330_105816_37_2514_3B,0.1646,0.16920000000000002,0.1781,0.2281,0.1231
Mappature_precedenti.21,PRAL,03012002,1085.0,113,20260330_105816_37_2514_3B,0.2147,0.2369,0.24300000000000002,0.2842,0.0781
Mappature_precedenti.25,PRAL,03012002,234.4,32,20260330_105816_37_2514_3B,0.08080000000000001,0.08850000000000001,0.09835,0.19920000000000002,0.3389
Mappature_precedenti.35,PRAL,03012002,131.3,15,20260330_105816_37_2514_3B,0.2238,0.24150000000000002,0.2541,0.3151,0.1072
Mappature_precedenti.36,PRAL,03012002,121.8,13,20260330_105816_37_2514_3B,0.07970000000000001,0.0857,0.09480000000000001,0.1809,0.3123
Mappature_precedenti.39,PRAL,03012002,251.3,24,20260330_105816_37_2514_3B,0.13065000000000002,0.13745000000000002,0.14615,0.19645,0.1468
Mappature_precedenti.40,PRAL,03012002,101.7,8,20260330_105816_37_2514_3B,0.10265,0.11335,0.12390000000000001,0.21585000000000001,0.2706
Mappature_precedenti.42,PRAL,03012002,940.9,106,20260330_105816_37_2514_3B,0.10545,0.12145,0.13015000000000002,0.2228,0.2625
Mappature_precedenti.43,PRAL,03012002,151.2,18,20260330_105816_37_2514_3B,0.09175,0.10815000000000001,0.12015,0.2111,0.2746
Mappature_precedenti.44,PRAL,03012002,144.1,16,20260330_105816_37_2514_3B,0.09295,0.10485,0.11800000000000001,0.22575,0.3135
Mappature_precedenti.46,PRAL,03012002,165.1,26,20260330_105816_37_2514_3B,0.13715,0.14625000000000002,0.16175,0.2492,0.2128
Mappature_precedenti.53,PRAL,03012002,1430.2,154,20260330_105816_37_2514_3B,0.11625,0.13035,0.14395,0.2401,0.2504
Mappature_precedenti.57,PRAL,03012002,96.9,11,20260330_105816_37_2514_3B,0.07150000000000001,0.0859,0.0966,0.1678,0.2693
Mappature_precedenti.59,PRAL,03012002,144.1,17,20260330_105816_37_2514_3B,0.0916,0.1027,0.11620000000000001,0.223,0.3149
Mappature_precedenti.61,PRAL,03012002,66.1,7,20260330_105816_37_2514_3B,0.0777,0.08940000000000001,0.0921,0.1938,0.3557
Mappature_precedenti.65,PRAL,03012002,57.6,7,20260330_105816_37_2514_3B,0.0883,0.092,0.1051,0.1986,0.3079
Mappature_precedenti.75,PRAL,03012002,112.4,13,20260330_105816_37_2514_3B,0.09530000000000001,0.10830000000000001,0.1212,0.1953,0.2341
Mappature_precedenti.77,PRAL,03012002,549.5,61,20260330_105816_37_2514_3B,0.08560000000000001,0.097,0.10890000000000001,0.2107,0.3185
Mappature_precedenti.260,PRAL,03012025,1790.2,197,20260330_105816_37_2514_3B,0.1227,0.1361,0.1545,0.21660000000000001,0.1673
Mappature_precedenti.261,PRAL,03012025,92.0,11,20260330_105816_37_2514_3B,0.0626,0.07880000000000001,0.0854,0.202,0.4057
Mappature_precedenti.262,PRAL,03012033,80.9,8,20260330_105816_37_2514_3B,0.13615,0.1545,0.16735,0.23985,0.178
Mappature_precedenti.264,PRAL,03012033,258.1,32,20260330_105816_37_2514_3B,0.2511,0.2752,0.28350000000000003,0.32995,0.0757
Mappature_precedenti.266,PRAL,03012033,890.8,100,20260330_105816_37_2514_3B,0.2341,0.25485,0.2619,0.29595,0.061
