gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_coastalblue,sr_blue,sr_greeni,sr_green,sr_yellow,sr_red,sr_rededge,sr_nir,ndvi
Mappatura_2020.6391,Mappatura_2020,03108029,82.6,9,20260512_101810_38_2553_3B,0.0867,0.10540000000000001,0.1262,0.1293,0.13390000000000002,0.13570000000000002,0.15960000000000002,0.2561,0.3073
Mappatura_2020.6402,Mappatura_2020,03108029,588.7,66,20260512_101810_38_2553_3B,0.09405000000000001,0.1105,0.1283,0.1346,0.14255,0.14980000000000002,0.16385,0.2349,0.2212
Mappatura_2020.4999,Mappatura_2020,03108028,62.4,6,20260512_101812_73_2553_3B,0.0762,0.08825000000000001,0.10980000000000001,0.11645000000000001,0.1263,0.13265000000000002,0.1512,0.22295,0.2539
Mappatura_2020.5003,Mappatura_2020,03108028,116.7,13,20260512_101812_73_2553_3B,0.0877,0.1082,0.12890000000000001,0.1321,0.13140000000000002,0.1477,0.151,0.2112,0.1769
Mappatura_2020.5007,Mappatura_2020,03108028,82.2,9,20260512_101812_73_2553_3B,0.09380000000000001,0.1095,0.1359,0.1426,0.1515,0.155,0.1756,0.23290000000000002,0.2008
Mappatura_2020.5008,Mappatura_2020,03108028,936.7,105,20260512_101812_73_2553_3B,0.0942,0.10490000000000001,0.12430000000000001,0.1313,0.1408,0.1432,0.1582,0.2366,0.2459
Mappatura_2020.5010,Mappatura_2020,03108028,106.3,14,20260512_101812_73_2553_3B,0.0756,0.08750000000000001,0.10525000000000001,0.11135,0.11785000000000001,0.1183,0.13,0.192,0.2375
Mappatura_2020.5013,Mappatura_2020,03108028,236.8,26,20260512_101812_73_2553_3B,0.22340000000000002,0.26885000000000003,0.29915,0.30125,0.2914,0.308,0.3015,0.35855000000000004,0.0758
Mappatura_2020.5014,Mappatura_2020,03108028,611.6,69,20260512_101812_73_2553_3B,0.0883,0.1051,0.1218,0.1275,0.1346,0.1404,0.154,0.21680000000000002,0.2139
Mappatura_2020.5020,Mappatura_2020,03108028,87.5,11,20260512_101812_73_2553_3B,0.08120000000000001,0.1013,0.12050000000000001,0.128,0.1254,0.138,0.14730000000000001,0.22920000000000001,0.2484
Mappatura_2020.5022,Mappatura_2020,03108028,264.5,29,20260512_101812_73_2553_3B,0.0651,0.0786,0.0903,0.097,0.1075,0.1105,0.1263,0.1847,0.2514
Mappatura_2020.5023,Mappatura_2020,03108028,286.6,33,20260512_101812_73_2553_3B,0.1741,0.2146,0.2437,0.24450000000000002,0.2286,0.24780000000000002,0.2383,0.2594,0.0229
Mappatura_2020.5025,Mappatura_2020,03108028,170.7,19,20260512_101812_73_2553_3B,0.1631,0.2146,0.23770000000000002,0.23750000000000002,0.222,0.2591,0.2364,0.2884,0.0535
Mappatura_2020.5030,Mappatura_2020,03108028,730.5,82,20260512_101812_73_2553_3B,0.09175,0.11040000000000001,0.13105,0.1365,0.14275000000000002,0.1458,0.15805,0.22725,0.2183
Mappatura_2020.5033,Mappatura_2020,03108028,707.4,78,20260512_101812_73_2553_3B,0.2126,0.2626,0.29935,0.30015000000000003,0.28855000000000003,0.3045,0.28985,0.31170000000000003,0.0117
Mappatura_2020.5034,Mappatura_2020,03108028,56.6,7,20260512_101812_73_2553_3B,0.219,0.2617,0.3003,0.29760000000000003,0.28900000000000003,0.3138,0.29460000000000003,0.3461,0.0489
Mappatura_2020.5035,Mappatura_2020,03108028,4577.0,509,20260512_101812_73_2553_3B,0.0955,0.11330000000000001,0.1333,0.1396,0.151,0.1529,0.1683,0.2431,0.2278
Mappatura_2020.5037,Mappatura_2020,03108028,543.6,60,20260512_101812_73_2553_3B,0.1057,0.1257,0.14775000000000002,0.15755,0.17035,0.17355,0.18945,0.2506,0.1817
Mappatura_2020.5040,Mappatura_2020,03108028,47.2,6,20260512_101812_73_2553_3B,0.06545000000000001,0.0867,0.1041,0.10700000000000001,0.109,0.1226,0.1337,0.2296,0.3038
Mappatura_2020.5043,Mappatura_2020,03108028,55.4,7,20260512_101812_73_2553_3B,0.0737,0.0886,0.1019,0.10490000000000001,0.1136,0.117,0.1393,0.2086,0.2813
Mappatura_2020.5044,Mappatura_2020,03108028,114.2,13,20260512_101812_73_2553_3B,0.06760000000000001,0.078,0.0952,0.09960000000000001,0.1111,0.11660000000000001,0.1396,0.2104,0.2869
Mappatura_2020.5046,Mappatura_2020,03108028,726.9,80,20260512_101812_73_2553_3B,0.0859,0.1009,0.11900000000000001,0.12035000000000001,0.12825,0.13290000000000002,0.14730000000000001,0.23220000000000002,0.272
Mappatura_2020.5048,Mappatura_2020,03108028,1001.4,112,20260512_101812_73_2553_3B,0.08120000000000001,0.09870000000000001,0.11975000000000001,0.12295,0.13240000000000002,0.13720000000000002,0.15295,0.22555,0.2436
Mappatura_2020.5049,Mappatura_2020,03108028,167.4,17,20260512_101812_73_2553_3B,0.15990000000000001,0.18960000000000002,0.2116,0.2209,0.2422,0.23920000000000002,0.2641,0.2972,0.1081
