band,center_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
B1,443,0.86536,0.40231,0.11936,0.70729,0.18025,0.17697,0.21798,0.05549,0.02574,0.09383,0.81780,0.09303,0.28272,0.37983,0.47693
B2,490,0.88641,0.46636,0.13544,0.73546,0.21644,0.19936,0.24619,0.05892,0.02550,0.09611,0.83356,0.09180,0.31003,0.40609,0.50215
B3,560,0.90347,0.50943,0.15182,0.76376,0.22681,0.19919,0.29151,0.08614,0.02519,0.10057,0.83920,0.08763,0.34881,0.44126,0.53370
B4,665,0.90832,0.42498,0.14715,0.78002,0.18786,0.15510,0.31502,0.17427,0.02480,0.10112,0.81868,0.07767,0.37435,0.46335,0.55234
B5,705,0.90799,0.39415,0.14288,0.78437,0.18382,0.14650,0.31725,0.18386,0.02465,0.10250,0.81166,0.07476,0.37632,0.46493,0.55354
B6,740,0.90737,0.37666,0.14021,0.78542,0.18775,0.14676,0.31831,0.18816,0.02449,0.10331,0.80569,0.07195,0.37722,0.46558,0.55394
B7,783,0.90781,0.37453,0.14068,0.78288,0.19889,0.15772,0.31766,0.18360,0.02427,0.10315,0.79814,0.06823,0.37668,0.46520,0.55372
B8A,865,0.90735,0.35806,0.13988,0.76127,0.19212,0.15387,0.31247,0.17324,0.02413,0.10072,0.77454,0.06135,0.37196,0.46119,0.55042
B9,945,0.90370,0.33433,0.13662,0.70959,0.18152,0.15237,0.30960,0.17862,0.02477,0.09851,0.75705,0.05454,0.36901,0.45812,0.54724
B11,1610,0.89858,0.33805,0.14358,0.87340,0.56555,0.36953,0.33758,0.19698,0.02675,0.08571,0.56246,0.11575,0.39368,0.47783,0.56198
B12,2190,0.83232,0.20347,0.11720,0.70768,0.49429,0.33069,0.33711,0.17264,0.02714,0.07681,0.32106,0.12284,0.38663,0.46091,0.53519
