wavelength_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
350.0,0.79288,0.34877,0.08686,0.57314,0.09956,0.13568,0.15265,0.05504,0.02759,0.06659,0.32145,0.09309,0.21667,0.31271,0.40874
351.0,0.79222,0.34880,0.08687,0.57532,0.09833,0.13817,0.15266,0.05505,0.02760,0.06659,0.32147,0.09310,0.21661,0.31255,0.40848
352.0,0.79186,0.34882,0.08687,0.57893,0.09838,0.13965,0.15267,0.05505,0.02751,0.06660,0.32149,0.09311,0.21659,0.31247,0.40834
353.0,0.79157,0.34884,0.08688,0.58231,0.10043,0.14094,0.15283,0.05499,0.02742,0.06665,0.32090,0.09312,0.21670,0.31251,0.40833
354.0,0.79135,0.34887,0.08689,0.58391,0.10138,0.14230,0.15307,0.05491,0.02734,0.06674,0.32008,0.09312,0.21689,0.31264,0.40838
355.0,0.79139,0.35064,0.08750,0.58595,0.10230,0.14322,0.15333,0.05484,0.02726,0.06687,0.31935,0.09311,0.21714,0.31284,0.40855
356.0,0.79184,0.35234,0.08808,0.58877,0.10381,0.14456,0.15364,0.05478,0.02719,0.06706,0.31876,0.09310,0.21746,0.31319,0.40892
357.0,0.79210,0.35389,0.08857,0.59018,0.10561,0.14623,0.15398,0.05472,0.02713,0.06728,0.31828,0.09313,0.21779,0.31351,0.40922
358.0,0.79196,0.35523,0.08897,0.59260,0.10561,0.14778,0.15433,0.05465,0.02708,0.06749,0.31785,0.09321,0.21809,0.31374,0.40938
359.0,0.79263,0.35647,0.08933,0.59579,0.10547,0.14848,0.15469,0.05456,0.02703,0.06766,0.31739,0.09331,0.21848,0.31417,0.40986
360.0,0.79286,0.35772,0.08974,0.59859,0.10696,0.14899,0.15505,0.05445,0.02697,0.06780,0.31693,0.09341,0.21883,0.31450,0.41017
361.0,0.79339,0.35907,0.09026,0.60048,0.10790,0.14966,0.15544,0.05433,0.02691,0.06797,0.31651,0.09348,0.21923,0.31492,0.41062
362.0,0.79527,0.36048,0.09085,0.60275,0.10823,0.15054,0.15586,0.05424,0.02685,0.06821,0.31621,0.09353,0.21980,0.31572,0.41163
363.0,0.79571,0.36189,0.09146,0.60568,0.10878,0.15129,0.15632,0.05418,0.02681,0.06852,0.31602,0.09357,0.22026,0.31617,0.41208
364.0,0.79540,0.36322,0.09202,0.60750,0.11163,0.15171,0.15680,0.05412,0.02679,0.06883,0.31595,0.09361,0.22066,0.31645,0.41224
365.0,0.79526,0.36447,0.09253,0.60941,0.11201,0.15165,0.15726,0.05407,0.02679,0.06912,0.31597,0.09366,0.22106,0.31676,0.41246
366.0,0.79606,0.36565,0.09302,0.61182,0.11128,0.15097,0.15773,0.05402,0.02676,0.06937,0.31611,0.09373,0.22156,0.31731,0.41306
367.0,0.79719,0.36679,0.09348,0.61403,0.11413,0.15110,0.15822,0.05396,0.02671,0.06963,0.31634,0.09382,0.22212,0.31796,0.41381
368.0,0.79827,0.36793,0.09394,0.61650,0.11468,0.15161,0.15877,0.05390,0.02664,0.06991,0.31669,0.09391,0.22272,0.31865,0.41457
369.0,0.79934,0.36918,0.09442,0.61884,0.11418,0.15188,0.15938,0.05384,0.02660,0.07023,0.31719,0.09398,0.22338,0.31937,0.41537
370.0,0.80152,0.37057,0.09494,0.62080,0.11525,0.15204,0.16002,0.05380,0.02661,0.07059,0.31786,0.09401,0.22417,0.32040,0.41662
371.0,0.80307,0.37206,0.09547,0.62246,0.11524,0.15222,0.16069,0.05378,0.02664,0.07099,0.31876,0.09401,0.22493,0.32128,0.41764
372.0,0.80390,0.37355,0.09600,0.62460,0.11571,0.15231,0.16137,0.05379,0.02666,0.07141,0.31990,0.09401,0.22562,0.32200,0.41838
373.0,0.80471,0.37497,0.09649,0.62700,0.11703,0.15215,0.16206,0.05383,0.02665,0.07183,0.32127,0.09403,0.22633,0.32272,0.41912
374.0,0.80510,0.37628,0.09696,0.62862,0.11824,0.15189,0.16278,0.05389,0.02662,0.07222,0.32288,0.09405,0.22701,0.32336,0.41971
375.0,0.80569,0.37744,0.09741,0.63039,0.11865,0.15177,0.16352,0.05394,0.02658,0.07261,0.32471,0.09407,0.22774,0.32406,0.42039
376.0,0.80679,0.37843,0.09786,0.63248,0.11899,0.15177,0.16430,0.05397,0.02655,0.07304,0.32678,0.09407,0.22855,0.32492,0.42129
377.0,0.80822,0.37925,0.09830,0.63454,0.12006,0.15159,0.16513,0.05394,0.02653,0.07356,0.32909,0.09404,0.22943,0.32590,0.42236
378.0,0.81001,0.37995,0.09876,0.63620,0.12065,0.15141,0.16599,0.05389,0.02653,0.07416,0.33167,0.09400,0.23039,0.32699,0.42359
379.0,0.81171,0.38055,0.09923,0.63789,0.12089,0.15126,0.16686,0.05385,0.02656,0.07478,0.33457,0.09393,0.23134,0.32807,0.42480
380.0,0.81302,0.38108,0.09967,0.63983,0.12138,0.15117,0.16772,0.05385,0.02658,0.07537,0.33782,0.09384,0.23225,0.32904,0.42584
381.0,0.81425,0.38153,0.10005,0.64141,0.12354,0.15119,0.16857,0.05390,0.02659,0.07593,0.34146,0.09374,0.23314,0.32999,0.42684
382.0,0.81551,0.38196,0.10036,0.64318,0.12426,0.15125,0.16941,0.05395,0.02657,0.07650,0.34549,0.09365,0.23402,0.33094,0.42785
383.0,0.81667,0.38244,0.10063,0.64505,0.12417,0.15134,0.17027,0.05397,0.02653,0.07710,0.34991,0.09357,0.23491,0.33187,0.42883
