wavelength_nm,reflectance
350.00,0.026710
351.00,0.026712
352.00,0.026660
353.00,0.026606
354.00,0.026547
355.00,0.026485
356.00,0.026424
357.00,0.026374
358.00,0.026340
359.00,0.026319
360.00,0.026303
361.00,0.026286
362.00,0.026262
363.00,0.026225
364.00,0.026173
365.00,0.026118
366.00,0.026076
367.00,0.026059
368.00,0.026062
369.00,0.026079
370.00,0.026102
371.00,0.026120
372.00,0.026123
373.00,0.026105
374.00,0.026081
375.00,0.026072
376.00,0.026091
377.00,0.026130
378.00,0.026175
379.00,0.026212
380.00,0.026240
381.00,0.026259
382.00,0.026270
383.00,0.026270
384.00,0.026260
385.00,0.026239
386.00,0.026217
387.00,0.026206
388.00,0.026215
389.00,0.026240
390.00,0.026275
391.00,0.026313
392.00,0.026346
393.00,0.026365
394.00,0.026365
395.00,0.026357
396.00,0.026357
397.00,0.026375
398.00,0.026405
399.00,0.026432
400.00,0.026449
401.00,0.026454
402.00,0.026446
403.00,0.026428
404.00,0.026408
405.00,0.026394
406.00,0.026391
407.00,0.026389
408.00,0.026371
409.00,0.026328
410.00,0.026274
411.00,0.026231
412.00,0.026214
413.00,0.026213
414.00,0.026211
415.00,0.026195
416.00,0.026167
417.00,0.026133
418.00,0.026098
419.00,0.026064
420.00,0.026036
421.00,0.026013
422.00,0.025994
423.00,0.025972
424.00,0.025944
425.00,0.025912
426.00,0.025877
427.00,0.025843
428.00,0.025811
429.00,0.025781
430.00,0.025752
431.00,0.025727
432.00,0.025702
433.00,0.025679
434.00,0.025657
435.00,0.025635
436.00,0.025614
437.00,0.025594
438.00,0.025574
439.00,0.025555
440.00,0.025535
441.00,0.025512
442.00,0.025485
443.00,0.025459
444.00,0.025440
445.00,0.025429
446.00,0.025421
447.00,0.025407
448.00,0.025381
449.00,0.025349
450.00,0.025319
451.00,0.025297
452.00,0.025281
453.00,0.025268
454.00,0.025253
455.00,0.025235
456.00,0.025215
457.00,0.025191
458.00,0.025168
459.00,0.025148
460.00,0.025136
461.00,0.025125
462.00,0.025111
463.00,0.025088
464.00,0.025062
465.00,0.025036
466.00,0.025017
467.00,0.025002
