wavelength_nm,reflectance
350.00,0.054641
351.00,0.054644
352.00,0.054626
353.00,0.054609
354.00,0.054594
355.00,0.054581
356.00,0.054578
357.00,0.054593
358.00,0.054630
359.00,0.054681
360.00,0.054734
361.00,0.054780
362.00,0.054819
363.00,0.054852
364.00,0.054884
365.00,0.054927
366.00,0.054999
367.00,0.055110
368.00,0.055247
369.00,0.055391
370.00,0.055526
371.00,0.055648
372.00,0.055755
373.00,0.055847
374.00,0.055941
375.00,0.056057
376.00,0.056208
377.00,0.056381
378.00,0.056557
379.00,0.056722
380.00,0.056879
381.00,0.057032
382.00,0.057187
383.00,0.057341
384.00,0.057490
385.00,0.057633
386.00,0.057775
387.00,0.057927
388.00,0.058096
389.00,0.058279
390.00,0.058473
391.00,0.058672
392.00,0.058868
393.00,0.059049
394.00,0.059212
395.00,0.059366
396.00,0.059526
397.00,0.059703
398.00,0.059891
399.00,0.060078
400.00,0.060255
401.00,0.060418
402.00,0.060566
403.00,0.060697
404.00,0.060823
405.00,0.060956
406.00,0.061103
407.00,0.061259
408.00,0.061412
409.00,0.061556
410.00,0.061695
411.00,0.061840
412.00,0.061995
413.00,0.062157
414.00,0.062317
415.00,0.062472
416.00,0.062622
417.00,0.062770
418.00,0.062920
419.00,0.063076
420.00,0.063240
421.00,0.063415
422.00,0.063596
423.00,0.063776
424.00,0.063951
425.00,0.064122
426.00,0.064293
427.00,0.064469
428.00,0.064651
429.00,0.064842
430.00,0.065041
431.00,0.065247
432.00,0.065456
433.00,0.065664
434.00,0.065873
435.00,0.066083
436.00,0.066295
437.00,0.066507
438.00,0.066717
439.00,0.066925
440.00,0.067128
441.00,0.067328
442.00,0.067523
443.00,0.067715
444.00,0.067905
445.00,0.068096
446.00,0.068282
447.00,0.068459
448.00,0.068624
449.00,0.068780
450.00,0.068933
451.00,0.069087
452.00,0.069240
453.00,0.069386
454.00,0.069523
455.00,0.069651
456.00,0.069772
457.00,0.069888
458.00,0.070002
459.00,0.070118
460.00,0.070237
461.00,0.070355
462.00,0.070467
463.00,0.070570
464.00,0.070666
465.00,0.070762
466.00,0.070862
467.00,0.070966
468.00,0.071073
469.00,0.071182
470.00,0.071289
471.00,0.071393
472.00,0.071492
473.00,0.071589
474.00,0.071690
475.00,0.071796
476.00,0.071908
477.00,0.072024
478.00,0.072142
479.00,0.072263
480.00,0.072386
481.00,0.072512
482.00,0.072642
483.00,0.072776
484.00,0.072913
485.00,0.073054
486.00,0.073198
487.00,0.073344
488.00,0.073493
489.00,0.073646
490.00,0.073804
491.00,0.073965
492.00,0.074130
493.00,0.074297
494.00,0.074465
495.00,0.074632
496.00,0.074800
497.00,0.074968
498.00,0.075141
499.00,0.075320
500.00,0.075504
501.00,0.075691
502.00,0.075878
503.00,0.076064
504.00,0.076247
505.00,0.076426
506.00,0.076604
507.00,0.076783
508.00,0.076966
509.00,0.077151
510.00,0.077340
511.00,0.077530
512.00,0.077720
513.00,0.077909
514.00,0.078095
515.00,0.078280
516.00,0.078469
517.00,0.078663
518.00,0.078861
519.00,0.079059
520.00,0.079257
521.00,0.079453
522.00,0.079648
523.00,0.079842
524.00,0.080037
525.00,0.080232
526.00,0.080430
527.00,0.080629
528.00,0.080827
529.00,0.081025
530.00,0.081224
531.00,0.081426
532.00,0.081634
533.00,0.081845
534.00,0.082058
535.00,0.082270
536.00,0.082482
537.00,0.082696
538.00,0.082912
539.00,0.083131
540.00,0.083350
541.00,0.083570
542.00,0.083789
543.00,0.084008
544.00,0.084228
545.00,0.084449
546.00,0.084674
547.00,0.084902
548.00,0.085131
549.00,0.085358
550.00,0.085582
551.00,0.085803
552.00,0.086023
553.00,0.086246
554.00,0.086471
555.00,0.086701
556.00,0.086935
557.00,0.087173
558.00,0.087412
559.00,0.087652
560.00,0.087892
561.00,0.088135
562.00,0.088378
563.00,0.088624
564.00,0.088869
565.00,0.089115
566.00,0.089361
567.00,0.089607
568.00,0.089853
569.00,0.090099
570.00,0.090343
571.00,0.090586
572.00,0.090826
573.00,0.091063
574.00,0.091297
575.00,0.091528
576.00,0.091758
577.00,0.091987
578.00,0.092216
579.00,0.092443
580.00,0.092668
581.00,0.092889
582.00,0.093106
583.00,0.093320
584.00,0.093532
585.00,0.093741
586.00,0.093949
587.00,0.094155
588.00,0.094355
589.00,0.094550
590.00,0.094738
591.00,0.094922
592.00,0.095103
593.00,0.095280
594.00,0.095454
595.00,0.095623
596.00,0.095790
597.00,0.095951
598.00,0.096109
599.00,0.096265
600.00,0.096419
601.00,0.096573
602.00,0.096724
603.00,0.096872
604.00,0.097013
605.00,0.097150
606.00,0.097283
607.00,0.097415
608.00,0.097547
609.00,0.097677
610.00,0.097806
611.00,0.097934
612.00,0.098063
613.00,0.098192
614.00,0.098322
615.00,0.098451
616.00,0.098580
617.00,0.098708
618.00,0.098834
619.00,0.098960
620.00,0.099085
621.00,0.099209
622.00,0.099334
623.00,0.099457
624.00,0.099578
625.00,0.099695
626.00,0.099809
627.00,0.099921
628.00,0.100033
629.00,0.100144
630.00,0.100257
631.00,0.100370
632.00,0.100484
633.00,0.100599
634.00,0.100713
635.00,0.100828
636.00,0.100941
637.00,0.101055
638.00,0.101169
639.00,0.101286
640.00,0.101408
641.00,0.101532
642.00,0.101657
643.00,0.101781
644.00,0.101904
645.00,0.102026
646.00,0.102147
647.00,0.102269
648.00,0.102392
649.00,0.102517
650.00,0.102643
651.00,0.102768
652.00,0.102892
653.00,0.103015
654.00,0.103141
655.00,0.103269
656.00,0.103398
657.00,0.103528
658.00,0.103656
659.00,0.103782
660.00,0.103908
661.00,0.104033
662.00,0.104158
663.00,0.104283
664.00,0.104410
665.00,0.104538
666.00,0.104667
667.00,0.104795
668.00,0.104924
669.00,0.105053
670.00,0.105181
671.00,0.105309
672.00,0.105439
673.00,0.105569
674.00,0.105702
675.00,0.105835
676.00,0.105970
677.00,0.106106
678.00,0.106242
679.00,0.106379
680.00,0.106517
681.00,0.106655
682.00,0.106794
683.00,0.106933
684.00,0.107071
685.00,0.107209
686.00,0.107346
687.00,0.107482
688.00,0.107619
689.00,0.107756
690.00,0.107895
691.00,0.108036
692.00,0.108177
693.00,0.108317
694.00,0.108456
695.00,0.108593
696.00,0.108730
697.00,0.108868
698.00,0.109007
699.00,0.109146
700.00,0.109287
701.00,0.109427
702.00,0.109568
703.00,0.109708
704.00,0.109849
705.00,0.109991
706.00,0.110135
707.00,0.110281
708.00,0.110427
709.00,0.110572
710.00,0.110717
711.00,0.110862
712.00,0.111005
713.00,0.111147
714.00,0.111289
715.00,0.111431
716.00,0.111574
717.00,0.111718
718.00,0.111863
719.00,0.112009
720.00,0.112154
721.00,0.112297
722.00,0.112439
723.00,0.112580
724.00,0.112719
725.00,0.112858
726.00,0.112998
727.00,0.113138
728.00,0.113278
729.00,0.113417
730.00,0.113552
731.00,0.113686
732.00,0.113819
733.00,0.113953
734.00,0.114089
735.00,0.114225
736.00,0.114363
737.00,0.114501
738.00,0.114637
739.00,0.114770
740.00,0.114901
741.00,0.115031
742.00,0.115159
743.00,0.115288
744.00,0.115417
745.00,0.115547
746.00,0.115677
747.00,0.115805
748.00,0.115931
749.00,0.116055
750.00,0.116179
751.00,0.116304
752.00,0.116429
753.00,0.116554
754.00,0.116680
755.00,0.116805
756.00,0.116930
757.00,0.117054
758.00,0.117177
759.00,0.117299
760.00,0.117422
761.00,0.117544
762.00,0.117664
763.00,0.117781
764.00,0.117895
765.00,0.118007
766.00,0.118118
767.00,0.118228
768.00,0.118338
769.00,0.118450
770.00,0.118561
771.00,0.118672
772.00,0.118783
773.00,0.118891
774.00,0.118998
775.00,0.119103
776.00,0.119207
777.00,0.119311
778.00,0.119415
779.00,0.119520
780.00,0.119625
781.00,0.119730
782.00,0.119834
783.00,0.119937
784.00,0.120037
785.00,0.120136
786.00,0.120234
787.00,0.120331
788.00,0.120427
789.00,0.120523
790.00,0.120618
791.00,0.120712
792.00,0.120804
793.00,0.120893
794.00,0.120982
795.00,0.121072
796.00,0.121164
797.00,0.121257
798.00,0.121351
799.00,0.121443
800.00,0.121534
801.00,0.121625
802.00,0.121716
803.00,0.121805
804.00,0.121893
805.00,0.121980
806.00,0.122065
807.00,0.122150
808.00,0.122233
809.00,0.122317
810.00,0.122403
811.00,0.122490
812.00,0.122578
813.00,0.122664
814.00,0.122745
815.00,0.122824
816.00,0.122906
817.00,0.122993
818.00,0.123084
819.00,0.123175
820.00,0.123264
821.00,0.123350
822.00,0.123434
823.00,0.123516
824.00,0.123595
825.00,0.123675
826.00,0.123755
827.00,0.123835
828.00,0.123913
829.00,0.123989
830.00,0.124064
831.00,0.124139
832.00,0.124217
833.00,0.124295
834.00,0.124374
835.00,0.124452
836.00,0.124531
837.00,0.124609
838.00,0.124688
839.00,0.124767
840.00,0.124846
841.00,0.124924
842.00,0.125001
843.00,0.125079
844.00,0.125158
845.00,0.125236
846.00,0.125312
847.00,0.125384
848.00,0.125454
849.00,0.125524
850.00,0.125595
851.00,0.125667
852.00,0.125738
853.00,0.125808
854.00,0.125877
855.00,0.125946
856.00,0.126015
857.00,0.126084
858.00,0.126154
859.00,0.126225
860.00,0.126295
861.00,0.126363
862.00,0.126430
863.00,0.126496
864.00,0.126563
865.00,0.126632
866.00,0.126704
867.00,0.126778
868.00,0.126851
869.00,0.126924
870.00,0.126997
871.00,0.127070
872.00,0.127143
873.00,0.127217
874.00,0.127291
875.00,0.127366
876.00,0.127442
877.00,0.127518
878.00,0.127596
879.00,0.127674
880.00,0.127754
881.00,0.127836
882.00,0.127918
883.00,0.128002
884.00,0.128087
885.00,0.128173
886.00,0.128260
887.00,0.128344
888.00,0.128425
889.00,0.128501
890.00,0.128575
891.00,0.128651
892.00,0.128732
893.00,0.128816
894.00,0.128903
895.00,0.128990
896.00,0.129077
897.00,0.129164
898.00,0.129252
899.00,0.129339
900.00,0.129426
901.00,0.129513
902.00,0.129599
903.00,0.129683
904.00,0.129765
905.00,0.129846
906.00,0.129927
907.00,0.130008
908.00,0.130090
909.00,0.130173
910.00,0.130257
911.00,0.130342
912.00,0.130429
913.00,0.130517
914.00,0.130606
915.00,0.130695
916.00,0.130781
917.00,0.130867
918.00,0.130954
919.00,0.131043
920.00,0.131132
921.00,0.131221
922.00,0.131308
923.00,0.131394
924.00,0.131482
925.00,0.131571
926.00,0.131661
927.00,0.131753
928.00,0.131845
929.00,0.131937
930.00,0.132027
931.00,0.132113
932.00,0.132200
933.00,0.132289
934.00,0.132384
935.00,0.132482
936.00,0.132580
937.00,0.132675
938.00,0.132769
939.00,0.132860
940.00,0.132951
941.00,0.133042
942.00,0.133135
943.00,0.133233
944.00,0.133332
945.00,0.133429
946.00,0.133520
947.00,0.133610
948.00,0.133700
949.00,0.133795
950.00,0.133894
951.00,0.133997
952.00,0.134101
