wavelength_nm,reflectance
350.00,0.027595
351.00,0.027597
352.00,0.027510
353.00,0.027424
354.00,0.027342
355.00,0.027264
356.00,0.027193
357.00,0.027130
358.00,0.027076
359.00,0.027025
360.00,0.026971
361.00,0.026909
362.00,0.026850
363.00,0.026810
364.00,0.026794
365.00,0.026787
366.00,0.026763
367.00,0.026707
368.00,0.026643
369.00,0.026604
370.00,0.026610
371.00,0.026640
372.00,0.026663
373.00,0.026653
374.00,0.026620
375.00,0.026580
376.00,0.026547
377.00,0.026529
378.00,0.026531
379.00,0.026555
380.00,0.026584
381.00,0.026595
382.00,0.026572
383.00,0.026527
384.00,0.026475
385.00,0.026432
386.00,0.026403
387.00,0.026391
388.00,0.026397
389.00,0.026409
390.00,0.026412
391.00,0.026397
392.00,0.026369
393.00,0.026340
394.00,0.026317
395.00,0.026297
396.00,0.026274
397.00,0.026244
398.00,0.026212
399.00,0.026184
400.00,0.026166
401.00,0.026156
402.00,0.026150
403.00,0.026145
404.00,0.026138
405.00,0.026124
406.00,0.026100
407.00,0.026073
408.00,0.026048
409.00,0.026031
410.00,0.026017
411.00,0.025999
412.00,0.025972
413.00,0.025945
414.00,0.025928
415.00,0.025929
416.00,0.025942
417.00,0.025956
418.00,0.025964
419.00,0.025964
420.00,0.025959
421.00,0.025950
422.00,0.025936
423.00,0.025917
424.00,0.025893
425.00,0.025866
426.00,0.025843
427.00,0.025826
428.00,0.025814
429.00,0.025809
430.00,0.025807
431.00,0.025805
432.00,0.025798
433.00,0.025784
434.00,0.025765
435.00,0.025750
436.00,0.025742
437.00,0.025739
438.00,0.025739
439.00,0.025737
440.00,0.025737
441.00,0.025738
442.00,0.025744
443.00,0.025749
444.00,0.025752
445.00,0.025748
446.00,0.025740
447.00,0.025730
448.00,0.025720
449.00,0.025713
450.00,0.025710
451.00,0.025711
452.00,0.025714
453.00,0.025716
454.00,0.025713
455.00,0.025707
456.00,0.025698
457.00,0.025688
458.00,0.025678
459.00,0.025672
460.00,0.025669
461.00,0.025668
462.00,0.025667
463.00,0.025661
464.00,0.025654
465.00,0.025645
466.00,0.025636
467.00,0.025628
468.00,0.025622
469.00,0.025617
470.00,0.025613
471.00,0.025611
472.00,0.025609
473.00,0.025606
474.00,0.025601
475.00,0.025593
476.00,0.025583
477.00,0.025572
478.00,0.025562
479.00,0.025554
480.00,0.025548
481.00,0.025544
482.00,0.025541
483.00,0.025536
484.00,0.025529
485.00,0.025520
486.00,0.025511
487.00,0.025503
488.00,0.025495
489.00,0.025487
490.00,0.025478
491.00,0.025469
492.00,0.025462
493.00,0.025459
494.00,0.025458
495.00,0.025455
496.00,0.025449
497.00,0.025441
498.00,0.025433
499.00,0.025428
500.00,0.025425
501.00,0.025421
502.00,0.025416
503.00,0.025410
504.00,0.025403
505.00,0.025397
506.00,0.025391
507.00,0.025388
508.00,0.025386
509.00,0.025385
510.00,0.025382
511.00,0.025377
512.00,0.025370
513.00,0.025363
514.00,0.025358
515.00,0.025354
516.00,0.025349
517.00,0.025343
518.00,0.025336
519.00,0.025329
520.00,0.025325
521.00,0.025322
522.00,0.025321
523.00,0.025321
524.00,0.025321
525.00,0.025320
526.00,0.025318
527.00,0.025315
528.00,0.025312
529.00,0.025309
530.00,0.025306
531.00,0.025301
532.00,0.025295
533.00,0.025288
534.00,0.025281
535.00,0.025276
536.00,0.025272
537.00,0.025268
538.00,0.025265
539.00,0.025263
540.00,0.025262
541.00,0.025261
542.00,0.025260
543.00,0.025258
544.00,0.025256
545.00,0.025253
546.00,0.025250
547.00,0.025246
548.00,0.025242
549.00,0.025238
550.00,0.025234
551.00,0.025230
552.00,0.025226
553.00,0.025222
554.00,0.025217
555.00,0.025213
556.00,0.025209
557.00,0.025206
558.00,0.025204
559.00,0.025203
560.00,0.025203
561.00,0.025202
562.00,0.025200
563.00,0.025197
564.00,0.025194
565.00,0.025190
566.00,0.025186
567.00,0.025181
568.00,0.025177
569.00,0.025173
570.00,0.025169
571.00,0.025164
572.00,0.025159
573.00,0.025154
574.00,0.025148
575.00,0.025143
576.00,0.025137
577.00,0.025130
578.00,0.025123
579.00,0.025115
580.00,0.025104
581.00,0.025093
582.00,0.025081
583.00,0.025071
584.00,0.025062
585.00,0.025053
586.00,0.025044
587.00,0.025036
588.00,0.025029
589.00,0.025025
590.00,0.025024
591.00,0.025023
592.00,0.025021
593.00,0.025019
594.00,0.025019
595.00,0.025019
596.00,0.025021
597.00,0.025021
598.00,0.025020
599.00,0.025018
600.00,0.025016
601.00,0.025014
602.00,0.025014
603.00,0.025017
604.00,0.025024
605.00,0.025034
606.00,0.025044
607.00,0.025053
608.00,0.025061
609.00,0.025067
610.00,0.025071
611.00,0.025075
612.00,0.025077
613.00,0.025079
614.00,0.025079
615.00,0.025077
616.00,0.025073
617.00,0.025066
618.00,0.025058
619.00,0.025051
620.00,0.025043
621.00,0.025034
622.00,0.025025
623.00,0.025014
624.00,0.025003
625.00,0.024992
626.00,0.024982
627.00,0.024973
628.00,0.024966
629.00,0.024961
630.00,0.024957
631.00,0.024953
632.00,0.024949
633.00,0.024944
634.00,0.024937
635.00,0.024929
636.00,0.024920
637.00,0.024911
638.00,0.024902
639.00,0.024895
640.00,0.024890
641.00,0.024886
642.00,0.024883
643.00,0.024880
644.00,0.024876
645.00,0.024871
646.00,0.024866
647.00,0.024859
648.00,0.024854
649.00,0.024850
650.00,0.024847
651.00,0.024846
652.00,0.024846
653.00,0.024846
654.00,0.024845
655.00,0.024843
656.00,0.024839
657.00,0.024835
658.00,0.024830
659.00,0.024825
660.00,0.024820
661.00,0.024815
662.00,0.024811
663.00,0.024807
664.00,0.024805
665.00,0.024802
666.00,0.024800
667.00,0.024798
668.00,0.024795
669.00,0.024793
670.00,0.024791
671.00,0.024788
672.00,0.024785
673.00,0.024781
674.00,0.024777
675.00,0.024771
676.00,0.024766
677.00,0.024761
678.00,0.024756
679.00,0.024752
680.00,0.024749
681.00,0.024746
682.00,0.024742
683.00,0.024738
684.00,0.024734
685.00,0.024731
686.00,0.024728
687.00,0.024726
688.00,0.024723
689.00,0.024721
690.00,0.024718
