wavelength_nm,reflectance
350.00,0.136302
351.00,0.136311
352.00,0.136915
353.00,0.137518
354.00,0.138117
355.00,0.138711
356.00,0.139297
357.00,0.139871
358.00,0.140434
359.00,0.140990
360.00,0.141544
361.00,0.142101
362.00,0.142658
363.00,0.143210
364.00,0.143756
365.00,0.144305
366.00,0.144867
367.00,0.145453
368.00,0.146071
369.00,0.146731
370.00,0.147439
371.00,0.148203
372.00,0.149032
373.00,0.149927
374.00,0.150866
375.00,0.151821
376.00,0.152772
377.00,0.153735
378.00,0.154734
379.00,0.155785
380.00,0.156881
381.00,0.158008
382.00,0.159156
383.00,0.160331
384.00,0.161544
385.00,0.162802
386.00,0.164087
387.00,0.165377
388.00,0.166650
389.00,0.167887
390.00,0.169072
391.00,0.170197
392.00,0.171302
393.00,0.172439
394.00,0.173641
395.00,0.174881
396.00,0.176116
397.00,0.177311
398.00,0.178449
399.00,0.179523
400.00,0.180531
401.00,0.181488
402.00,0.182415
403.00,0.183332
404.00,0.184247
405.00,0.185166
406.00,0.186096
407.00,0.187043
408.00,0.188013
409.00,0.189009
410.00,0.190019
411.00,0.191025
412.00,0.192017
413.00,0.192995
414.00,0.193967
415.00,0.194938
416.00,0.195914
417.00,0.196901
418.00,0.197902
419.00,0.198918
420.00,0.199945
421.00,0.200983
422.00,0.202038
423.00,0.203113
424.00,0.204215
425.00,0.205338
426.00,0.206476
427.00,0.207628
428.00,0.208812
429.00,0.210049
430.00,0.211356
431.00,0.212717
432.00,0.214111
433.00,0.215517
434.00,0.216921
435.00,0.218308
436.00,0.219670
437.00,0.221026
438.00,0.222404
439.00,0.223820
440.00,0.225263
441.00,0.226713
442.00,0.228153
443.00,0.229578
444.00,0.230986
445.00,0.232376
446.00,0.233751
447.00,0.235113
448.00,0.236463
449.00,0.237791
450.00,0.239084
451.00,0.240332
452.00,0.241542
453.00,0.242725
454.00,0.243888
455.00,0.245024
456.00,0.246123
457.00,0.247178
458.00,0.248185
459.00,0.249143
460.00,0.250053
461.00,0.250918
462.00,0.251744
463.00,0.252535
464.00,0.253298
465.00,0.254038
466.00,0.254760
467.00,0.255466
468.00,0.256160
469.00,0.256842
470.00,0.257514
471.00,0.258180
472.00,0.258841
473.00,0.259499
474.00,0.260159
475.00,0.260821
476.00,0.261488
477.00,0.262162
478.00,0.262846
479.00,0.263543
480.00,0.264255
481.00,0.264985
482.00,0.265733
483.00,0.266499
484.00,0.267283
485.00,0.268098
486.00,0.268955
487.00,0.269864
488.00,0.270810
489.00,0.271775
490.00,0.272745
491.00,0.273729
492.00,0.274744
493.00,0.275798
494.00,0.276889
495.00,0.278006
496.00,0.279142
497.00,0.280298
498.00,0.281477
499.00,0.282681
500.00,0.283912
501.00,0.285174
502.00,0.286464
503.00,0.287775
504.00,0.289095
505.00,0.290414
506.00,0.291737
507.00,0.293070
508.00,0.294417
509.00,0.295775
510.00,0.297139
511.00,0.298507
512.00,0.299878
513.00,0.301255
514.00,0.302641
515.00,0.304043
516.00,0.305465
517.00,0.306914
518.00,0.308383
519.00,0.309867
520.00,0.311359
521.00,0.312853
522.00,0.314347
523.00,0.315837
524.00,0.317330
525.00,0.318835
526.00,0.320359
527.00,0.321904
528.00,0.323469
529.00,0.325052
530.00,0.326647
531.00,0.328247
532.00,0.329846
533.00,0.331453
534.00,0.333075
535.00,0.334719
536.00,0.336381
537.00,0.338053
538.00,0.339731
539.00,0.341420
540.00,0.343127
541.00,0.344856
542.00,0.346605
543.00,0.348369
544.00,0.350145
545.00,0.351934
546.00,0.353736
547.00,0.355554
548.00,0.357389
549.00,0.359242
550.00,0.361115
