wavelength_nm,reflectance
350.00,0.055043
351.00,0.055046
352.00,0.055050
353.00,0.054992
354.00,0.054911
355.00,0.054839
356.00,0.054779
357.00,0.054723
358.00,0.054655
359.00,0.054560
360.00,0.054445
361.00,0.054333
362.00,0.054244
363.00,0.054176
364.00,0.054122
365.00,0.054071
366.00,0.054018
367.00,0.053961
368.00,0.053898
369.00,0.053839
370.00,0.053795
371.00,0.053779
372.00,0.053793
373.00,0.053830
374.00,0.053885
375.00,0.053939
376.00,0.053966
377.00,0.053943
378.00,0.053889
379.00,0.053846
380.00,0.053851
381.00,0.053896
382.00,0.053947
383.00,0.053969
384.00,0.053962
385.00,0.053941
386.00,0.053924
387.00,0.053915
388.00,0.053913
389.00,0.053918
390.00,0.053932
391.00,0.053961
392.00,0.054008
393.00,0.054059
394.00,0.054089
395.00,0.054076
396.00,0.054033
397.00,0.053993
398.00,0.053986
399.00,0.054009
400.00,0.054040
401.00,0.054057
402.00,0.054060
403.00,0.054060
404.00,0.054068
405.00,0.054081
406.00,0.054088
407.00,0.054080
408.00,0.054060
409.00,0.054038
410.00,0.054022
411.00,0.054020
412.00,0.054036
413.00,0.054076
414.00,0.054126
415.00,0.054167
416.00,0.054181
417.00,0.054175
418.00,0.054171
419.00,0.054187
420.00,0.054223
421.00,0.054261
422.00,0.054290
423.00,0.054310
424.00,0.054334
425.00,0.054373
426.00,0.054425
427.00,0.054484
428.00,0.054540
429.00,0.054594
430.00,0.054646
431.00,0.054699
432.00,0.054755
433.00,0.054818
434.00,0.054891
435.00,0.054971
436.00,0.055051
437.00,0.055126
438.00,0.055194
439.00,0.055260
440.00,0.055327
441.00,0.055395
442.00,0.055463
443.00,0.055527
444.00,0.055588
445.00,0.055649
446.00,0.055713
447.00,0.055777
448.00,0.055840
449.00,0.055898
450.00,0.055951
451.00,0.056002
452.00,0.056053
453.00,0.056102
454.00,0.056149
455.00,0.056190
456.00,0.056229
457.00,0.056268
458.00,0.056310
459.00,0.056354
460.00,0.056397
461.00,0.056436
462.00,0.056471
463.00,0.056506
464.00,0.056546
465.00,0.056588
466.00,0.056629
467.00,0.056666
468.00,0.056700
469.00,0.056736
470.00,0.056778
471.00,0.056823
472.00,0.056867
473.00,0.056903
474.00,0.056934
475.00,0.056969
476.00,0.057014
477.00,0.057066
478.00,0.057118
479.00,0.057164
480.00,0.057203
481.00,0.057243
482.00,0.057290
483.00,0.057344
484.00,0.057404
485.00,0.057469
486.00,0.057538
487.00,0.057609
488.00,0.057681
489.00,0.057756
490.00,0.057833
491.00,0.057914
492.00,0.058000
493.00,0.058091
494.00,0.058187
495.00,0.058288
496.00,0.058390
497.00,0.058489
498.00,0.058588
499.00,0.058691
500.00,0.058800
501.00,0.058916
502.00,0.059033
503.00,0.059147
504.00,0.059258
505.00,0.059372
506.00,0.059492
507.00,0.059617
508.00,0.059740
509.00,0.059858
510.00,0.059971
511.00,0.060085
512.00,0.060206
513.00,0.060334
514.00,0.060467
515.00,0.060602
516.00,0.060740
517.00,0.060879
518.00,0.061021
519.00,0.061166
520.00,0.061315
521.00,0.061469
522.00,0.061629
523.00,0.061795
524.00,0.061967
525.00,0.062145
526.00,0.062329
527.00,0.062517
528.00,0.062712
529.00,0.062917
530.00,0.063133
531.00,0.063362
532.00,0.063604
533.00,0.063859
534.00,0.064128
535.00,0.064409
536.00,0.064705
537.00,0.065015
538.00,0.065343
539.00,0.065690
