wavelength_nm,reflectance
350.00,0.022122
351.00,0.022123
352.00,0.022124
353.00,0.022113
354.00,0.022092
355.00,0.022062
356.00,0.022019
357.00,0.021964
358.00,0.021905
359.00,0.021850
360.00,0.021824
361.00,0.021859
362.00,0.021983
363.00,0.022165
364.00,0.022339
365.00,0.022448
366.00,0.022502
367.00,0.022555
368.00,0.022655
369.00,0.022810
370.00,0.023000
371.00,0.023208
372.00,0.023414
373.00,0.023602
374.00,0.023756
375.00,0.023898
376.00,0.024070
377.00,0.024308
378.00,0.024593
379.00,0.024873
380.00,0.025102
381.00,0.025286
382.00,0.025465
383.00,0.025677
384.00,0.025926
385.00,0.026195
386.00,0.026472
387.00,0.026750
388.00,0.027031
389.00,0.027316
390.00,0.027602
391.00,0.027884
392.00,0.028158
393.00,0.028427
394.00,0.028699
395.00,0.028983
396.00,0.029277
397.00,0.029574
398.00,0.029868
399.00,0.030159
400.00,0.030445
401.00,0.030730
402.00,0.031018
403.00,0.031315
404.00,0.031628
405.00,0.031952
406.00,0.032281
407.00,0.032606
408.00,0.032925
409.00,0.033237
410.00,0.033541
411.00,0.033842
412.00,0.034148
413.00,0.034465
414.00,0.034793
415.00,0.035125
416.00,0.035457
417.00,0.035789
418.00,0.036127
419.00,0.036474
420.00,0.036827
421.00,0.037176
422.00,0.037511
423.00,0.037838
424.00,0.038170
425.00,0.038519
426.00,0.038881
427.00,0.039242
428.00,0.039591
429.00,0.039930
430.00,0.040274
431.00,0.040637
432.00,0.041014
433.00,0.041397
434.00,0.041776
435.00,0.042149
436.00,0.042519
437.00,0.042892
438.00,0.043267
439.00,0.043648
440.00,0.044036
441.00,0.044429
442.00,0.044828
443.00,0.045230
444.00,0.045634
445.00,0.046035
446.00,0.046429
447.00,0.046819
448.00,0.047214
449.00,0.047621
450.00,0.048038
451.00,0.048458
452.00,0.048875
453.00,0.049289
454.00,0.049704
455.00,0.050123
456.00,0.050546
457.00,0.050973
458.00,0.051403
459.00,0.051834
460.00,0.052269
461.00,0.052707
462.00,0.053149
463.00,0.053593
464.00,0.054038
465.00,0.054483
466.00,0.054926
467.00,0.055367
468.00,0.055808
469.00,0.056253
470.00,0.056707
471.00,0.057167
472.00,0.057628
473.00,0.058083
474.00,0.058535
475.00,0.058987
476.00,0.059443
477.00,0.059907
478.00,0.060377
479.00,0.060857
480.00,0.061340
481.00,0.061823
482.00,0.062301
483.00,0.062775
484.00,0.063255
485.00,0.063747
486.00,0.064249
487.00,0.064754
488.00,0.065255
489.00,0.065754
490.00,0.066253
491.00,0.066759
492.00,0.067270
493.00,0.067784
494.00,0.068301
495.00,0.068819
496.00,0.069340
497.00,0.069864
498.00,0.070393
499.00,0.070930
500.00,0.071476
501.00,0.072031
502.00,0.072588
503.00,0.073145
504.00,0.073701
505.00,0.074261
506.00,0.074830
507.00,0.075407
508.00,0.075992
509.00,0.076583
510.00,0.077178
511.00,0.077779
512.00,0.078384
513.00,0.078994
514.00,0.079612
515.00,0.080238
516.00,0.080872
517.00,0.081513
518.00,0.082162
519.00,0.082817
520.00,0.083480
521.00,0.084152
522.00,0.084834
523.00,0.085527
524.00,0.086233
525.00,0.086950
526.00,0.087679
527.00,0.088419
528.00,0.089168
529.00,0.089926
530.00,0.090694
531.00,0.091471
532.00,0.092259
533.00,0.093059
534.00,0.093871
535.00,0.094695
536.00,0.095530
537.00,0.096375
538.00,0.097229
539.00,0.098091
540.00,0.098962
541.00,0.099845
542.00,0.100745
543.00,0.101659
544.00,0.102585
545.00,0.103520
546.00,0.104463
547.00,0.105415
548.00,0.106378
549.00,0.107353
550.00,0.108340
551.00,0.109343
552.00,0.110359
553.00,0.111388
554.00,0.112426
555.00,0.113474
556.00,0.114532
557.00,0.115600
558.00,0.116678
559.00,0.117768
560.00,0.118869
561.00,0.119982
562.00,0.121105
563.00,0.122237
564.00,0.123378
565.00,0.124531
566.00,0.125697
567.00,0.126874
568.00,0.128059
569.00,0.129250
570.00,0.130449
571.00,0.131658
572.00,0.132880
573.00,0.134115
574.00,0.135358
575.00,0.136607
576.00,0.137863
577.00,0.139126
578.00,0.140398
579.00,0.141680
580.00,0.142972
581.00,0.144273
582.00,0.145584
583.00,0.146906
584.00,0.148239
585.00,0.149585
586.00,0.150942
587.00,0.152311
588.00,0.153691
589.00,0.155081
590.00,0.156482
591.00,0.157893
592.00,0.159314
593.00,0.160746
594.00,0.162188
595.00,0.163642
596.00,0.165109
597.00,0.166590
598.00,0.168085
599.00,0.169596
600.00,0.171120
601.00,0.172656
602.00,0.174204
603.00,0.175762
604.00,0.177331
605.00,0.178911
606.00,0.180500
607.00,0.182096
608.00,0.183697
609.00,0.185305
610.00,0.186926
611.00,0.188565
612.00,0.190221
613.00,0.191891
614.00,0.193570
615.00,0.195258
616.00,0.196955
617.00,0.198662
618.00,0.200379
619.00,0.202104
620.00,0.203836
621.00,0.205576
622.00,0.207326
623.00,0.209089
624.00,0.210864
625.00,0.212650
626.00,0.214446
627.00,0.216252
628.00,0.218065
629.00,0.219884
630.00,0.221707
631.00,0.223537
632.00,0.225373
633.00,0.227217
634.00,0.229069
635.00,0.230932
636.00,0.232804
637.00,0.234684
638.00,0.236570
639.00,0.238462
640.00,0.240366
641.00,0.242283
642.00,0.244212
643.00,0.246146
644.00,0.248080
645.00,0.250016
646.00,0.251957
647.00,0.253907
648.00,0.255865
649.00,0.257828
650.00,0.259793
651.00,0.261758
652.00,0.263724
653.00,0.265690
654.00,0.267656
655.00,0.269620
656.00,0.271583
657.00,0.273544
658.00,0.275506
659.00,0.277469
660.00,0.279434
661.00,0.281398
662.00,0.283361
663.00,0.285322
664.00,0.287283
665.00,0.289244
666.00,0.291206
667.00,0.293168
668.00,0.295128
669.00,0.297089
670.00,0.299050
671.00,0.301013
672.00,0.302977
673.00,0.304938
674.00,0.306895
675.00,0.308849
676.00,0.310802
677.00,0.312758
678.00,0.314715
679.00,0.316674
680.00,0.318633
681.00,0.320591
682.00,0.322548
683.00,0.324505
684.00,0.326461
685.00,0.328415
686.00,0.330367
687.00,0.332318
688.00,0.334268
689.00,0.336218
690.00,0.338168
691.00,0.340116
692.00,0.342060
693.00,0.344002
694.00,0.345943
695.00,0.347885
696.00,0.349827
697.00,0.351767
698.00,0.353701
699.00,0.355630
700.00,0.357553
701.00,0.359472
702.00,0.361388
703.00,0.363302
704.00,0.365218
705.00,0.367132
706.00,0.369045
707.00,0.370952
708.00,0.372852
709.00,0.374748
710.00,0.376637
711.00,0.378522
712.00,0.380403
713.00,0.382282
714.00,0.384156
715.00,0.386024
716.00,0.387882
717.00,0.389731
718.00,0.391574
719.00,0.393413
720.00,0.395247
721.00,0.397073
722.00,0.398890
723.00,0.400698
724.00,0.402499
725.00,0.404295
726.00,0.406086
727.00,0.407869
