wavelength_nm,reflectance
350.00,0.071276
351.00,0.071280
352.00,0.071285
353.00,0.071399
354.00,0.071562
355.00,0.071726
356.00,0.071894
357.00,0.072067
358.00,0.072246
359.00,0.072433
360.00,0.072618
361.00,0.072789
362.00,0.072932
363.00,0.073053
364.00,0.073166
365.00,0.073285
366.00,0.073423
367.00,0.073590
368.00,0.073797
369.00,0.074044
370.00,0.074323
371.00,0.074627
372.00,0.074931
373.00,0.075205
374.00,0.075420
375.00,0.075598
376.00,0.075787
377.00,0.076035
378.00,0.076345
379.00,0.076694
380.00,0.077062
381.00,0.077423
382.00,0.077752
383.00,0.078027
384.00,0.078264
385.00,0.078502
386.00,0.078777
387.00,0.079091
388.00,0.079428
389.00,0.079771
390.00,0.080109
391.00,0.080432
392.00,0.080731
393.00,0.081016
394.00,0.081305
395.00,0.081613
396.00,0.081936
397.00,0.082255
398.00,0.082553
399.00,0.082833
400.00,0.083107
401.00,0.083389
402.00,0.083682
403.00,0.083983
404.00,0.084291
405.00,0.084600
406.00,0.084906
407.00,0.085204
408.00,0.085496
409.00,0.085787
410.00,0.086081
411.00,0.086375
412.00,0.086660
413.00,0.086927
414.00,0.087186
415.00,0.087454
416.00,0.087749
417.00,0.088065
418.00,0.088384
419.00,0.088691
420.00,0.088985
421.00,0.089273
422.00,0.089562
423.00,0.089857
424.00,0.090160
425.00,0.090470
426.00,0.090786
427.00,0.091104
428.00,0.091419
429.00,0.091731
430.00,0.092044
431.00,0.092360
432.00,0.092679
433.00,0.092999
434.00,0.093317
435.00,0.093634
436.00,0.093950
437.00,0.094267
438.00,0.094585
439.00,0.094902
440.00,0.095217
441.00,0.095530
442.00,0.095843
443.00,0.096156
444.00,0.096470
445.00,0.096786
446.00,0.097104
447.00,0.097421
448.00,0.097734
449.00,0.098037
450.00,0.098334
451.00,0.098632
452.00,0.098936
453.00,0.099243
454.00,0.099545
455.00,0.099833
456.00,0.100112
457.00,0.100390
458.00,0.100677
459.00,0.100971
460.00,0.101262
461.00,0.101543
462.00,0.101816
463.00,0.102092
464.00,0.102379
465.00,0.102671
466.00,0.102958
467.00,0.103227
468.00,0.103482
469.00,0.103738
470.00,0.104007
471.00,0.104288
472.00,0.104570
473.00,0.104845
474.00,0.105111
475.00,0.105372
476.00,0.105631
477.00,0.105891
478.00,0.106153
479.00,0.106419
480.00,0.106689
481.00,0.106962
482.00,0.107238
483.00,0.107515
484.00,0.107791
485.00,0.108065
486.00,0.108337
487.00,0.108611
488.00,0.108888
489.00,0.109169
490.00,0.109452
491.00,0.109736
492.00,0.110019
493.00,0.110302
494.00,0.110584
495.00,0.110864
496.00,0.111142
497.00,0.111419
498.00,0.111696
499.00,0.111976
500.00,0.112260
501.00,0.112547
502.00,0.112834
503.00,0.113119
504.00,0.113399
505.00,0.113679
506.00,0.113960
507.00,0.114242
508.00,0.114526
509.00,0.114810
510.00,0.115095
511.00,0.115382
512.00,0.115673
513.00,0.115965
514.00,0.116257
515.00,0.116546
516.00,0.116833
517.00,0.117117
518.00,0.117402
519.00,0.117686
520.00,0.117970
521.00,0.118255
522.00,0.118541
523.00,0.118828
524.00,0.119116
525.00,0.119404
526.00,0.119692
527.00,0.119979
528.00,0.120264
529.00,0.120550
530.00,0.120836
531.00,0.121123
532.00,0.121413
533.00,0.121704
534.00,0.121997
535.00,0.122286
536.00,0.122572
537.00,0.122855
538.00,0.123140
539.00,0.123433
540.00,0.123732
541.00,0.124032
542.00,0.124330
543.00,0.124625
544.00,0.124920
545.00,0.125216
546.00,0.125514
547.00,0.125813
548.00,0.126111
549.00,0.126409
550.00,0.126709
551.00,0.127009
552.00,0.127312
553.00,0.127615
554.00,0.127919
555.00,0.128224
556.00,0.128528
557.00,0.128831
558.00,0.129134
559.00,0.129436
560.00,0.129740
561.00,0.130045
562.00,0.130351
563.00,0.130658
564.00,0.130965
565.00,0.131271
566.00,0.131574
567.00,0.131877
568.00,0.132179
569.00,0.132481
570.00,0.132784
571.00,0.133087
572.00,0.133388
573.00,0.133688
574.00,0.133985
575.00,0.134281
576.00,0.134574
577.00,0.134865
578.00,0.135155
579.00,0.135443
580.00,0.135730
581.00,0.136018
582.00,0.136305
583.00,0.136588
584.00,0.136868
585.00,0.137144
586.00,0.137419
587.00,0.137697
588.00,0.137976
589.00,0.138256
590.00,0.138533
591.00,0.138808
592.00,0.139082
593.00,0.139354
594.00,0.139625
595.00,0.139894
596.00,0.140162
597.00,0.140429
598.00,0.140696
599.00,0.140966
600.00,0.141237
601.00,0.141506
602.00,0.141770
603.00,0.142029
604.00,0.142282
605.00,0.142528
606.00,0.142771
607.00,0.143014
608.00,0.143264
609.00,0.143517
610.00,0.143771
611.00,0.144021
612.00,0.144269
613.00,0.144517
614.00,0.144770
615.00,0.145025
616.00,0.145279
617.00,0.145529
618.00,0.145778
619.00,0.146028
620.00,0.146283
621.00,0.146544
622.00,0.146808
623.00,0.147075
624.00,0.147341
625.00,0.147608
626.00,0.147874
627.00,0.148140
628.00,0.148404
629.00,0.148666
630.00,0.148927
631.00,0.149188
632.00,0.149450
633.00,0.149712
634.00,0.149976
635.00,0.150241
636.00,0.150507
637.00,0.150773
638.00,0.151038
639.00,0.151302
640.00,0.151565
641.00,0.151829
642.00,0.152093
643.00,0.152357
644.00,0.152620
645.00,0.152884
646.00,0.153148
647.00,0.153413
648.00,0.153680
649.00,0.153946
650.00,0.154213
651.00,0.154479
652.00,0.154745
653.00,0.155011
654.00,0.155277
655.00,0.155543
656.00,0.155808
657.00,0.156074
658.00,0.156340
659.00,0.156605
660.00,0.156869
661.00,0.157132
