wavelength_nm,reflectance
350.00,0.809595
351.00,0.808724
352.00,0.807555
353.00,0.806470
354.00,0.805728
355.00,0.805388
356.00,0.805407
357.00,0.805565
358.00,0.805157
359.00,0.806213
360.00,0.807343
361.00,0.806801
362.00,0.806347
363.00,0.806259
364.00,0.806661
365.00,0.807608
366.00,0.809387
367.00,0.810721
368.00,0.811042
369.00,0.811088
370.00,0.811272
371.00,0.811898
372.00,0.813055
373.00,0.814449
374.00,0.815704
375.00,0.816656
376.00,0.817337
377.00,0.818133
378.00,0.819396
379.00,0.820978
380.00,0.822165
381.00,0.823268
382.00,0.824211
383.00,0.825030
384.00,0.826247
385.00,0.827515
386.00,0.828708
387.00,0.829836
388.00,0.831084
389.00,0.832271
390.00,0.833357
391.00,0.834470
392.00,0.835652
393.00,0.836751
394.00,0.837721
395.00,0.838816
396.00,0.840052
397.00,0.841268
398.00,0.842317
399.00,0.843512
400.00,0.844523
401.00,0.845448
402.00,0.846725
403.00,0.847726
404.00,0.848704
405.00,0.849873
406.00,0.851143
407.00,0.852169
408.00,0.853136
409.00,0.854301
410.00,0.855375
411.00,0.856383
412.00,0.857368
413.00,0.858371
414.00,0.859415
415.00,0.860434
416.00,0.861420
417.00,0.862496
418.00,0.863497
419.00,0.864441
420.00,0.865390
421.00,0.866296
422.00,0.867253
423.00,0.868233
424.00,0.869130
425.00,0.870034
426.00,0.870944
427.00,0.871862
428.00,0.872826
429.00,0.873747
430.00,0.874617
431.00,0.875464
432.00,0.876336
433.00,0.877188
434.00,0.878024
435.00,0.878887
436.00,0.879702
437.00,0.880529
438.00,0.881391
439.00,0.882197
440.00,0.883033
441.00,0.883870
442.00,0.884651
443.00,0.885406
444.00,0.886179
445.00,0.886975
446.00,0.887768
447.00,0.888503
448.00,0.889273
449.00,0.890102
450.00,0.890803
451.00,0.891565
452.00,0.892342
453.00,0.893030
454.00,0.893747
455.00,0.894494
456.00,0.895238
457.00,0.895929
458.00,0.896632
459.00,0.897351
460.00,0.898068
461.00,0.898735
462.00,0.899410
463.00,0.900102
464.00,0.900800
465.00,0.901503
466.00,0.902172
467.00,0.902803
468.00,0.903443
469.00,0.904090
470.00,0.904743
471.00,0.905394
472.00,0.906012
473.00,0.906635
474.00,0.907272
475.00,0.907917
476.00,0.908516
477.00,0.909104
478.00,0.909701
479.00,0.910290
480.00,0.910887
481.00,0.911462
482.00,0.911993
483.00,0.912547
484.00,0.913141
485.00,0.913735
486.00,0.914251
487.00,0.914798
488.00,0.915358
489.00,0.915911
490.00,0.916450
491.00,0.916969
492.00,0.917489
493.00,0.918028
494.00,0.918540
495.00,0.919058
496.00,0.919591
497.00,0.920123
498.00,0.920670
499.00,0.921199
500.00,0.921690
501.00,0.922184
502.00,0.922686
503.00,0.923178
504.00,0.923635
505.00,0.924113
506.00,0.924585
507.00,0.925050
508.00,0.925531
509.00,0.925991
510.00,0.926432
511.00,0.926877
512.00,0.927355
513.00,0.927809
514.00,0.928236
515.00,0.928659
516.00,0.929056
517.00,0.929476
518.00,0.929927
519.00,0.930341
520.00,0.930758
521.00,0.931183
522.00,0.931608
523.00,0.931997
524.00,0.932395
525.00,0.932818
526.00,0.933256
527.00,0.933671
528.00,0.934062
529.00,0.934437
530.00,0.934811
531.00,0.935192
532.00,0.935577
533.00,0.935955
534.00,0.936331
535.00,0.936708
536.00,0.937082
537.00,0.937435
538.00,0.937824
539.00,0.938212
540.00,0.938559
541.00,0.938893
542.00,0.939236
543.00,0.939589
544.00,0.939938
545.00,0.940294
546.00,0.940647
547.00,0.940989
548.00,0.941322
549.00,0.941679
550.00,0.942043
551.00,0.942388
552.00,0.942736
553.00,0.943076
554.00,0.943406
555.00,0.943731
556.00,0.944017
557.00,0.944307
558.00,0.944623
559.00,0.944916
560.00,0.945173
561.00,0.945423
562.00,0.945705
563.00,0.945956
564.00,0.946202
565.00,0.946456
566.00,0.946699
567.00,0.946926
568.00,0.947147
569.00,0.947371
570.00,0.947591
571.00,0.947814
572.00,0.948045
573.00,0.948283
574.00,0.948517
575.00,0.948730
576.00,0.948927
577.00,0.949159
578.00,0.949406
579.00,0.949646
580.00,0.949861
581.00,0.950086
582.00,0.950296
583.00,0.950488
584.00,0.950690
585.00,0.950890
586.00,0.951119
587.00,0.951383
588.00,0.951615
589.00,0.951850
590.00,0.952071
591.00,0.952246
592.00,0.952449
593.00,0.952655
594.00,0.952848
595.00,0.953029
596.00,0.953239
597.00,0.953454
598.00,0.953642
599.00,0.953798
600.00,0.953975
601.00,0.954178
602.00,0.954378
603.00,0.954584
604.00,0.954764
605.00,0.954906
606.00,0.955039
607.00,0.955207
608.00,0.955383
609.00,0.955526
610.00,0.955682
611.00,0.955822
612.00,0.955942
613.00,0.956065
614.00,0.956177
615.00,0.956321
616.00,0.956513
617.00,0.956681
618.00,0.956802
619.00,0.956917
620.00,0.957088
621.00,0.957245
622.00,0.957386
623.00,0.957519
624.00,0.957653
625.00,0.957764
626.00,0.957874
627.00,0.958009
628.00,0.958164
629.00,0.958292
630.00,0.958364
631.00,0.958382
632.00,0.958439
633.00,0.958535
634.00,0.958653
635.00,0.958763
636.00,0.958893
637.00,0.959027
638.00,0.959144
639.00,0.959224
640.00,0.959318
641.00,0.959449
642.00,0.959617
643.00,0.959753
644.00,0.959842
645.00,0.959893
646.00,0.959923
647.00,0.960009
648.00,0.960126
649.00,0.960215
650.00,0.960275
651.00,0.960344
652.00,0.960439
653.00,0.960537
654.00,0.960661
655.00,0.960764
656.00,0.960815
657.00,0.960873
658.00,0.960963
659.00,0.961071
660.00,0.961164
661.00,0.961263
662.00,0.961337
663.00,0.961386
664.00,0.961453
665.00,0.961528
666.00,0.961600
667.00,0.961672
668.00,0.961811
669.00,0.961910
670.00,0.961950
671.00,0.961978
672.00,0.962041
673.00,0.962115
674.00,0.962193
675.00,0.962312
676.00,0.962401
677.00,0.962451
678.00,0.962483
679.00,0.962557
680.00,0.962626
681.00,0.962672
682.00,0.962702
683.00,0.962770
684.00,0.962836
685.00,0.962874
686.00,0.962911
687.00,0.962965
688.00,0.963039
689.00,0.963123
690.00,0.963172
691.00,0.963244
692.00,0.963331
693.00,0.963378
694.00,0.963409
695.00,0.963449
696.00,0.963507
697.00,0.963571
698.00,0.963623
699.00,0.963673
700.00,0.963735
701.00,0.963804
702.00,0.963861
703.00,0.963905
704.00,0.963949
705.00,0.963999
706.00,0.964038
707.00,0.964052
708.00,0.964035
709.00,0.964094
710.00,0.964200
711.00,0.964271
712.00,0.964281
713.00,0.964288
714.00,0.964314
715.00,0.964345
716.00,0.964343
717.00,0.964333
718.00,0.964339
719.00,0.964358
720.00,0.964379
721.00,0.964407
722.00,0.964442
723.00,0.964416
724.00,0.964391
725.00,0.964392
726.00,0.964411
727.00,0.964419
728.00,0.964399
729.00,0.964365
730.00,0.964379
731.00,0.964366
732.00,0.964314
733.00,0.964239
734.00,0.964172
735.00,0.964118
736.00,0.964078
737.00,0.964044
738.00,0.963985
739.00,0.963902
740.00,0.963806
741.00,0.963713
742.00,0.963626
743.00,0.963550
744.00,0.963481
745.00,0.963385
746.00,0.963276
747.00,0.963175
748.00,0.963102
749.00,0.963017
750.00,0.962925
751.00,0.962847
752.00,0.962816
753.00,0.962844
754.00,0.962854
755.00,0.962802
756.00,0.962760
757.00,0.962718
758.00,0.962684
759.00,0.962664
760.00,0.962629
761.00,0.962589
762.00,0.962563
763.00,0.962563
764.00,0.962569
765.00,0.962579
766.00,0.962603
767.00,0.962681
768.00,0.962728
769.00,0.962749
770.00,0.962782
771.00,0.962852
772.00,0.962911
773.00,0.962958
774.00,0.963023
775.00,0.963087
776.00,0.963134
777.00,0.963169
778.00,0.963224
779.00,0.963238
780.00,0.963230
781.00,0.963226
782.00,0.963224
783.00,0.963257
784.00,0.963339
785.00,0.963458
786.00,0.963515
787.00,0.963524
788.00,0.963518
789.00,0.963540
790.00,0.963584
791.00,0.963615
792.00,0.963620
793.00,0.963624
794.00,0.963646
795.00,0.963680
796.00,0.963718
797.00,0.963774
798.00,0.963779
799.00,0.963733
800.00,0.963676
801.00,0.963630
802.00,0.963598
803.00,0.963578
804.00,0.963567
805.00,0.963581
806.00,0.963603
807.00,0.963613
808.00,0.963606
809.00,0.963546
810.00,0.963479
811.00,0.963454
812.00,0.963470
813.00,0.963491
814.00,0.963496
815.00,0.963477
816.00,0.963475
817.00,0.963461
818.00,0.963429
819.00,0.963396
820.00,0.963366
821.00,0.963353
822.00,0.963353
823.00,0.963332
824.00,0.963283
825.00,0.963240
826.00,0.963232
827.00,0.963249
828.00,0.963296
829.00,0.963339
830.00,0.963347
831.00,0.963388
832.00,0.963456
833.00,0.963517
834.00,0.963536
835.00,0.963574
836.00,0.963633
837.00,0.963689
838.00,0.963697
839.00,0.963678
840.00,0.963664
841.00,0.963677
842.00,0.963727
843.00,0.963767
844.00,0.963804
845.00,0.963846
846.00,0.963890
847.00,0.963967
848.00,0.964070
849.00,0.964176
850.00,0.964245
851.00,0.964305
852.00,0.964359
853.00,0.964394
854.00,0.964440
855.00,0.964493
856.00,0.964548
857.00,0.964598
858.00,0.964637
859.00,0.964711
860.00,0.964820
861.00,0.964902
862.00,0.964951
863.00,0.964987
864.00,0.965029
865.00,0.965077
866.00,0.965107
867.00,0.965115
868.00,0.965106
869.00,0.965089
870.00,0.965028
871.00,0.964936
872.00,0.964848
873.00,0.964797
874.00,0.964759
875.00,0.964726
876.00,0.964697
877.00,0.964645
878.00,0.964619
879.00,0.964593
880.00,0.964483
881.00,0.964384
882.00,0.964267
883.00,0.964126
884.00,0.963992
885.00,0.963825
886.00,0.963629
887.00,0.963416
888.00,0.963199
889.00,0.962950
890.00,0.962705
891.00,0.962470
892.00,0.962160
893.00,0.961821
894.00,0.961447
895.00,0.961032
896.00,0.960590
897.00,0.960142
898.00,0.959673
899.00,0.959158
900.00,0.958615
901.00,0.958035
902.00,0.957439
903.00,0.956851
904.00,0.956260
905.00,0.955638
906.00,0.954985
907.00,0.954323
908.00,0.953678
909.00,0.953040
910.00,0.952448
911.00,0.951953
912.00,0.951456
913.00,0.951019
914.00,0.950643
915.00,0.950283
916.00,0.949996
917.00,0.949751
918.00,0.949547
919.00,0.949408
920.00,0.949312
921.00,0.949265
922.00,0.949275
923.00,0.949331
924.00,0.949303
925.00,0.949287
926.00,0.949321
927.00,0.949338
928.00,0.949374
929.00,0.949409
930.00,0.949439
931.00,0.949492
932.00,0.949545
933.00,0.949591
934.00,0.949627
935.00,0.949659
936.00,0.949739
937.00,0.949809
938.00,0.949843
939.00,0.949886
940.00,0.949916
941.00,0.949937
942.00,0.949959
943.00,0.949996
944.00,0.950041
945.00,0.950075
946.00,0.950087
947.00,0.950094
948.00,0.950135
949.00,0.950172
950.00,0.950178
951.00,0.950162
952.00,0.950087
953.00,0.949954
954.00,0.949805
955.00,0.949730
956.00,0.949566
957.00,0.949350
958.00,0.949106
959.00,0.948786
960.00,0.948527
961.00,0.948226
962.00,0.947810
963.00,0.947320
964.00,0.946887
965.00,0.946442
966.00,0.945918
967.00,0.945324
968.00,0.944837
969.00,0.944349
970.00,0.943780
971.00,0.943174
972.00,0.942668
973.00,0.942208
974.00,0.941777
975.00,0.941424
976.00,0.941050
977.00,0.940651
978.00,0.940297
979.00,0.940077
980.00,0.939736
981.00,0.939460
982.00,0.939249
983.00,0.938932
984.00,0.938573
985.00,0.938314
986.00,0.938086
987.00,0.937734
988.00,0.937500
989.00,0.937151
990.00,0.936782
991.00,0.936587
992.00,0.936256
993.00,0.936022
994.00,0.935777
995.00,0.935384
996.00,0.935205
997.00,0.934937
998.00,0.934676
999.00,0.934518
1000.00,0.934148
1001.00,0.933811
1002.00,0.933474
1003.00,0.933132
1004.00,0.932878
1005.00,0.932691
1006.00,0.932466
1007.00,0.932284
1008.00,0.932093
1009.00,0.931880
1010.00,0.931625
1011.00,0.931355
1012.00,0.931136
1013.00,0.930967
1014.00,0.930829
1015.00,0.930720
1016.00,0.930635
1017.00,0.930524
1018.00,0.930339
1019.00,0.930229
1020.00,0.930163
1021.00,0.930085
1022.00,0.930006
1023.00,0.929949
1024.00,0.929858
1025.00,0.929786
1026.00,0.929763
1027.00,0.929750
1028.00,0.929753
1029.00,0.929732
1030.00,0.929730
1031.00,0.929730
1032.00,0.929740
1033.00,0.929780
1034.00,0.929785
1035.00,0.929784
1036.00,0.929750
1037.00,0.929686
1038.00,0.929716
1039.00,0.929832
1040.00,0.929867
1041.00,0.929898
1042.00,0.929965
1043.00,0.930012
1044.00,0.929991
1045.00,0.930071
1046.00,0.930209
1047.00,0.930320
1048.00,0.930488
1049.00,0.930607
1050.00,0.930708
1051.00,0.930785
1052.00,0.930829
1053.00,0.930882
1054.00,0.931006
1055.00,0.931115
1056.00,0.931234
1057.00,0.931370
1058.00,0.931483
1059.00,0.931563
1060.00,0.931669
1061.00,0.931788
1062.00,0.931899
1063.00,0.931981
1064.00,0.932106
1065.00,0.932247
1066.00,0.932412
1067.00,0.932607
1068.00,0.932797
1069.00,0.933037
1070.00,0.933254
1071.00,0.933450
1072.00,0.933646
1073.00,0.933846
1074.00,0.934003
1075.00,0.934206
1076.00,0.934446
1077.00,0.934663
1078.00,0.934897
1079.00,0.935115
1080.00,0.935314
1081.00,0.935534
1082.00,0.935740
1083.00,0.935931
1084.00,0.936173
1085.00,0.936415
1086.00,0.936704
1087.00,0.937047
1088.00,0.937376
1089.00,0.937717
1090.00,0.938072
1091.00,0.938443
1092.00,0.938797
1093.00,0.939151
1094.00,0.939526
1095.00,0.939907
1096.00,0.940275
1097.00,0.940670
1098.00,0.941062
1099.00,0.941404
1100.00,0.941770
1101.00,0.942160
1102.00,0.942577
1103.00,0.942952
1104.00,0.943337
1105.00,0.943709
1106.00,0.944026
1107.00,0.944397
1108.00,0.944842
1109.00,0.945210
1110.00,0.945532
1111.00,0.945885
1112.00,0.946231
1113.00,0.946562
1114.00,0.946879
1115.00,0.947218
1116.00,0.947510
1117.00,0.947737
1118.00,0.948007
1119.00,0.948312
1120.00,0.948558
1121.00,0.948798
1122.00,0.948996
1123.00,0.949173
1124.00,0.949295
1125.00,0.949380
1126.00,0.949430
