wavelength_nm,reflectance
350.00,0.152649
351.00,0.152658
352.00,0.152669
353.00,0.152829
354.00,0.153065
355.00,0.153330
356.00,0.153635
357.00,0.153976
358.00,0.154332
359.00,0.154689
360.00,0.155051
361.00,0.155437
362.00,0.155864
363.00,0.156324
364.00,0.156796
365.00,0.157260
366.00,0.157726
367.00,0.158222
368.00,0.158774
369.00,0.159381
370.00,0.160025
371.00,0.160688
372.00,0.161365
373.00,0.162060
374.00,0.162775
375.00,0.163518
376.00,0.164299
377.00,0.165125
378.00,0.165987
379.00,0.166858
380.00,0.167719
381.00,0.168567
382.00,0.169413
383.00,0.170267
384.00,0.171129
385.00,0.171995
386.00,0.172859
387.00,0.173722
388.00,0.174590
389.00,0.175466
390.00,0.176343
391.00,0.177203
392.00,0.178034
393.00,0.178839
394.00,0.179636
395.00,0.180440
396.00,0.181249
397.00,0.182056
398.00,0.182849
399.00,0.183626
400.00,0.184388
401.00,0.185135
402.00,0.185872
403.00,0.186603
404.00,0.187334
405.00,0.188062
406.00,0.188781
407.00,0.189488
408.00,0.190183
409.00,0.190872
410.00,0.191560
411.00,0.192256
412.00,0.192966
413.00,0.193696
414.00,0.194439
415.00,0.195176
416.00,0.195894
417.00,0.196601
418.00,0.197320
419.00,0.198072
420.00,0.198855
421.00,0.199651
422.00,0.200448
423.00,0.201245
424.00,0.202050
425.00,0.202872
426.00,0.203711
427.00,0.204562
428.00,0.205421
429.00,0.206287
430.00,0.207166
431.00,0.208061
432.00,0.208966
433.00,0.209871
434.00,0.210769
435.00,0.211658
436.00,0.212546
437.00,0.213438
438.00,0.214330
439.00,0.215211
440.00,0.216075
441.00,0.216920
442.00,0.217749
443.00,0.218567
444.00,0.219372
445.00,0.220160
446.00,0.220925
447.00,0.221667
448.00,0.222383
449.00,0.223071
450.00,0.223737
451.00,0.224384
452.00,0.225020
453.00,0.225640
454.00,0.226237
455.00,0.226802
456.00,0.227340
457.00,0.227859
458.00,0.228370
459.00,0.228874
460.00,0.229368
461.00,0.229848
462.00,0.230314
463.00,0.230765
464.00,0.231203
465.00,0.231634
466.00,0.232065
467.00,0.232504
468.00,0.232952
469.00,0.233404
470.00,0.233854
471.00,0.234302
472.00,0.234751
473.00,0.235202
474.00,0.235658
475.00,0.236123
476.00,0.236600
477.00,0.237089
478.00,0.237589
479.00,0.238099
480.00,0.238619
481.00,0.239154
482.00,0.239705
483.00,0.240272
484.00,0.240850
485.00,0.241436
486.00,0.242030
487.00,0.242637
488.00,0.243259
489.00,0.243896
490.00,0.244545
491.00,0.245204
492.00,0.245873
493.00,0.246550
494.00,0.247236
495.00,0.247930
496.00,0.248629
497.00,0.249331
498.00,0.250036
499.00,0.250747
500.00,0.251464
501.00,0.252187
502.00,0.252911
503.00,0.253630
504.00,0.254345
505.00,0.255058
506.00,0.255769
507.00,0.256481
508.00,0.257194
509.00,0.257911
510.00,0.258628
511.00,0.259346
512.00,0.260062
513.00,0.260776
514.00,0.261488
515.00,0.262200
516.00,0.262913
517.00,0.263627
518.00,0.264344
519.00,0.265063
520.00,0.265782
521.00,0.266499
