wavelength_nm,reflectance
350.00,0.209308
351.00,0.209320
352.00,0.209335
353.00,0.208731
354.00,0.207876
355.00,0.207058
356.00,0.206294
357.00,0.205593
358.00,0.204962
359.00,0.204405
360.00,0.203939
361.00,0.203588
362.00,0.203371
363.00,0.203279
364.00,0.203279
365.00,0.203343
366.00,0.203467
367.00,0.203662
368.00,0.203938
369.00,0.204306
370.00,0.204773
371.00,0.205346
372.00,0.206025
373.00,0.206804
374.00,0.207676
375.00,0.208654
376.00,0.209761
377.00,0.211019
378.00,0.212462
379.00,0.214126
380.00,0.216047
381.00,0.218224
382.00,0.220639
383.00,0.223275
384.00,0.226157
385.00,0.229334
386.00,0.232846
387.00,0.236652
388.00,0.240668
389.00,0.244811
390.00,0.249060
391.00,0.253429
392.00,0.257935
393.00,0.262587
394.00,0.267396
395.00,0.272375
396.00,0.277568
397.00,0.283041
398.00,0.288861
399.00,0.295131
400.00,0.301974
401.00,0.309510
402.00,0.317845
403.00,0.327075
404.00,0.337291
405.00,0.348540
406.00,0.360841
407.00,0.374207
408.00,0.388573
409.00,0.403831
410.00,0.419864
411.00,0.436474
412.00,0.453417
413.00,0.470445
414.00,0.487312
415.00,0.503764
416.00,0.519554
417.00,0.534473
418.00,0.548333
419.00,0.560958
420.00,0.572275
421.00,0.582273
422.00,0.590950
423.00,0.598391
424.00,0.604735
425.00,0.610119
426.00,0.614690
427.00,0.618597
428.00,0.621990
429.00,0.624976
430.00,0.627646
431.00,0.630086
432.00,0.632344
433.00,0.634449
434.00,0.636426
435.00,0.638258
436.00,0.639908
437.00,0.641339
438.00,0.642519
439.00,0.643419
440.00,0.644010
441.00,0.644282
442.00,0.644232
443.00,0.643858
444.00,0.643173
445.00,0.642193
446.00,0.640936
447.00,0.639446
448.00,0.637780
449.00,0.635992
450.00,0.634118
451.00,0.632184
452.00,0.630216
453.00,0.628250
454.00,0.626325
455.00,0.624483
456.00,0.622748
457.00,0.621137
458.00,0.619666
459.00,0.618334
460.00,0.617132
461.00,0.616048
462.00,0.615067
463.00,0.614172
464.00,0.613348
465.00,0.612585
466.00,0.611882
467.00,0.611234
468.00,0.610621
469.00,0.610016
470.00,0.609390
471.00,0.608740
472.00,0.608074
473.00,0.607399
474.00,0.606713
475.00,0.606008
476.00,0.605274
477.00,0.604520
478.00,0.603758
479.00,0.603002
480.00,0.602256
481.00,0.601520
482.00,0.600795
483.00,0.600087
484.00,0.599404
485.00,0.598756
486.00,0.598144
487.00,0.597568
488.00,0.597027
