wavelength_nm,reflectance
350.00,0.025240
351.00,0.025242
352.00,0.025244
353.00,0.025245
354.00,0.025247
355.00,0.025204
356.00,0.025173
357.00,0.025168
358.00,0.025195
359.00,0.025241
360.00,0.025285
361.00,0.025317
362.00,0.025365
363.00,0.025466
364.00,0.025645
365.00,0.025870
366.00,0.026097
367.00,0.026294
368.00,0.026478
369.00,0.026679
370.00,0.026917
371.00,0.027181
372.00,0.027448
373.00,0.027705
374.00,0.027972
375.00,0.028274
376.00,0.028630
377.00,0.029012
378.00,0.029385
379.00,0.029726
380.00,0.030070
381.00,0.030466
382.00,0.030948
383.00,0.031479
384.00,0.032008
385.00,0.032497
386.00,0.032968
387.00,0.033460
388.00,0.033999
389.00,0.034578
390.00,0.035179
391.00,0.035790
392.00,0.036430
393.00,0.037124
394.00,0.037888
395.00,0.038689
396.00,0.039485
397.00,0.040247
398.00,0.040992
399.00,0.041751
400.00,0.042548
401.00,0.043374
402.00,0.044214
403.00,0.045056
404.00,0.045907
405.00,0.046778
406.00,0.047676
407.00,0.048589
408.00,0.049502
409.00,0.050403
410.00,0.051298
411.00,0.052199
412.00,0.053116
413.00,0.054053
414.00,0.055015
415.00,0.056001
416.00,0.056999
417.00,0.057992
418.00,0.058966
419.00,0.059932
420.00,0.060901
421.00,0.061884
422.00,0.062875
423.00,0.063864
424.00,0.064844
425.00,0.065817
426.00,0.066789
427.00,0.067764
428.00,0.068746
429.00,0.069740
430.00,0.070749
431.00,0.071767
432.00,0.072786
433.00,0.073799
434.00,0.074794
435.00,0.075759
436.00,0.076687
437.00,0.077588
438.00,0.078478
439.00,0.079371
440.00,0.080262
441.00,0.081144
442.00,0.082011
443.00,0.082872
444.00,0.083735
445.00,0.084608
446.00,0.085486
447.00,0.086361
448.00,0.087228
449.00,0.088091
450.00,0.088958
451.00,0.089831
452.00,0.090705
453.00,0.091568
454.00,0.092414
455.00,0.093248
456.00,0.094080
457.00,0.094916
458.00,0.095751
459.00,0.096580
460.00,0.097396
461.00,0.098204
462.00,0.099007
463.00,0.099809
464.00,0.100609
465.00,0.101407
466.00,0.102202
467.00,0.102994
468.00,0.103784
469.00,0.104571
470.00,0.105354
471.00,0.106128
472.00,0.106891
473.00,0.107649
474.00,0.108408
475.00,0.109173
476.00,0.109940
477.00,0.110702
478.00,0.111457
479.00,0.112204
480.00,0.112949
481.00,0.113694
482.00,0.114439
483.00,0.115187
484.00,0.115936
485.00,0.116682
486.00,0.117422
487.00,0.118152
488.00,0.118878
489.00,0.119605
490.00,0.120339
491.00,0.121074
492.00,0.121806
493.00,0.122527
494.00,0.123243
495.00,0.123958
496.00,0.124675
497.00,0.125393
498.00,0.126109
499.00,0.126820
500.00,0.127529
501.00,0.128236
502.00,0.128945
503.00,0.129653
504.00,0.130360
505.00,0.131063
506.00,0.131766
507.00,0.132471
508.00,0.133178
509.00,0.133887
510.00,0.134593
511.00,0.135295
512.00,0.135994
513.00,0.136692
514.00,0.137390
515.00,0.138089
516.00,0.138788
517.00,0.139486
518.00,0.140184
519.00,0.140882
520.00,0.141579
521.00,0.142276
522.00,0.142972
523.00,0.143667
524.00,0.144361
525.00,0.145054
526.00,0.145746
527.00,0.146439
528.00,0.147132
529.00,0.147824
530.00,0.148516
531.00,0.149207
532.00,0.149897
533.00,0.150587
534.00,0.151275
535.00,0.151964
536.00,0.152653
537.00,0.153345
538.00,0.154039
539.00,0.154737
540.00,0.155442
541.00,0.156155
542.00,0.156885
543.00,0.157640
544.00,0.158420
545.00,0.159196
546.00,0.159932
547.00,0.160603
548.00,0.161229
549.00,0.161843
550.00,0.162471
551.00,0.163121
552.00,0.163790
553.00,0.164480
554.00,0.165181
555.00,0.165886
556.00,0.166588
557.00,0.167289
558.00,0.167991
559.00,0.168696
560.00,0.169403
561.00,0.170109
562.00,0.170811
563.00,0.171511
564.00,0.172207
565.00,0.172901
566.00,0.173593
567.00,0.174283
568.00,0.174973
569.00,0.175664
570.00,0.176354
571.00,0.177046
572.00,0.177739
573.00,0.178435
574.00,0.179133
575.00,0.179833
576.00,0.180532
577.00,0.181229
578.00,0.181917
579.00,0.182590
580.00,0.183246
581.00,0.183889
582.00,0.184529
583.00,0.185171
584.00,0.185816
585.00,0.186463
586.00,0.187110
587.00,0.187760
588.00,0.188411
589.00,0.189064
590.00,0.189718
591.00,0.190369
592.00,0.191018
593.00,0.191665
594.00,0.192316
595.00,0.192972
596.00,0.193633
597.00,0.194297
598.00,0.194962
599.00,0.195628
600.00,0.196295
601.00,0.196961
602.00,0.197624
603.00,0.198283
604.00,0.198937
605.00,0.199583
606.00,0.200221
607.00,0.200852
608.00,0.201477
609.00,0.202102
610.00,0.202728
611.00,0.203353
612.00,0.203973
613.00,0.204584
614.00,0.205187
615.00,0.205783
616.00,0.206374
617.00,0.206963
618.00,0.207551
619.00,0.208141
620.00,0.208735
621.00,0.209331
622.00,0.209931
623.00,0.210536
624.00,0.211145
625.00,0.211757
626.00,0.212372
627.00,0.212984
628.00,0.213591
629.00,0.214191
630.00,0.214783
631.00,0.215366
632.00,0.215942
633.00,0.216513
634.00,0.217080
635.00,0.217641
636.00,0.218195
637.00,0.218740
638.00,0.219277
639.00,0.219810
640.00,0.220340
641.00,0.220867
642.00,0.221391
643.00,0.221912
644.00,0.222429
645.00,0.222945
646.00,0.223460
647.00,0.223976
648.00,0.224492
649.00,0.225010
650.00,0.225529
651.00,0.226049
652.00,0.226569
653.00,0.227089
654.00,0.227607
655.00,0.228121
656.00,0.228631
657.00,0.229138
658.00,0.229641
659.00,0.230139
660.00,0.230633
661.00,0.231121
662.00,0.231604
663.00,0.232084
664.00,0.232561
665.00,0.233037
666.00,0.233513
667.00,0.233990
668.00,0.234469
669.00,0.234952
670.00,0.235439
671.00,0.235931
672.00,0.236428
673.00,0.236930
674.00,0.237438
675.00,0.237952
676.00,0.238470
677.00,0.238996
678.00,0.239530
679.00,0.240074
680.00,0.240629
681.00,0.241200
682.00,0.241787
683.00,0.242392
684.00,0.243016
685.00,0.243660
686.00,0.244323
687.00,0.245003
688.00,0.245698
689.00,0.246404
690.00,0.247117
691.00,0.247833
692.00,0.248548
693.00,0.249261
694.00,0.249969
695.00,0.250672
696.00,0.251369
697.00,0.252060
698.00,0.252745
699.00,0.253425
700.00,0.254097
701.00,0.254763
702.00,0.255422
703.00,0.256072
704.00,0.256714
705.00,0.257348
706.00,0.257975
707.00,0.258594
708.00,0.259206
709.00,0.259811
710.00,0.260408
711.00,0.260997
712.00,0.261577
713.00,0.262149
714.00,0.262716
715.00,0.263278
716.00,0.263835
717.00,0.264387
718.00,0.264931
719.00,0.265468
720.00,0.265999
721.00,0.266525
722.00,0.267046
723.00,0.267561
724.00,0.268072
725.00,0.268577
726.00,0.269079
727.00,0.269577
728.00,0.270072
729.00,0.270563
730.00,0.271049
731.00,0.271530
732.00,0.272008
733.00,0.272481
734.00,0.272950
735.00,0.273415
736.00,0.273877
737.00,0.274334
738.00,0.274787
739.00,0.275236
740.00,0.275681
741.00,0.276122
742.00,0.276559
743.00,0.276993
744.00,0.277425
745.00,0.277856
746.00,0.278287
747.00,0.278715
748.00,0.279142
749.00,0.279565
750.00,0.279983
751.00,0.280395
752.00,0.280801
753.00,0.281203
754.00,0.281602
755.00,0.281998
756.00,0.282395
757.00,0.282793
758.00,0.283192
759.00,0.283591
760.00,0.283989
761.00,0.284385
762.00,0.284779
763.00,0.285170
764.00,0.285557
765.00,0.285941
766.00,0.286322
767.00,0.286701
768.00,0.287077
769.00,0.287454
770.00,0.287828
771.00,0.288197
772.00,0.288561
773.00,0.288920
774.00,0.289277
775.00,0.289632
776.00,0.289986
777.00,0.290341
778.00,0.290696
779.00,0.291050
780.00,0.291403
781.00,0.291756
782.00,0.292108
783.00,0.292458
784.00,0.292807
785.00,0.293153
786.00,0.293496
787.00,0.293835
788.00,0.294170
789.00,0.294504
790.00,0.294835
791.00,0.295166
792.00,0.295495
793.00,0.295823
794.00,0.296150
795.00,0.296474
796.00,0.296797
797.00,0.297118
798.00,0.297440
799.00,0.297762
800.00,0.298084
801.00,0.298401
802.00,0.298714
803.00,0.299023
804.00,0.299328
805.00,0.299632
806.00,0.299934
807.00,0.300235
808.00,0.300534
809.00,0.300833
810.00,0.301132
811.00,0.301430
812.00,0.301727
813.00,0.302023
814.00,0.302315
815.00,0.302606
816.00,0.302894
817.00,0.303181
818.00,0.303467
819.00,0.303752
820.00,0.304038
821.00,0.304322
822.00,0.304605
823.00,0.304887
824.00,0.305167
825.00,0.305445
826.00,0.305722
827.00,0.305997
828.00,0.306269
829.00,0.306539
830.00,0.306807
831.00,0.307074
832.00,0.307339
833.00,0.307604
834.00,0.307868
835.00,0.308131
836.00,0.308393
837.00,0.308655
838.00,0.308917
839.00,0.309178
840.00,0.309436
841.00,0.309691
842.00,0.309943
843.00,0.310193
844.00,0.310439
845.00,0.310684
846.00,0.310926
847.00,0.311167
848.00,0.311405
849.00,0.311642
850.00,0.311878
851.00,0.312114
852.00,0.312351
853.00,0.312589
854.00,0.312828
855.00,0.313064
856.00,0.313298
857.00,0.313529
858.00,0.313756
859.00,0.313980
860.00,0.314202
861.00,0.314422
862.00,0.314641
863.00,0.314858
864.00,0.315074
865.00,0.315289
866.00,0.315504
867.00,0.315719
868.00,0.315936
869.00,0.316153
870.00,0.316369
871.00,0.316583
872.00,0.316794
873.00,0.317001
874.00,0.317205
875.00,0.317407
876.00,0.317605
877.00,0.317803
878.00,0.317998
879.00,0.318192
880.00,0.318383
881.00,0.318573
882.00,0.318764
883.00,0.318956
884.00,0.319148
885.00,0.319339
886.00,0.319528
887.00,0.319713
888.00,0.319895
889.00,0.320075
890.00,0.320253
891.00,0.320431
892.00,0.320611
893.00,0.320791
894.00,0.320970
895.00,0.321147
896.00,0.321323
897.00,0.321498
898.00,0.321673
899.00,0.321848
900.00,0.322023
901.00,0.322196
902.00,0.322368
903.00,0.322540
904.00,0.322710
905.00,0.322880
906.00,0.323050
907.00,0.323219
908.00,0.323388
909.00,0.323558
910.00,0.323729
911.00,0.323900
912.00,0.324072
913.00,0.324244
914.00,0.324415
915.00,0.324584
916.00,0.324751
917.00,0.324916
918.00,0.325083
919.00,0.325253
920.00,0.325425
921.00,0.325600
922.00,0.325777
923.00,0.325955
924.00,0.326135
925.00,0.326315
926.00,0.326495
927.00,0.326676
928.00,0.326857
929.00,0.327037
930.00,0.327216
931.00,0.327392
932.00,0.327567
933.00,0.327743
934.00,0.327921
935.00,0.328101
936.00,0.328282
937.00,0.328463
938.00,0.328643
939.00,0.328820
940.00,0.328991
941.00,0.329160
942.00,0.329328
943.00,0.329497
944.00,0.329665
945.00,0.329833
946.00,0.329999
947.00,0.330162
948.00,0.330324
949.00,0.330483
950.00,0.330639
951.00,0.330791
952.00,0.330937
953.00,0.331079
954.00,0.331219
955.00,0.331359
956.00,0.331496
957.00,0.331632
958.00,0.331766
959.00,0.331896
960.00,0.332024
961.00,0.332149
962.00,0.332269
963.00,0.332383
964.00,0.332488
965.00,0.332588
966.00,0.332682
967.00,0.332774
968.00,0.332862
969.00,0.332947
970.00,0.333029
971.00,0.333111
972.00,0.333193
973.00,0.333279
974.00,0.333367
975.00,0.333457
976.00,0.333547
977.00,0.333639
978.00,0.333732
979.00,0.333828
980.00,0.333928
981.00,0.334033
982.00,0.334145
983.00,0.334263
984.00,0.334384
985.00,0.334507
986.00,0.334632
987.00,0.334762
988.00,0.334895
989.00,0.335031
990.00,0.335164
991.00,0.335292
992.00,0.335419
993.00,0.335547
994.00,0.335680
995.00,0.335819
996.00,0.335966
997.00,0.336115
998.00,0.336227
999.00,0.336256
1000.00,0.336175
1001.00,0.336031
1002.00,0.335892
1003.00,0.335815
1004.00,0.335814
1005.00,0.335892
1006.00,0.336046
1007.00,0.336240
1008.00,0.336428
1009.00,0.336580
1010.00,0.336717
1011.00,0.336871
1012.00,0.337064
1013.00,0.337285
1014.00,0.337510
1015.00,0.337715
1016.00,0.337888
1017.00,0.338041
1018.00,0.338189
1019.00,0.338342
1020.00,0.338498
1021.00,0.338651
1022.00,0.338800
1023.00,0.338947
1024.00,0.339095
1025.00,0.339247
1026.00,0.339402
1027.00,0.339558
1028.00,0.339716
1029.00,0.339873
1030.00,0.340032
1031.00,0.340192
1032.00,0.340353
1033.00,0.340514
1034.00,0.340675
1035.00,0.340837
1036.00,0.341000
1037.00,0.341163
1038.00,0.341328
1039.00,0.341493
1040.00,0.341658
1041.00,0.341824
1042.00,0.341988
1043.00,0.342153
1044.00,0.342316
1045.00,0.342478
1046.00,0.342638
1047.00,0.342795
1048.00,0.342947
1049.00,0.343095
1050.00,0.343238
1051.00,0.343378
1052.00,0.343515
1053.00,0.343650
1054.00,0.343785
1055.00,0.343921
1056.00,0.344058
1057.00,0.344197
1058.00,0.344337
1059.00,0.344481
1060.00,0.344628
1061.00,0.344779
1062.00,0.344933
1063.00,0.345090
1064.00,0.345250
1065.00,0.345410
1066.00,0.345571
1067.00,0.345730
1068.00,0.345888
1069.00,0.346046
1070.00,0.346204
1071.00,0.346361
1072.00,0.346519
1073.00,0.346678
1074.00,0.346837
1075.00,0.346996
1076.00,0.347156
1077.00,0.347317
1078.00,0.347480
1079.00,0.347643
1080.00,0.347808
1081.00,0.347973
1082.00,0.348137
1083.00,0.348299
1084.00,0.348460
1085.00,0.348617
1086.00,0.348772
1087.00,0.348926
1088.00,0.349079
1089.00,0.349232
1090.00,0.349385
1091.00,0.349539
1092.00,0.349691
1093.00,0.349843
1094.00,0.349994
1095.00,0.350145
1096.00,0.350294
1097.00,0.350443
1098.00,0.350592
1099.00,0.350739
1100.00,0.350885
1101.00,0.351029
1102.00,0.351171
1103.00,0.351310
1104.00,0.351447
1105.00,0.351581
1106.00,0.351712
1107.00,0.351840
1108.00,0.351965
1109.00,0.352087
1110.00,0.352204
1111.00,0.352319
1112.00,0.352428
1113.00,0.352536
1114.00,0.352640
1115.00,0.352742
1116.00,0.352841
1117.00,0.352938
1118.00,0.353032
1119.00,0.353123
1120.00,0.353209
1121.00,0.353291
1122.00,0.353368
1123.00,0.353438
1124.00,0.353503
1125.00,0.353561
1126.00,0.353612
1127.00,0.353654
1128.00,0.353689
1129.00,0.353717
1130.00,0.353738
1131.00,0.353752
1132.00,0.353762
1133.00,0.353766
1134.00,0.353766
1135.00,0.353759
1136.00,0.353746
1137.00,0.353727
1138.00,0.353702
1139.00,0.353671
1140.00,0.353635
1141.00,0.353595
1142.00,0.353549
1143.00,0.353499
1144.00,0.353443
1145.00,0.353382
1146.00,0.353314
1147.00,0.353239
1148.00,0.353158
1149.00,0.353070
1150.00,0.352976
1151.00,0.352877
1152.00,0.352775
1153.00,0.352670
1154.00,0.352565
1155.00,0.352461
1156.00,0.352359
1157.00,0.352260
1158.00,0.352163
1159.00,0.352070
1160.00,0.351980
1161.00,0.351892
1162.00,0.351809
1163.00,0.351729
1164.00,0.351652
1165.00,0.351580
1166.00,0.351513
1167.00,0.351450
1168.00,0.351392
1169.00,0.351338
1170.00,0.351287
1171.00,0.351240
1172.00,0.351195
1173.00,0.351153
1174.00,0.351112
1175.00,0.351073
1176.00,0.351034
1177.00,0.350995
1178.00,0.350956
1179.00,0.350917
1180.00,0.350878
1181.00,0.350841
1182.00,0.350807
1183.00,0.350777
1184.00,0.350751
1185.00,0.350731
1186.00,0.350715
1187.00,0.350705
1188.00,0.350701
1189.00,0.350701
1190.00,0.350706
1191.00,0.350717
1192.00,0.350732
1193.00,0.350753
1194.00,0.350778
1195.00,0.350807
1196.00,0.350840
1197.00,0.350877
1198.00,0.350918
1199.00,0.350962
1200.00,0.351010
1201.00,0.351062
1202.00,0.351119
1203.00,0.351182
1204.00,0.351251
1205.00,0.351327
1206.00,0.351411
1207.00,0.351503
1208.00,0.351604
1209.00,0.351714
1210.00,0.351834
1211.00,0.351966
1212.00,0.352109
1213.00,0.352263
1214.00,0.352430
1215.00,0.352610
1216.00,0.352801
1217.00,0.353003
1218.00,0.353216
1219.00,0.353439
1220.00,0.353670
1221.00,0.353910
1222.00,0.354156
1223.00,0.354409
1224.00,0.354668
1225.00,0.354933
1226.00,0.355202
1227.00,0.355475
1228.00,0.355752
1229.00,0.356031
1230.00,0.356312
1231.00,0.356593
1232.00,0.356874
1233.00,0.357155
1234.00,0.357434
1235.00,0.357711
1236.00,0.357984
1237.00,0.358255
1238.00,0.358522
1239.00,0.358784
1240.00,0.359043
1241.00,0.359297
1242.00,0.359546
1243.00,0.359791
1244.00,0.360032
1245.00,0.360269
1246.00,0.360503
1247.00,0.360733
1248.00,0.360960
1249.00,0.361183
1250.00,0.361403
1251.00,0.361618
1252.00,0.361830
1253.00,0.362037
1254.00,0.362240
1255.00,0.362439
1256.00,0.362633
1257.00,0.362823
1258.00,0.363009
1259.00,0.363191
1260.00,0.363369
1261.00,0.363544
1262.00,0.363716
1263.00,0.363884
1264.00,0.364050
1265.00,0.364213
1266.00,0.364375
1267.00,0.364536
1268.00,0.364696
1269.00,0.364857
1270.00,0.365018
1271.00,0.365181
1272.00,0.365345
1273.00,0.365512
1274.00,0.365681
1275.00,0.365852
1276.00,0.366025
1277.00,0.366199
1278.00,0.366375
1279.00,0.366552
1280.00,0.366729
1281.00,0.366906
1282.00,0.367083
1283.00,0.367257
1284.00,0.367430
1285.00,0.367600
1286.00,0.367767
1287.00,0.367932
1288.00,0.368092
1289.00,0.368249
1290.00,0.368403
1291.00,0.368553
1292.00,0.368699
1293.00,0.368842
1294.00,0.368982
1295.00,0.369119
1296.00,0.369253
1297.00,0.369384
1298.00,0.369512
1299.00,0.369637
1300.00,0.369759
1301.00,0.369876
1302.00,0.369990
1303.00,0.370098
1304.00,0.370201
1305.00,0.370299
1306.00,0.370390
1307.00,0.370476
1308.00,0.370555
1309.00,0.370628
1310.00,0.370693
1311.00,0.370752
1312.00,0.370804
1313.00,0.370848
1314.00,0.370884
1315.00,0.370913
1316.00,0.370934
1317.00,0.370946
1318.00,0.370950
1319.00,0.370946
1320.00,0.370933
1321.00,0.370910
1322.00,0.370876
1323.00,0.370831
1324.00,0.370774
1325.00,0.370704
1326.00,0.370621
1327.00,0.370523
1328.00,0.370411
1329.00,0.370283
1330.00,0.370140
1331.00,0.369981
1332.00,0.369807
1333.00,0.369617
1334.00,0.369412
1335.00,0.369193
1336.00,0.368961
1337.00,0.368715
1338.00,0.368457
1339.00,0.368185
1340.00,0.367900
1341.00,0.367602
1342.00,0.367292
1343.00,0.366969
1344.00,0.366635
1345.00,0.366290
1346.00,0.365935
1347.00,0.365572
1348.00,0.365202
1349.00,0.364827
1350.00,0.364448
1351.00,0.364066
1352.00,0.363683
1353.00,0.363299
1354.00,0.362915
1355.00,0.362533
1356.00,0.362153
1357.00,0.361776
1358.00,0.361404
1359.00,0.361036
1360.00,0.360674
1361.00,0.360318
1362.00,0.359969
1363.00,0.359628
1364.00,0.359296
1365.00,0.358973
1366.00,0.358659
1367.00,0.358356
1368.00,0.358063
1369.00,0.357778
1370.00,0.357503
1371.00,0.357233
1372.00,0.356968
1373.00,0.356704
1374.00,0.356438
1375.00,0.356166
1376.00,0.355884
1377.00,0.355588
