wavelength_nm,reflectance
350.00,0.019055
351.00,0.019056
352.00,0.018861
353.00,0.018666
354.00,0.018473
355.00,0.018285
356.00,0.018114
357.00,0.017977
358.00,0.017878
359.00,0.017791
360.00,0.017679
361.00,0.017522
362.00,0.017370
363.00,0.017292
364.00,0.017329
365.00,0.017419
366.00,0.017477
367.00,0.017440
368.00,0.017348
369.00,0.017265
370.00,0.017241
371.00,0.017266
372.00,0.017311
373.00,0.017357
374.00,0.017402
375.00,0.017451
376.00,0.017508
377.00,0.017573
378.00,0.017644
379.00,0.017719
380.00,0.017782
381.00,0.017818
382.00,0.017816
383.00,0.017791
384.00,0.017765
385.00,0.017755
386.00,0.017763
387.00,0.017787
388.00,0.017822
389.00,0.017854
390.00,0.017863
391.00,0.017834
392.00,0.017775
393.00,0.017696
394.00,0.017613
395.00,0.017550
396.00,0.017536
397.00,0.017584
398.00,0.017650
399.00,0.017674
400.00,0.017619
401.00,0.017531
402.00,0.017478
403.00,0.017508
404.00,0.017589
405.00,0.017666
406.00,0.017700
407.00,0.017703
408.00,0.017701
409.00,0.017714
410.00,0.017737
411.00,0.017762
412.00,0.017781
413.00,0.017807
414.00,0.017855
415.00,0.017935
416.00,0.018029
417.00,0.018114
418.00,0.018176
419.00,0.018223
420.00,0.018272
421.00,0.018338
422.00,0.018418
423.00,0.018509
424.00,0.018608
425.00,0.018711
426.00,0.018817
427.00,0.018926
428.00,0.019047
429.00,0.019194
430.00,0.019374
431.00,0.019577
432.00,0.019789
433.00,0.019997
434.00,0.020203
435.00,0.020410
436.00,0.020621
437.00,0.020836
438.00,0.021051
439.00,0.021266
440.00,0.021477
441.00,0.021684
442.00,0.021884
443.00,0.022083
444.00,0.022287
445.00,0.022499
446.00,0.022715
447.00,0.022926
448.00,0.023126
449.00,0.023312
450.00,0.023483
451.00,0.023639
452.00,0.023782
453.00,0.023912
454.00,0.024031
455.00,0.024136
456.00,0.024227
457.00,0.024303
458.00,0.024368
459.00,0.024430
460.00,0.024495
461.00,0.024559
462.00,0.024617
463.00,0.024665
464.00,0.024710
465.00,0.024756
466.00,0.024808
467.00,0.024868
468.00,0.024935
469.00,0.025007
470.00,0.025078
471.00,0.025140
472.00,0.025189
473.00,0.025237
474.00,0.025299
475.00,0.025387
476.00,0.025491
477.00,0.025602
478.00,0.025707
479.00,0.025810
480.00,0.025915
481.00,0.026026
482.00,0.026147
483.00,0.026283
484.00,0.026436
485.00,0.026605
486.00,0.026786
487.00,0.026976
488.00,0.027173
489.00,0.027374
490.00,0.027580
491.00,0.027796
