wavelength_nm,reflectance
350.00,0.044149
351.00,0.044152
352.00,0.044090
353.00,0.044086
354.00,0.044198
355.00,0.044453
356.00,0.044750
357.00,0.044955
358.00,0.044981
359.00,0.044916
360.00,0.044893
361.00,0.045008
362.00,0.045216
363.00,0.045435
364.00,0.045599
365.00,0.045707
366.00,0.045771
367.00,0.045812
368.00,0.045874
369.00,0.046005
370.00,0.046234
371.00,0.046502
372.00,0.046728
373.00,0.046857
374.00,0.046936
375.00,0.047036
376.00,0.047215
377.00,0.047461
378.00,0.047749
379.00,0.048052
380.00,0.048342
381.00,0.048591
382.00,0.048786
383.00,0.048969
384.00,0.049202
385.00,0.049522
386.00,0.049894
387.00,0.050261
388.00,0.050581
389.00,0.050866
390.00,0.051141
391.00,0.051429
392.00,0.051740
393.00,0.052079
394.00,0.052446
395.00,0.052820
396.00,0.053172
397.00,0.053482
398.00,0.053763
399.00,0.054034
400.00,0.054312
401.00,0.054599
402.00,0.054889
403.00,0.055179
404.00,0.055467
405.00,0.055749
406.00,0.056026
407.00,0.056302
408.00,0.056585
409.00,0.056879
410.00,0.057182
411.00,0.057487
412.00,0.057790
413.00,0.058092
414.00,0.058394
415.00,0.058697
416.00,0.058998
417.00,0.059296
418.00,0.059588
419.00,0.059878
420.00,0.060169
421.00,0.060466
422.00,0.060766
423.00,0.061066
424.00,0.061366
425.00,0.061665
426.00,0.061965
427.00,0.062270
428.00,0.062580
429.00,0.062897
430.00,0.063222
431.00,0.063553
432.00,0.063886
433.00,0.064217
434.00,0.064542
435.00,0.064854
436.00,0.065153
437.00,0.065446
438.00,0.065743
439.00,0.066052
440.00,0.066368
441.00,0.066684
442.00,0.066995
443.00,0.067301
444.00,0.067606
445.00,0.067910
446.00,0.068216
447.00,0.068524
448.00,0.068836
449.00,0.069147
450.00,0.069454
451.00,0.069755
452.00,0.070052
453.00,0.070348
454.00,0.070645
455.00,0.070943
456.00,0.071240
457.00,0.071533
458.00,0.071821
459.00,0.072102
460.00,0.072377
461.00,0.072647
462.00,0.072914
463.00,0.073182
464.00,0.073448
465.00,0.073711
466.00,0.073970
467.00,0.074226
468.00,0.074484
469.00,0.074746
470.00,0.075008
471.00,0.075265
472.00,0.075515
473.00,0.075760
474.00,0.076003
475.00,0.076247
476.00,0.076494
477.00,0.076744
478.00,0.076997
479.00,0.077250
480.00,0.077502
481.00,0.077750
482.00,0.077996
483.00,0.078240
484.00,0.078485
485.00,0.078734
486.00,0.078990
487.00,0.079258
488.00,0.079531
489.00,0.079805
490.00,0.080074
491.00,0.080340
492.00,0.080606
493.00,0.080875
494.00,0.081146
495.00,0.081418
496.00,0.081690
497.00,0.081962
498.00,0.082234
499.00,0.082508
500.00,0.082784
501.00,0.083065
502.00,0.083351
503.00,0.083642
504.00,0.083933
505.00,0.084224
506.00,0.084513
507.00,0.084801
508.00,0.085086
509.00,0.085370
510.00,0.085653
511.00,0.085937
512.00,0.086222
513.00,0.086509
514.00,0.086800
515.00,0.087094
516.00,0.087393
517.00,0.087696
518.00,0.088004
519.00,0.088313
520.00,0.088624
521.00,0.088937
522.00,0.089251
523.00,0.089568
524.00,0.089888
525.00,0.090212
526.00,0.090540
527.00,0.090873
528.00,0.091210
529.00,0.091550
530.00,0.091892
531.00,0.092235
532.00,0.092579
533.00,0.092925
534.00,0.093276
535.00,0.093632
536.00,0.093993
537.00,0.094357
538.00,0.094723
539.00,0.095095
540.00,0.095474
541.00,0.095863
542.00,0.096261
543.00,0.096664
544.00,0.097071
545.00,0.097482
546.00,0.097897
547.00,0.098318
548.00,0.098745
549.00,0.099181
550.00,0.099627
551.00,0.100080
552.00,0.100539
553.00,0.101002
554.00,0.101467
555.00,0.101935
556.00,0.102405
557.00,0.102881
558.00,0.103365
559.00,0.103859
560.00,0.104359
561.00,0.104862
562.00,0.105362
563.00,0.105860
564.00,0.106355
565.00,0.106849
566.00,0.107344
567.00,0.107840
568.00,0.108339
569.00,0.108838
570.00,0.109335
571.00,0.109826
572.00,0.110312
573.00,0.110795
574.00,0.111274
575.00,0.111750
576.00,0.112223
577.00,0.112693
578.00,0.113158
579.00,0.113614
580.00,0.114059
581.00,0.114497
582.00,0.114930
583.00,0.115361
584.00,0.115787
585.00,0.116206
586.00,0.116613
587.00,0.117010
588.00,0.117400
589.00,0.117785
590.00,0.118163
591.00,0.118535
592.00,0.118898
593.00,0.119256
594.00,0.119608
595.00,0.119957
596.00,0.120301
597.00,0.120636
598.00,0.120961
599.00,0.121284
600.00,0.121611
601.00,0.121947
602.00,0.122287
603.00,0.122622
604.00,0.122947
605.00,0.123263
606.00,0.123571
607.00,0.123876
608.00,0.124178
609.00,0.124477
610.00,0.124774
611.00,0.125069
612.00,0.125364
613.00,0.125659
614.00,0.125954
615.00,0.126249
616.00,0.126546
617.00,0.126846
618.00,0.127151
619.00,0.127463
620.00,0.127779
621.00,0.128097
622.00,0.128413
623.00,0.128728
624.00,0.129043
625.00,0.129360
626.00,0.129677
627.00,0.129994
628.00,0.130310
629.00,0.130625
630.00,0.130943
631.00,0.131263
632.00,0.131586
633.00,0.131911
634.00,0.132236
635.00,0.132559
636.00,0.132881
637.00,0.133199
638.00,0.133518
639.00,0.133841
640.00,0.134170
641.00,0.134502
642.00,0.134830
643.00,0.135151
644.00,0.135465
645.00,0.135777
646.00,0.136090
647.00,0.136404
648.00,0.136721
649.00,0.137040
650.00,0.137364
651.00,0.137694
652.00,0.138029
653.00,0.138364
654.00,0.138691
655.00,0.139007
656.00,0.139316
657.00,0.139626
658.00,0.139945
659.00,0.140270
660.00,0.140598
661.00,0.140925
662.00,0.141248
663.00,0.141564
664.00,0.141872
665.00,0.142176
666.00,0.142482
667.00,0.142795
668.00,0.143113
669.00,0.143432
670.00,0.143750
671.00,0.144069
672.00,0.144391
673.00,0.144720
674.00,0.145055
675.00,0.145395
676.00,0.145738
677.00,0.146086
678.00,0.146440
679.00,0.146800
680.00,0.147167
681.00,0.147540
682.00,0.147920
683.00,0.148302
684.00,0.148682
685.00,0.149058
686.00,0.149436
687.00,0.149828
688.00,0.150239
689.00,0.150667
690.00,0.151108
691.00,0.151555
692.00,0.152007
693.00,0.152459
694.00,0.152909
695.00,0.153359
696.00,0.153811
697.00,0.154267
698.00,0.154723
699.00,0.155177
700.00,0.155626
701.00,0.156069
702.00,0.156509
703.00,0.156944
704.00,0.157377
705.00,0.157807
706.00,0.158233
707.00,0.158656
708.00,0.159075
709.00,0.159488
710.00,0.159899
711.00,0.160309
712.00,0.160719
713.00,0.161121
714.00,0.161503
715.00,0.161861
716.00,0.162210
717.00,0.162569
718.00,0.162952
719.00,0.163351
720.00,0.163748
721.00,0.164132
722.00,0.164508
723.00,0.164882
724.00,0.165262
725.00,0.165645
726.00,0.166026
727.00,0.166404
728.00,0.166781
729.00,0.167161
730.00,0.167547
731.00,0.167938
732.00,0.168329
733.00,0.168718
734.00,0.169102
735.00,0.169478
736.00,0.169844
737.00,0.170204
738.00,0.170562
739.00,0.170921
740.00,0.171281
741.00,0.171641
742.00,0.172001
743.00,0.172360
744.00,0.172716
745.00,0.173070
746.00,0.173420
747.00,0.173766
748.00,0.174109
749.00,0.174451
750.00,0.174796
751.00,0.175145
752.00,0.175497
753.00,0.175850
754.00,0.176201
755.00,0.176543
756.00,0.176870
757.00,0.177178
758.00,0.177479
759.00,0.177785
760.00,0.178108
761.00,0.178448
762.00,0.178801
763.00,0.179164
764.00,0.179530
765.00,0.179893
766.00,0.180248
767.00,0.180597
768.00,0.180942
769.00,0.181288
770.00,0.181635
771.00,0.181981
772.00,0.182326
773.00,0.182668
774.00,0.183004
775.00,0.183333
776.00,0.183659
777.00,0.183988
778.00,0.184326
779.00,0.184668
780.00,0.185011
781.00,0.185350
782.00,0.185686
783.00,0.186020
784.00,0.186353
785.00,0.186685
786.00,0.187012
787.00,0.187336
788.00,0.187659
789.00,0.187987
790.00,0.188323
791.00,0.188663
792.00,0.189003
793.00,0.189338
794.00,0.189669
795.00,0.189995
796.00,0.190319
797.00,0.190640
798.00,0.190959
799.00,0.191278
800.00,0.191599
801.00,0.191923
802.00,0.192252
803.00,0.192582
804.00,0.192909
805.00,0.193229
806.00,0.193543
807.00,0.193853
808.00,0.194158
809.00,0.194459
810.00,0.194752
811.00,0.195036
812.00,0.195318
813.00,0.195603
814.00,0.195897
815.00,0.196201
816.00,0.196510
817.00,0.196824
818.00,0.197138
819.00,0.197449
820.00,0.197754
821.00,0.198054
