wavelength_nm,reflectance
350.00,
351.00,
352.00,
353.00,
354.00,
355.00,
356.00,
357.00,
358.00,
359.00,
360.00,
361.00,
362.00,
363.00,
364.00,
365.00,
366.00,
367.00,
368.00,
369.00,
370.00,
371.00,
372.00,
373.00,
374.00,
375.00,
376.00,
377.00,
378.00,
379.00,
380.00,
381.00,
382.00,
383.00,
384.00,
385.00,
386.00,
387.00,
388.00,
389.00,
390.00,
391.00,
392.00,
393.00,
394.00,
395.00,
396.00,
397.00,
398.00,
399.00,
400.00,
401.00,
402.00,
403.00,
404.00,
405.00,
406.00,
407.00,
408.00,
409.00,
410.00,
411.00,
412.00,
413.00,
414.00,0.049496
415.00,0.049497
416.00,0.049498
417.00,0.049499
418.00,0.049501
419.00,0.049502
420.00,0.049504
421.00,0.049864
422.00,0.050233
423.00,0.050618
424.00,0.051014
425.00,0.051363
426.00,0.051594
427.00,0.051670
428.00,0.051686
429.00,0.051772
430.00,0.052025
431.00,0.052408
432.00,0.052849
433.00,0.053292
434.00,0.053730
435.00,0.054169
436.00,0.054607
437.00,0.055000
438.00,0.055295
439.00,0.055462
440.00,0.055556
441.00,0.055655
442.00,0.055813
443.00,0.055987
444.00,0.056108
445.00,0.056137
446.00,0.056140
447.00,0.056213
448.00,0.056417
449.00,0.056677
450.00,0.056889
451.00,0.056978
452.00,0.057005
453.00,0.057062
454.00,0.057214
455.00,0.057405
456.00,0.057549
457.00,0.057586
458.00,0.057554
459.00,0.057516
460.00,0.057517
461.00,0.057538
462.00,0.057540
463.00,0.057499
464.00,0.057437
465.00,0.057389
466.00,0.057380
467.00,0.057405
468.00,0.057449
469.00,0.057505
470.00,0.057590
471.00,0.057727
472.00,0.057923
473.00,0.058123
474.00,0.058255
475.00,0.058269
476.00,0.058203
477.00,0.058118
478.00,0.058071
479.00,0.058093
480.00,0.058214
481.00,0.058442
482.00,0.058717
483.00,0.058959
484.00,0.059107
485.00,0.059176
486.00,0.059196
487.00,0.059198
488.00,0.059202
489.00,0.059229
490.00,0.059296
491.00,0.059410
492.00,0.059577
493.00,0.059795
494.00,0.060025
495.00,0.060221
496.00,0.060351
497.00,0.060445
498.00,0.060547
499.00,0.060700
500.00,0.060941
501.00,0.061305
502.00,0.061806
503.00,0.062379
504.00,0.062938
505.00,0.063428
506.00,0.063928
507.00,0.064547
508.00,0.065366
509.00,0.066340
510.00,0.067396
511.00,0.068483
512.00,0.069650
513.00,0.070970
514.00,0.072498
515.00,0.074212
516.00,0.076073
517.00,0.078053
518.00,0.080159
519.00,0.082411
520.00,0.084812
521.00,0.087304
522.00,0.089815
523.00,0.092288
524.00,0.094738
525.00,0.097196
526.00,0.099674
527.00,0.102106
528.00,0.104406
529.00,0.106509
530.00,0.108423
531.00,0.110176
532.00,0.111794
533.00,0.113289
534.00,0.114672
535.00,0.115951
536.00,0.117125
537.00,0.118188
538.00,0.119133
539.00,0.119943
540.00,0.120597
541.00,0.121095
542.00,0.121510
543.00,0.121933
544.00,0.122431
545.00,0.122960
546.00,0.123448
547.00,0.123847
548.00,0.124189
549.00,0.124531
550.00,0.124905
551.00,0.125261
552.00,0.125525
553.00,0.125637
554.00,0.125578
555.00,0.125340
556.00,0.124920
557.00,0.124334
558.00,0.123600
559.00,0.122734
560.00,0.121730
561.00,0.120578
562.00,0.119276
563.00,0.117853
564.00,0.116350
565.00,0.114796
566.00,0.113195
567.00,0.111544
568.00,0.109840
569.00,0.108079
570.00,0.106258
571.00,0.104388
572.00,0.102533
573.00,0.100769
574.00,0.099156
575.00,0.097679
576.00,0.096304
577.00,0.095004
578.00,0.093767
579.00,0.092589
580.00,0.091466
581.00,0.090415
582.00,0.089453
583.00,0.088596
584.00,0.087838
585.00,0.087170
586.00,0.086574
587.00,0.086004
588.00,0.085405
589.00,0.084748
590.00,0.084100
591.00,0.083555
592.00,0.083177
593.00,0.082922
594.00,0.082717
595.00,0.082503
596.00,0.082268
597.00,0.082010
598.00,0.081732
599.00,0.081444
600.00,0.081159
601.00,0.080880
602.00,0.080584
603.00,0.080235
604.00,0.079810
605.00,0.079324
606.00,0.078798
607.00,0.078254
608.00,0.077697
609.00,0.077130
610.00,0.076557
611.00,0.075991
612.00,0.075449
613.00,0.074937
614.00,0.074430
615.00,0.073894
616.00,0.073307
617.00,0.072704
618.00,0.072129
619.00,0.071619
620.00,0.071164
621.00,0.070743
622.00,0.070343
623.00,0.069974
624.00,0.069652
625.00,0.069393
626.00,0.069199
627.00,0.069071
628.00,0.069003
629.00,0.068953
630.00,0.068873
631.00,0.068731
632.00,0.068562
633.00,0.068420
634.00,0.068335
635.00,0.068252
636.00,0.068092
637.00,0.067794
638.00,0.067355
639.00,0.066787
640.00,0.066114
641.00,0.065401
642.00,0.064723
643.00,0.064134
644.00,0.063597
645.00,0.063054
646.00,0.062466
647.00,0.061884
648.00,0.061384
649.00,0.061015
650.00,0.060747
651.00,0.060524
652.00,0.060302
653.00,0.060066
654.00,0.059811
655.00,0.059536
656.00,0.059257
657.00,0.058996
658.00,0.058768
659.00,0.058554
660.00,0.058328
661.00,0.058072
662.00,0.057788
663.00,0.057486
664.00,0.057180
665.00,0.056898
666.00,0.056675
667.00,0.056528
668.00,0.056420
669.00,0.056299
670.00,0.056133
671.00,0.055970
672.00,0.055877
673.00,0.055903
674.00,0.056016
675.00,0.056165
676.00,0.056310
677.00,0.056449
678.00,0.056594
679.00,0.056755
680.00,0.056954
681.00,0.057213
682.00,0.057549
683.00,0.057946
684.00,0.058381
685.00,0.058854
686.00,0.059453
687.00,0.060291
688.00,0.061468
689.00,0.063034
690.00,0.065030
691.00,0.067509
692.00,0.070584
693.00,0.074384
694.00,0.079014
695.00,0.084488
696.00,0.090800
697.00,0.097926
698.00,0.105783
699.00,0.114272
700.00,0.123296
701.00,0.132761
702.00,0.142573
703.00,0.152646
704.00,0.162916
705.00,0.173332
706.00,0.183842
707.00,0.194405
708.00,0.204983
709.00,0.215545
710.00,0.226081
711.00,0.236588
712.00,0.247058
713.00,0.257474
714.00,0.267813
715.00,0.278055
716.00,0.288183
717.00,0.298182
718.00,0.308026
719.00,0.317671
720.00,0.327062
721.00,0.336160
722.00,0.344979
723.00,0.353546
724.00,0.361870
725.00,0.369892
726.00,0.377535
727.00,0.384743
728.00,0.391537
729.00,0.397961
730.00,0.404052
731.00,0.409819
732.00,0.415267
733.00,0.420394
734.00,0.425182
735.00,0.429607
736.00,0.433662
737.00,0.437388
738.00,0.440839
739.00,0.444062
740.00,0.447057
741.00,0.449815
742.00,0.452331
743.00,0.454616
744.00,0.456686
745.00,0.458559
746.00,0.460261
747.00,0.461823
748.00,0.463266
749.00,0.464590
750.00,0.465787
751.00,0.466851
752.00,0.467782
753.00,0.468579
754.00,0.469252
755.00,0.469837
756.00,0.470380
757.00,0.470911
758.00,0.471407
759.00,0.471832
760.00,0.472163
761.00,0.472431
762.00,0.472681
763.00,0.472947
764.00,0.473212
765.00,0.473449
766.00,0.473637
767.00,0.473784
768.00,0.473908
769.00,0.474021
770.00,0.474118
771.00,0.474192
772.00,0.474236
773.00,0.474266
774.00,0.474299
775.00,0.474348
776.00,0.474404
777.00,0.474452
778.00,0.474481
779.00,0.474497
780.00,0.474509
781.00,0.474528
782.00,0.474559
783.00,0.474609
784.00,0.474682
785.00,0.474764
786.00,0.474841
787.00,0.474901
788.00,0.474948
789.00,0.474988
790.00,0.475028
791.00,0.475063
792.00,0.475090
793.00,0.475103
794.00,0.475108
795.00,0.475107
796.00,0.475105
797.00,0.475104
798.00,0.475105
799.00,0.475110
800.00,0.475117
801.00,0.475127
802.00,0.475135
803.00,0.475128
804.00,0.475090
805.00,0.475013
806.00,0.474929
807.00,0.474876
808.00,0.474883
809.00,0.474935
810.00,0.475004
811.00,0.475066
812.00,0.475103
813.00,0.475101
814.00,0.475054
815.00,0.474996
816.00,0.474970
817.00,0.475004
818.00,0.475057
819.00,0.475072
820.00,0.475014
821.00,0.474928
822.00,0.474879
823.00,0.474914
824.00,0.475004
825.00,0.475101
826.00,0.475166
827.00,0.475202
828.00,0.475222
829.00,0.475236
830.00,0.475250
831.00,0.475269
832.00,0.475293
833.00,0.475303
834.00,0.475278
835.00,0.475205
836.00,0.475119
837.00,0.475064
838.00,0.475072
839.00,0.475125
840.00,0.475195
841.00,0.475254
842.00,0.475291
843.00,0.475298
844.00,0.475277
845.00,0.475267
846.00,0.475317
847.00,0.475453
848.00,0.475602
849.00,0.475669
850.00,0.475591
851.00,0.475436
852.00,0.475304
853.00,0.475270
854.00,0.475300
855.00,0.475335
856.00,0.475331
857.00,0.475296
858.00,0.475255
859.00,0.475226
860.00,0.475203
861.00,0.475174
862.00,0.475131
863.00,0.475085
864.00,0.475053
865.00,0.475045
866.00,0.475044
867.00,0.475032
868.00,0.474992
869.00,0.474930
870.00,0.474859
871.00,0.474789
872.00,0.474733
873.00,0.474699
874.00,0.474693
875.00,0.474690
876.00,0.474657
877.00,0.474577
878.00,0.474481
879.00,0.474412
880.00,0.474402
881.00,0.474435
882.00,0.474483
883.00,0.474519
884.00,0.474519
885.00,0.474462
886.00,0.474344
887.00,0.474228
888.00,0.474199
889.00,0.474304
890.00,0.474464
891.00,0.474561
892.00,0.474516
893.00,0.474383
894.00,0.474250
895.00,0.474189
896.00,0.474196
897.00,0.474252
898.00,0.474339
899.00,0.474440
900.00,0.474544
901.00,0.474631
902.00,0.474663
903.00,0.474597
904.00,0.474420
905.00,0.474232
906.00,0.474165
907.00,0.474301
908.00,0.474542
909.00,0.474740
910.00,0.474784
911.00,0.474699
912.00,0.474546
913.00,0.474377
914.00,0.474217
915.00,0.474082
916.00,0.473989
917.00,0.473954
918.00,0.473993
919.00,0.474103
920.00,0.474203
921.00,0.474196
922.00,0.474019
923.00,0.473769
924.00,0.473578
925.00,0.473535
926.00,0.473560
927.00,0.473528
928.00,0.473347
929.00,0.473051
930.00,0.472710
931.00,0.472379
932.00,0.472069
933.00,0.471778
934.00,0.471508
935.00,0.471256
936.00,0.471022
937.00,0.470806
938.00,0.470607
939.00,0.470425
940.00,0.470257
941.00,
942.00,
943.00,
944.00,
945.00,
946.00,
947.00,
948.00,
949.00,
950.00,
951.00,
952.00,
953.00,
954.00,
955.00,
956.00,
957.00,
958.00,
959.00,
960.00,
961.00,
962.00,
963.00,
964.00,
965.00,
966.00,
967.00,
968.00,
969.00,
970.00,
971.00,
972.00,
973.00,
974.00,
975.00,
976.00,
977.00,
978.00,
979.00,
980.00,
981.00,
982.00,
983.00,
984.00,
985.00,
986.00,
987.00,
988.00,
989.00,
990.00,
991.00,
992.00,
993.00,
994.00,
995.00,
996.00,
997.00,
998.00,
999.00,
1000.00,
1001.00,
1002.00,
1003.00,
1004.00,
1005.00,0.462212
1006.00,0.462593
1007.00,0.463206
1008.00,0.463800
1009.00,0.464182
1010.00,0.464357
1011.00,0.464383
1012.00,0.464318
1013.00,0.464219
1014.00,0.464144
1015.00,0.464152
1016.00,0.464279
1017.00,0.464512
1018.00,0.464833
1019.00,0.465206
1020.00,0.465563
1021.00,0.465832
1022.00,0.465981
1023.00,0.466074
1024.00,0.466185
1025.00,0.466347
1026.00,0.466494
1027.00,0.466546
1028.00,0.466475
1029.00,0.466368
1030.00,0.466325
1031.00,0.466403
1032.00,0.466556
1033.00,0.466723
1034.00,0.466867
1035.00,0.466996
1036.00,0.467127
1037.00,0.467266
1038.00,0.467401
1039.00,0.467516
1040.00,0.467596
1041.00,0.467632
1042.00,0.467615
1043.00,0.467548
1044.00,0.467463
1045.00,0.467395
1046.00,0.467368
1047.00,0.467387
1048.00,0.467452
1049.00,0.467547
1050.00,0.467624
1051.00,0.467626
1052.00,0.467535
1053.00,0.467405
1054.00,0.467304
1055.00,0.467272
1056.00,0.467291
1057.00,0.467336
1058.00,0.467384
1059.00,0.467422
1060.00,0.467434
1061.00,0.467417
1062.00,0.467388
1063.00,0.467365
1064.00,0.467361
1065.00,0.467367
1066.00,0.467375
1067.00,0.467379
1068.00,0.467389
1069.00,0.467416
1070.00,0.467462
1071.00,0.467512
1072.00,0.467548
1073.00,0.467554
1074.00,0.467513
1075.00,0.467409
1076.00,0.467246
1077.00,0.467068
1078.00,0.466926
1079.00,0.466853
1080.00,0.466842
1081.00,0.466877
1082.00,0.466941
1083.00,0.466998
1084.00,0.467017
1085.00,0.466978
1086.00,0.466909
1087.00,0.466843
1088.00,0.466797
1089.00,0.466760
1090.00,0.466717
1091.00,0.466654
1092.00,0.466549
1093.00,0.466385
1094.00,0.466157
1095.00,0.465890
1096.00,0.465617
1097.00,0.465366
1098.00,0.465165
1099.00,0.465041
1100.00,0.464996
1101.00,0.464984
1102.00,0.464950
1103.00,0.464864
1104.00,0.464749
1105.00,0.464636
1106.00,0.464548
1107.00,0.464484
1108.00,0.464447
1109.00,0.464426
1110.00,0.464399
1111.00,0.464340
1112.00,0.464231
1113.00,0.464075
1114.00,0.463877
1115.00,0.463650
1116.00,0.463425
1117.00,0.463240
1118.00,0.463102
1119.00,0.462968
1120.00,0.462786
1121.00,0.462525
1122.00,0.462200
1123.00,0.461831
1124.00,0.461437
1125.00,0.461027
1126.00,0.460611
1127.00,0.460190
1128.00,0.459749
1129.00,0.459274
1130.00,0.458757
1131.00,0.458212
1132.00,0.457655
1133.00,0.457084
1134.00,0.456446
1135.00,0.455686
1136.00,0.454786
1137.00,0.453818
1138.00,0.452863
1139.00,0.451970
1140.00,0.451116
1141.00,0.450268
1142.00,0.449412
1143.00,0.448573
1144.00,0.447786
1145.00,0.447065
1146.00,0.446387
1147.00,0.445720
1148.00,0.445041
1149.00,0.444339
1150.00,0.443606
1151.00,0.442841
1152.00,0.442069
1153.00,0.441316
1154.00,0.440608
1155.00,0.439972
1156.00,0.439434
1157.00,0.439003
1158.00,0.438647
1159.00,0.438329
1160.00,0.438024
1161.00,0.437730
1162.00,0.437451
1163.00,0.437190
1164.00,0.436956
1165.00,0.436756
1166.00,0.436589
1167.00,0.436433
1168.00,0.436266
1169.00,0.436067
1170.00,0.435824
1171.00,0.435527
1172.00,0.435185
1173.00,0.434850
1174.00,0.434579
1175.00,0.434405
1176.00,0.434300
1177.00,0.434228
1178.00,0.434161
1179.00,0.434079
1180.00,0.433967
1181.00,0.433811
1182.00,0.433610
1183.00,0.433361
1184.00,0.433075
1185.00,0.432789
1186.00,0.432544
1187.00,0.432361
1188.00,0.432218
1189.00,0.432085
1190.00,0.431948
1191.00,0.431822
1192.00,0.431723
1193.00,0.431668
1194.00,0.431662
1195.00,0.431710
1196.00,0.431798
1197.00,0.431876
1198.00,0.431888
1199.00,0.431807
1200.00,0.431668
1201.00,0.431516
1202.00,0.431384
1203.00,0.431281
1204.00,0.431215
1205.00,0.431194
1206.00,0.431228
1207.00,0.431331
1208.00,0.431492
1209.00,0.431664
1210.00,0.431789
1211.00,0.431843
1212.00,0.431865
1213.00,0.431902
1214.00,0.431985
1215.00,0.432105
1216.00,0.432245
1217.00,0.432393
1218.00,0.432539
1219.00,0.432677
1220.00,0.432805
1221.00,0.432944
1222.00,0.433116
1223.00,0.433333
1224.00,0.433588
1225.00,0.433872
1226.00,0.434171
1227.00,0.434466
1228.00,0.434735
1229.00,0.434974
1230.00,0.435207
1231.00,0.435467
1232.00,0.435762
1233.00,0.436055
1234.00,0.436301
1235.00,0.436476
1236.00,0.436598
1237.00,0.436695
1238.00,0.436781
1239.00,0.436849
1240.00,0.436887
1241.00,0.436898
1242.00,0.436909
1243.00,0.436954
1244.00,0.437050
1245.00,0.437182
1246.00,0.437331
1247.00,0.437472
1248.00,0.437574
1249.00,0.437604
1250.00,0.437554
1251.00,0.437480
1252.00,0.437443
1253.00,0.437477
1254.00,0.437558
1255.00,0.437650
1256.00,0.437730
1257.00,0.437788
1258.00,0.437818
1259.00,0.437820
1260.00,0.437808
1261.00,0.437798
1262.00,0.437800
1263.00,0.437804
1264.00,0.437801
1265.00,0.437781
1266.00,0.437741
1267.00,0.437677
1268.00,0.437594
1269.00,0.437513
1270.00,0.437457
1271.00,0.437433
1272.00,0.437413
1273.00,0.437362
1274.00,0.437266
1275.00,0.437150
1276.00,0.437048
1277.00,0.436975
1278.00,0.436914
1279.00,0.436843
1280.00,0.436744
1281.00,0.436614
1282.00,0.436451
1283.00,0.436260
1284.00,0.436060
1285.00,0.435870
1286.00,0.435702
1287.00,0.435543
1288.00,0.435377
1289.00,0.435190
1290.00,0.434974
1291.00,0.434718
1292.00,0.434423
1293.00,0.434109
1294.00,0.433800
1295.00,0.433509
