wavelength_nm,reflectance
350.00,0.124736
351.00,0.124744
352.00,0.124646
353.00,0.124570
354.00,0.124539
355.00,0.124572
356.00,0.124665
357.00,0.124814
358.00,0.125006
359.00,0.125212
360.00,0.125399
361.00,0.125543
362.00,0.125671
363.00,0.125818
364.00,0.126014
365.00,0.126240
366.00,0.126469
367.00,0.126683
368.00,0.126886
369.00,0.127094
370.00,0.127321
371.00,0.127581
372.00,0.127893
373.00,0.128264
374.00,0.128667
375.00,0.129067
376.00,0.129441
377.00,0.129804
378.00,0.130183
379.00,0.130598
380.00,0.131050
381.00,0.131530
382.00,0.132032
383.00,0.132542
384.00,0.133047
385.00,0.133537
386.00,0.134021
387.00,0.134512
388.00,0.135016
389.00,0.135509
390.00,0.135962
391.00,0.136353
392.00,0.136700
393.00,0.137029
394.00,0.137362
395.00,0.137690
396.00,0.138001
397.00,0.138283
398.00,0.138538
399.00,0.138768
400.00,0.138976
401.00,0.139157
402.00,0.139306
403.00,0.139419
404.00,0.139496
405.00,0.139540
406.00,0.139555
407.00,0.139549
408.00,0.139528
409.00,0.139499
410.00,0.139456
411.00,0.139392
412.00,0.139303
413.00,0.139196
414.00,0.139083
415.00,0.138972
416.00,0.138865
417.00,0.138761
418.00,0.138658
419.00,0.138556
420.00,0.138452
421.00,0.138345
422.00,0.138239
423.00,0.138136
424.00,0.138040
425.00,0.137945
426.00,0.137846
427.00,0.137739
428.00,0.137624
429.00,0.137503
430.00,0.137377
431.00,0.137251
432.00,0.137127
433.00,0.137008
434.00,0.136893
435.00,0.136778
436.00,0.136663
437.00,0.136547
438.00,0.136434
439.00,0.136324
440.00,0.136214
441.00,0.136102
442.00,0.135983
443.00,0.135863
444.00,0.135745
445.00,0.135633
446.00,0.135527
447.00,0.135427
448.00,0.135331
449.00,0.135235
450.00,0.135132
451.00,0.135019
452.00,0.134901
453.00,0.134783
454.00,0.134669
455.00,0.134557
456.00,0.134440
457.00,0.134315
458.00,0.134186
459.00,0.134056
460.00,0.133931
461.00,0.133810
462.00,0.133697
463.00,0.133590
464.00,0.133487
465.00,0.133383
466.00,0.133274
467.00,0.133164
468.00,0.133055
469.00,0.132950
470.00,0.132849
471.00,0.132748
472.00,0.132647
473.00,0.132543
474.00,0.132435
475.00,0.132321
476.00,0.132205
477.00,0.132088
478.00,0.131974
479.00,0.131862
480.00,0.131750
481.00,0.131640
482.00,0.131530
483.00,0.131420
484.00,0.131312
485.00,0.131206
486.00,0.131103
487.00,0.131005
488.00,0.130910
489.00,0.130814
490.00,0.130716
491.00,0.130616
492.00,0.130514
493.00,0.130411
494.00,0.130308
495.00,0.130202
496.00,0.130096
497.00,0.129988
498.00,0.129880
499.00,0.129773
500.00,0.129668
501.00,0.129567
502.00,0.129470
503.00,0.129375
504.00,0.129280
505.00,0.129184
506.00,0.129085
507.00,0.128984
508.00,0.128881
509.00,0.128778
510.00,0.128678
511.00,0.128580
512.00,0.128485
513.00,0.128393
514.00,0.128301
515.00,0.128207
516.00,0.128110
517.00,0.128007
518.00,0.127901
519.00,0.127796
520.00,0.127695
521.00,0.127595
522.00,0.127496
523.00,0.127395
524.00,0.127292
525.00,0.127188
526.00,0.127083
527.00,0.126979
528.00,0.126877
529.00,0.126779
530.00,0.126682
531.00,0.126587
532.00,0.126492
533.00,0.126397
534.00,0.126302
535.00,0.126208
536.00,0.126113
537.00,0.126019
538.00,0.125924
539.00,0.125828
540.00,0.125733
541.00,0.125639
542.00,0.125545
543.00,0.125452
544.00,0.125359
545.00,0.125267
546.00,0.125177
547.00,0.125089
548.00,0.125003
549.00,0.124916
550.00,0.124827
551.00,0.124737
552.00,0.124647
553.00,0.124557
554.00,0.124467
555.00,0.124380
556.00,0.124295
557.00,0.124211
558.00,0.124126
