wavelength_nm,reflectance
350.00,0.089805
351.00,0.089810
352.00,0.089817
353.00,0.090037
354.00,0.090350
355.00,0.090661
356.00,0.090975
357.00,0.091349
358.00,0.091869
359.00,0.092613
360.00,0.093550
361.00,0.094588
362.00,0.095643
363.00,0.096723
364.00,0.097894
365.00,0.099215
366.00,0.100688
367.00,0.102280
368.00,0.103963
369.00,0.105763
370.00,0.107735
371.00,0.109927
372.00,0.112343
373.00,0.114958
374.00,0.117749
375.00,0.120723
376.00,0.123906
377.00,0.127324
378.00,0.131022
379.00,0.135056
380.00,0.139478
381.00,0.144314
382.00,0.149574
383.00,0.155271
384.00,0.161472
385.00,0.168271
386.00,0.175760
387.00,0.183999
388.00,0.193028
389.00,0.202889
390.00,0.213638
391.00,0.225337
392.00,0.238046
393.00,0.251785
394.00,0.266550
395.00,0.282333
396.00,0.299106
397.00,0.316829
398.00,0.335458
399.00,0.354927
400.00,0.375155
401.00,0.396058
402.00,0.417493
403.00,0.439289
404.00,0.461273
405.00,0.483286
406.00,0.505178
407.00,0.526796
408.00,0.547972
409.00,0.568529
410.00,0.588289
411.00,0.607108
412.00,0.624861
413.00,0.641427
414.00,0.656748
415.00,0.670797
416.00,0.683555
417.00,0.695029
418.00,0.705248
419.00,0.714244
420.00,0.722098
421.00,0.728922
422.00,0.734826
423.00,0.739901
424.00,0.744230
425.00,0.747892
426.00,0.750979
427.00,0.753587
428.00,0.755807
429.00,0.757698
430.00,0.759298
431.00,0.760648
432.00,0.761795
433.00,0.762793
434.00,0.763692
435.00,0.764513
436.00,0.765255
437.00,0.765922
438.00,0.766521
439.00,0.767063
440.00,0.767557
441.00,0.768016
442.00,0.768449
443.00,0.768863
444.00,0.769265
445.00,0.769657
446.00,0.770041
447.00,0.770416
448.00,0.770780
449.00,0.771127
450.00,0.771459
451.00,0.771777
452.00,0.772082
453.00,0.772376
454.00,0.772658
455.00,0.772931
456.00,0.773197
457.00,0.773459
458.00,0.773722
459.00,0.773982
460.00,0.774228
461.00,0.774452
462.00,0.774657
463.00,0.774856
464.00,0.775061
465.00,0.775276
466.00,0.775500
467.00,0.775732
468.00,0.775964
469.00,0.776183
470.00,0.776379
471.00,0.776553
472.00,0.776715
473.00,0.776875
474.00,0.777038
475.00,0.777205
476.00,0.777377
477.00,0.777551
478.00,0.777724
479.00,0.777891
480.00,0.778050
481.00,0.778200
482.00,0.778341
483.00,0.778478
484.00,0.778620
485.00,0.778774
486.00,0.778934
487.00,0.779089
488.00,0.779226
489.00,0.779350
490.00,0.779469
491.00,0.779595
492.00,0.779727
493.00,0.779857
494.00,0.779981
495.00,0.780098
496.00,0.780215
497.00,0.780335
498.00,0.780458
499.00,0.780580
500.00,0.780696
501.00,0.780807
502.00,0.780914
503.00,0.781019
504.00,0.781119
505.00,0.781213
506.00,0.781297
507.00,0.781373
508.00,0.781449
509.00,0.781528
510.00,0.781612
511.00,0.781699
512.00,0.781785
513.00,0.781870
514.00,0.781955
515.00,0.782039
516.00,0.782121
517.00,0.782199
518.00,0.782272
519.00,0.782339
520.00,0.782402
521.00,0.782463
522.00,0.782523
523.00,0.782582
524.00,0.782641
525.00,0.782698
526.00,0.782749
527.00,0.782794
528.00,0.782833
529.00,0.782872
530.00,0.782913
531.00,0.782956
532.00,0.782995
533.00,0.783026
534.00,0.783048
535.00,0.783063
536.00,0.783073
537.00,0.783079
538.00,0.783085
539.00,0.783090
540.00,0.783095
541.00,0.783098
542.00,0.783096
543.00,0.783091
544.00,0.783082
545.00,0.783073
546.00,0.783062
547.00,0.783051
548.00,0.783040
549.00,0.783025
550.00,0.783004
551.00,0.782973
552.00,0.782933
553.00,0.782887
554.00,0.782836
555.00,0.782784
556.00,0.782735
557.00,0.782692
558.00,0.782655
559.00,0.782618
560.00,0.782577
561.00,0.782531
562.00,0.782481
563.00,0.782429
564.00,0.782376
565.00,0.782324
566.00,0.782276
567.00,0.782230
568.00,0.782181
569.00,0.782125
570.00,0.782063
571.00,0.782000
572.00,0.781939
573.00,0.781881
574.00,0.781825
575.00,0.781768
576.00,0.781708
577.00,0.781639
578.00,0.781558
579.00,0.781465
580.00,0.781361
581.00,0.781249
582.00,0.781133
583.00,0.781019
584.00,0.780913
585.00,0.780814
586.00,0.780718
587.00,0.780622
588.00,0.780527
589.00,0.780438
590.00,0.780357
591.00,0.780285
592.00,0.780223
593.00,0.780170
594.00,0.780120
595.00,0.780069
596.00,0.780009
597.00,0.779944
598.00,0.779881
599.00,0.779828
600.00,0.779779
601.00,0.779722
602.00,0.779643
603.00,0.779541
604.00,0.779415
605.00,0.779268
606.00,0.779109
607.00,0.778949
608.00,0.778802
609.00,0.778670
610.00,0.778555
611.00,0.778455
612.00,0.778371
613.00,0.778301
614.00,0.778243
615.00,0.778196
616.00,0.778153
617.00,0.778111
618.00,0.778067
619.00,0.778021
620.00,0.777972
621.00,0.777921
622.00,0.777869
623.00,0.777815
624.00,0.777760
625.00,0.777700
626.00,0.777632
627.00,0.777556
