wavelength_nm,reflectance
350.00,0.012291
351.00,0.013077
352.00,0.013604
353.00,0.013031
354.00,0.012799
355.00,0.013201
356.00,0.013242
357.00,0.013235
358.00,0.013189
359.00,0.013101
360.00,0.012911
361.00,0.013013
362.00,0.013701
363.00,0.012810
364.00,0.012930
365.00,0.013927
366.00,0.013748
367.00,0.013852
368.00,0.013973
369.00,0.013798
370.00,0.014019
371.00,0.014069
372.00,0.013824
373.00,0.014097
374.00,0.013955
375.00,0.013619
376.00,0.013590
377.00,0.013656
378.00,0.013708
379.00,0.013686
380.00,0.014623
381.00,0.015012
382.00,0.014833
383.00,0.014392
384.00,0.014292
385.00,0.014359
386.00,0.014461
387.00,0.014335
388.00,0.014537
389.00,0.015179
390.00,0.015024
391.00,0.014972
392.00,0.014985
393.00,0.015003
394.00,0.014889
395.00,0.014826
396.00,0.014918
397.00,0.014845
398.00,0.014718
399.00,0.014619
400.00,0.015078
401.00,0.015167
402.00,0.015104
403.00,0.015053
404.00,0.015150
405.00,0.015277
406.00,0.015409
407.00,0.015527
408.00,0.015484
409.00,0.015393
410.00,0.015508
411.00,0.015593
412.00,0.015622
413.00,0.015569
414.00,0.015317
415.00,0.015252
416.00,0.015334
417.00,0.015252
418.00,0.015408
419.00,0.015537
420.00,0.015342
421.00,0.015354
422.00,0.015428
423.00,0.015538
424.00,0.015654
425.00,0.015641
426.00,0.015569
427.00,0.015578
428.00,0.015508
429.00,0.015467
430.00,0.015513
431.00,0.015403
432.00,0.015462
433.00,0.015639
434.00,0.015525
435.00,0.015520
436.00,0.015569
437.00,0.015643
438.00,0.015557
439.00,0.015472
440.00,0.015420
441.00,0.015435
442.00,0.015421
443.00,0.015394
444.00,0.015394
445.00,0.015412
446.00,0.015404
447.00,0.015341
448.00,0.015365
449.00,0.015376
450.00,0.015358
451.00,0.015224
452.00,0.015190
453.00,0.015190
454.00,0.015170
455.00,0.015161
456.00,0.015135
457.00,0.015088
458.00,0.015087
459.00,0.015085
460.00,0.015068
461.00,0.014997
462.00,0.015007
463.00,0.015037
464.00,0.015063
465.00,0.014999
466.00,0.014950
467.00,0.014924
468.00,0.014939
469.00,0.014951
470.00,0.014937
471.00,0.014859
472.00,0.014801
473.00,0.014796
474.00,0.014852
475.00,0.014876
476.00,0.014823
477.00,0.014764
478.00,0.014866
479.00,0.014838
480.00,0.014790
481.00,0.014770
482.00,0.014836
483.00,0.014836
484.00,0.014787
485.00,0.014825
486.00,0.014858
487.00,0.014864
488.00,0.014811
489.00,0.014820
490.00,0.014855
491.00,0.014906
492.00,0.014841
493.00,0.014854
494.00,0.014901
495.00,0.014901
496.00,0.014887
497.00,0.014875
498.00,0.014874
499.00,0.014927
500.00,0.014961
501.00,0.014973
502.00,0.014956
503.00,0.014987
504.00,0.015006
505.00,0.014947
506.00,0.015034
507.00,0.015096
508.00,0.015105
509.00,0.015100
510.00,0.015108
511.00,0.015124
512.00,0.015146
513.00,0.015175
514.00,0.015226
515.00,0.015308
516.00,0.015253
517.00,0.015263
518.00,0.015318
519.00,0.015291
520.00,0.015378
521.00,0.015470
522.00,0.015466
523.00,0.015501
524.00,0.015563
525.00,0.015647
526.00,0.015696
527.00,0.015732
528.00,0.015764
529.00,0.015807
530.00,0.015856
531.00,0.015914
532.00,0.015981
533.00,0.016065
534.00,0.016153
535.00,0.016241
536.00,0.016303
537.00,0.016388
538.00,0.016488
539.00,0.016600
540.00,0.016722
541.00,0.016852
542.00,0.016990
543.00,0.017101
544.00,0.017229
545.00,0.017383
546.00,0.017599
547.00,0.017761
548.00,0.017928
549.00,0.018123
550.00,0.018357
551.00,0.018605
552.00,0.018868
553.00,0.019165
554.00,0.019501
555.00,0.019832
556.00,0.020117
557.00,0.020549
558.00,0.021006
559.00,0.021470
560.00,0.021976
561.00,0.022542
562.00,0.023145
563.00,0.023758
564.00,0.024429
565.00,0.025163
566.00,0.025979
567.00,0.026820
568.00,0.027729
569.00,0.028707
570.00,0.029769
571.00,0.030904
572.00,0.032085
573.00,0.033309
574.00,0.034651
575.00,0.036055
576.00,0.037515
577.00,0.039053
578.00,0.040668
579.00,0.042353
580.00,0.044121
581.00,0.045924
582.00,0.047809
583.00,0.049799
584.00,0.051871
585.00,0.053978
586.00,0.056096
587.00,0.058138
588.00,0.060028
589.00,0.061865
590.00,0.063755
591.00,0.065805
592.00,0.067863
593.00,0.069921
594.00,0.072023
595.00,0.074235
596.00,0.076519
597.00,0.078842
598.00,0.081160
599.00,0.083399
600.00,0.085457
601.00,0.087191
602.00,0.088957
603.00,0.090767
604.00,0.092602
605.00,0.094416
606.00,0.096203
607.00,0.097947
608.00,0.099576
609.00,0.101153
610.00,0.102686
611.00,0.104169
612.00,0.105619
613.00,0.107043
614.00,0.108454
615.00,0.109835
616.00,0.111157
617.00,0.112403
618.00,0.113588
619.00,0.114767
620.00,0.115938
621.00,0.117073
622.00,0.118170
623.00,0.119224
624.00,0.120221
625.00,0.121221
626.00,0.122195
627.00,0.123135
628.00,0.124061
629.00,0.124942
630.00,0.125788
631.00,0.126614
632.00,0.127407
633.00,0.128190
634.00,0.128975
635.00,0.129750
636.00,0.130519
637.00,0.131285
638.00,0.132053
639.00,0.132805
640.00,0.133557
641.00,0.134319
642.00,0.135043
643.00,0.135780
644.00,0.136536
645.00,0.137303
646.00,0.138042
647.00,0.138782
648.00,0.139574
649.00,0.140356
650.00,0.141123
651.00,0.141872
652.00,0.142681
653.00,0.143482
654.00,0.144278
655.00,0.145076
656.00,0.145905
657.00,0.146724
658.00,0.147503
659.00,0.148371
660.00,0.149219
661.00,0.150044
662.00,0.150959
663.00,0.151864
664.00,0.152754
665.00,0.153621
666.00,0.154537
667.00,0.155488
668.00,0.156475
669.00,0.157417
670.00,0.158381
671.00,0.159367
672.00,0.160382
673.00,0.161388
674.00,0.162398
675.00,0.163423
676.00,0.164491
677.00,0.165576
678.00,0.166671
679.00,0.167750
680.00,0.168848
681.00,0.169962
682.00,0.171101
683.00,0.172250
684.00,0.173394
685.00,0.174530
686.00,0.175710
687.00,0.176906
688.00,0.178111
689.00,0.179301
690.00,0.180516
691.00,0.181736
692.00,0.182949
693.00,0.184192
694.00,0.185440
695.00,0.186690
696.00,0.187945
697.00,0.189189
698.00,0.190440
699.00,0.191733
700.00,0.193005
