wavelength_nm,reflectance
205.10,
213.10,
221.10,0.201341
229.10,0.207368
236.10,0.194488
242.10,0.182497
248.10,0.182522
253.60,0.177303
258.60,0.179270
263.60,0.179937
268.60,0.188227
273.10,0.191547
277.10,0.201354
281.10,0.207912
285.10,0.226577
289.10,0.221990
293.10,0.227044
297.10,0.230905
301.10,0.236645
305.10,0.238754
309.10,0.241554
313.10,0.255076
317.10,0.246407
321.10,0.252776
325.10,0.260292
329.10,0.268154
333.10,0.277064
337.10,0.294372
341.10,0.308791
345.10,0.324583
349.10,0.343918
353.10,0.366531
357.10,0.387982
360.60,0.409607
363.60,0.430309
366.60,0.448382
369.60,0.467045
372.60,0.486651
375.60,0.499673
378.60,0.513879
381.10,0.524976
383.10,0.532054
385.10,0.539522
387.10,0.549058
389.10,0.558470
391.10,0.562101
393.10,0.569781
395.10,0.576582
397.10,0.581400
399.10,0.587688
401.10,0.594772
403.10,0.599322
405.10,0.603596
407.10,0.609640
409.10,0.613900
411.10,0.624583
412.80,0.622955
415.80,0.630051
418.80,0.637550
421.80,0.643853
424.80,0.649443
427.80,0.654185
430.80,0.662180
433.80,0.667391
436.80,0.674962
439.80,0.679175
442.80,0.683615
445.80,0.688735
448.80,0.692502
451.30,0.699494
453.30,0.701453
455.30,0.702696
457.30,0.707960
459.30,0.708895
461.30,0.712623
463.30,0.712941
465.30,0.714931
467.30,0.718116
469.30,0.719856
471.30,0.723357
473.30,0.723583
475.30,0.725549
477.30,0.727112
479.30,0.729541
481.30,0.730058
483.30,0.733550
485.30,0.735404
487.30,0.737308
489.30,0.740208
491.30,0.741934
493.30,0.744031
495.30,0.747055
497.30,0.748383
499.30,0.750859
501.30,0.755215
503.30,0.756326
505.30,0.757501
507.30,0.760231
509.30,0.762525
511.30,0.763636
513.30,0.766590
515.30,0.769782
517.30,0.770308
519.30,0.774113
521.30,0.775561
523.30,0.777291
525.30,0.779202
527.30,0.782028
529.30,0.783740
531.30,0.786057
533.30,0.788903
535.30,0.789663
537.30,0.793453
539.30,0.793959
541.30,0.793433
543.30,0.797902
545.30,0.796081
547.30,0.799684
549.30,0.801220
551.30,0.802669
553.30,0.804191
555.30,0.804884
557.30,0.805998
559.30,0.809349
561.30,0.811078
563.30,0.811481
565.30,0.812607
567.30,0.816797
569.30,0.816119
571.30,0.815763
573.30,0.819641
575.30,0.819632
577.30,0.821728
579.30,0.823719
581.30,0.825243
583.30,0.824613
585.30,0.826476
587.30,0.829316
589.30,0.829640
591.30,0.831505
593.30,0.833572
595.30,0.831697
597.30,0.835205
599.30,0.834045
601.10,0.837346
602.70,0.837010
604.30,0.838822
605.90,0.841410
607.50,0.839886
609.10,0.840550
610.70,0.839830
612.30,0.841734
613.90,0.842120
615.50,0.842161
617.10,0.845528
618.70,0.845293
620.30,0.844143
621.90,0.847700
623.50,0.849768
625.10,0.847802
626.70,0.848443
628.30,0.848528
629.90,0.850645
631.70,0.850450
633.70,0.852432
635.70,0.851884
637.70,0.853402
639.70,0.854070
641.70,0.854737
643.70,0.855586
645.70,0.858504
647.70,0.856919
649.70,0.858687
651.70,0.857651
653.70,0.858135
655.70,0.860502
657.70,0.861238
659.70,0.860501
661.70,0.862386
663.70,0.863124
665.70,0.867752
667.70,0.864160
670.20,0.866419
673.20,0.866900
676.20,0.868682
679.20,0.868496
682.20,0.870655
685.20,0.871322
688.20,0.875009
691.20,0.872049
694.20,0.873365
697.20,0.876024
700.20,0.876592
702.00,0.876666
704.00,0.875339
706.00,0.879822
708.00,0.881061
710.00,0.877707
712.00,0.881440
714.00,0.880481
716.00,0.881534
718.00,0.883074
720.00,0.878842
722.00,0.882496
724.00,0.883073
726.00,0.884428
728.00,0.885009
730.00,0.885592
732.00,0.885398
734.00,0.885786
736.00,0.887149
738.00,0.888414
740.00,0.886765
742.00,0.889011
744.00,0.892428
746.00,0.889507
748.00,0.888825
750.50,0.890899
753.50,0.890610
756.50,0.895129
759.50,0.893383
762.50,0.893692
765.50,0.892517
768.50,0.891523
771.50,0.894600
774.50,0.895687
777.50,0.901773
781.00,0.898037
785.00,0.899450
789.00,0.900175
793.00,0.901597
797.00,0.898298
801.50,0.905479
806.50,0.903513
811.50,0.900793
816.50,0.905362
822.00,0.905599
828.00,0.905091
835.00,0.906752
843.00,0.907400
851.00,0.908930
859.00,0.905866
871.00,0.914799
883.00,0.909801
894.00,0.910165
904.00,0.910609
914.00,0.909803
924.00,0.908579
933.00,0.907928
