wavelength_nm,reflectance
350.00,0.043892
351.00,0.043895
352.00,0.043898
353.00,0.044202
354.00,0.044678
355.00,0.045267
356.00,0.046026
357.00,0.046962
358.00,0.048048
359.00,0.049258
360.00,0.050554
361.00,0.051891
362.00,0.053236
363.00,0.054641
364.00,0.056212
365.00,0.058041
366.00,0.060102
367.00,0.062295
368.00,0.064531
369.00,0.066842
370.00,0.069327
371.00,0.072079
372.00,0.075113
373.00,0.078397
374.00,0.081904
375.00,0.085640
376.00,0.089633
377.00,0.093911
378.00,0.098515
379.00,0.103489
380.00,0.108879
381.00,0.114731
382.00,0.121090
383.00,0.128002
384.00,0.135541
385.00,0.143792
386.00,0.152837
387.00,0.162712
388.00,0.173425
389.00,0.184993
390.00,0.197515
391.00,0.211138
392.00,0.226002
393.00,0.242122
394.00,0.259450
395.00,0.277936
396.00,0.297555
397.00,0.318301
398.00,0.340154
399.00,0.363009
400.00,0.386698
401.00,0.411054
402.00,0.435846
403.00,0.460804
404.00,0.485664
405.00,0.510160
406.00,0.534035
407.00,0.557031
408.00,0.578904
409.00,0.599423
410.00,0.618360
411.00,0.635593
412.00,0.651059
413.00,0.664701
414.00,0.676571
415.00,0.686775
416.00,0.695427
417.00,0.702664
418.00,0.708645
419.00,0.713522
420.00,0.717459
421.00,0.720618
422.00,0.723159
423.00,0.725189
424.00,0.726788
425.00,0.728032
426.00,0.728987
427.00,0.729715
428.00,0.730276
429.00,0.730716
430.00,0.731079
431.00,0.731405
432.00,0.731689
433.00,0.731904
434.00,0.732024
435.00,0.732058
436.00,0.732035
437.00,0.731981
438.00,0.731895
439.00,0.731762
440.00,0.731566
441.00,0.731329
442.00,0.731088
443.00,0.730880
444.00,0.730711
445.00,0.730570
446.00,0.730444
447.00,0.730328
448.00,0.730218
449.00,0.730109
450.00,0.730002
451.00,0.729895
452.00,0.729791
453.00,0.729684
454.00,0.729575
455.00,0.729459
456.00,0.729342
457.00,0.729232
458.00,0.729136
459.00,0.729048
460.00,0.728953
461.00,0.728835
462.00,0.728700
463.00,0.728557
464.00,0.728422
465.00,0.728298
466.00,0.728189
467.00,0.728093
468.00,0.728005
469.00,0.727914
470.00,0.727810
471.00,0.727695
472.00,0.727579
473.00,0.727473
474.00,0.727377
475.00,0.727289
476.00,0.727205
477.00,0.727126
478.00,0.727053
479.00,0.726987
480.00,0.726921
481.00,0.726849
482.00,0.726764
483.00,0.726668
484.00,0.726570
485.00,0.726480
486.00,0.726398
487.00,0.726319
488.00,0.726239
489.00,0.726159
490.00,0.726078
491.00,0.725997
492.00,0.725915
493.00,0.725825
494.00,0.725726
495.00,0.725618
496.00,0.725508
497.00,0.725398
498.00,0.725290
499.00,0.725180
500.00,0.725061
501.00,0.724936
502.00,0.724799
503.00,0.724652
504.00,0.724498
505.00,0.724342
506.00,0.724188
507.00,0.724035
508.00,0.723880
509.00,0.723720
510.00,0.723552
511.00,0.723379
512.00,0.723202
513.00,0.723021
514.00,0.722841
515.00,0.722662
516.00,0.722484
517.00,0.722306
518.00,0.722127
519.00,0.721946
520.00,0.721766
521.00,0.721591
522.00,0.721420
523.00,0.721252
524.00,0.721088
525.00,0.720924
526.00,0.720755
527.00,0.720577
528.00,0.720391
529.00,0.720202
530.00,0.720013
531.00,0.719826
532.00,0.719642
533.00,0.719460
534.00,0.719281
535.00,0.719102
536.00,0.718921
537.00,0.718736
538.00,0.718546
539.00,0.718348
540.00,0.718153
541.00,0.717975
542.00,0.717828
543.00,0.717709
544.00,0.717603
545.00,0.717494
546.00,0.717358
547.00,0.717169
548.00,0.716902
549.00,0.716578
550.00,0.716241
551.00,0.715934
552.00,0.715662
553.00,0.715412
554.00,0.715169
555.00,0.714927
556.00,0.714684
557.00,0.714441
558.00,0.714200
559.00,0.713967
560.00,0.713747
561.00,0.713537
562.00,0.713330
563.00,0.713120
564.00,0.712908
565.00,0.712699
566.00,0.712500
567.00,0.712312
568.00,0.712137
569.00,0.711975
570.00,0.711825
571.00,0.711685
572.00,0.711554
573.00,0.711435
574.00,0.711336
