wavelength_nm,reflectance
350.00,0.067677
351.00,0.067681
352.00,0.067685
353.00,0.068010
354.00,0.068443
355.00,0.068803
356.00,0.069051
357.00,0.069184
358.00,0.069218
359.00,0.069174
360.00,0.069078
361.00,0.068966
362.00,0.068865
363.00,0.068759
364.00,0.068605
365.00,0.068364
366.00,0.068049
367.00,0.067708
368.00,0.067384
369.00,0.067079
370.00,0.066772
371.00,0.066442
372.00,0.066086
373.00,0.065711
374.00,0.065322
375.00,0.064922
376.00,0.064512
377.00,0.064091
378.00,0.063655
379.00,0.063191
380.00,0.062690
381.00,0.062145
382.00,0.061548
383.00,0.060895
384.00,0.060218
385.00,0.059568
386.00,0.058991
387.00,0.058463
388.00,0.057920
389.00,0.057306
390.00,0.056628
391.00,0.055934
392.00,0.055267
393.00,0.054639
394.00,0.054043
395.00,0.053469
396.00,0.052897
397.00,0.052302
398.00,0.051660
399.00,0.050994
400.00,0.050353
401.00,0.049780
402.00,0.049263
403.00,0.048755
404.00,0.048216
405.00,0.047648
406.00,0.047083
407.00,0.046549
408.00,0.046047
409.00,0.045562
410.00,0.045080
411.00,0.044591
412.00,0.044091
413.00,0.043580
414.00,0.043073
415.00,0.042599
416.00,0.042184
417.00,0.041822
418.00,0.041493
419.00,0.041175
420.00,0.040855
421.00,0.040524
422.00,0.040176
423.00,0.039821
424.00,0.039480
425.00,0.039171
426.00,0.038894
427.00,0.038638
428.00,0.038393
429.00,0.038156
430.00,0.037928
431.00,0.037710
432.00,0.037501
433.00,0.037300
434.00,0.037105
435.00,0.036919
436.00,0.036747
437.00,0.036593
438.00,0.036451
439.00,0.036307
440.00,0.036151
441.00,0.035989
442.00,0.035839
443.00,0.035719
444.00,0.035626
445.00,0.035549
446.00,0.035477
447.00,0.035413
448.00,0.035362
449.00,0.035333
450.00,0.035324
451.00,0.035327
452.00,0.035336
453.00,0.035347
454.00,0.035355
455.00,0.035360
456.00,0.035371
457.00,0.035408
458.00,0.035488
459.00,0.035603
460.00,0.035728
461.00,0.035844
462.00,0.035950
463.00,0.036061
464.00,0.036189
465.00,0.036335
466.00,0.036494
467.00,0.036661
468.00,0.036836
469.00,0.037018
470.00,0.037207
471.00,0.037410
472.00,0.037632
473.00,0.037880
474.00,0.038150
475.00,0.038430
476.00,0.038712
477.00,0.039004
478.00,0.039323
479.00,0.039686
480.00,0.040094
481.00,0.040537
482.00,0.041004
483.00,0.041495
484.00,0.042010
485.00,0.042553
486.00,0.043125
487.00,0.043731
488.00,0.044372
489.00,0.045046
490.00,0.045749
491.00,0.046475
492.00,0.047224
493.00,0.047995
494.00,0.048788
495.00,0.049599
496.00,0.050416
497.00,0.051233
498.00,0.052048
499.00,0.052868
500.00,0.053697
501.00,0.054531
502.00,0.055359
503.00,0.056174
504.00,0.056976
505.00,0.057771
506.00,0.058562
507.00,0.059351
508.00,0.060136
509.00,0.060914
510.00,0.061685
511.00,0.062448
512.00,0.063205
513.00,0.063953
514.00,0.064691
515.00,0.065417
516.00,0.066132
517.00,0.066837
518.00,0.067537
519.00,0.068228
520.00,0.068909
521.00,0.069575
522.00,0.070226
523.00,0.070862
524.00,0.071483
525.00,0.072087
526.00,0.072671
527.00,0.073234
528.00,0.073777
529.00,0.074305
530.00,0.074819
531.00,0.075316
532.00,0.075785
533.00,0.076218
534.00,0.076615
535.00,0.076984
536.00,0.077332
537.00,0.077659
538.00,0.077960
539.00,0.078229
540.00,0.078467
541.00,0.078677
542.00,0.078861
543.00,0.079021
544.00,0.079161
545.00,0.079280
546.00,0.079379
547.00,0.079453
548.00,0.079501
549.00,0.079524
550.00,0.079526
551.00,0.079512
552.00,0.079483
553.00,0.079440
554.00,0.079382
555.00,0.079312
556.00,0.079231
557.00,0.079145
558.00,0.079051
559.00,0.078949
560.00,0.078838
561.00,0.078719
562.00,0.078597
563.00,0.078474
564.00,0.078350
565.00,0.078219
566.00,0.078079
567.00,0.077930
568.00,0.077780
569.00,0.077634
570.00,0.077491
571.00,0.077347
572.00,0.077198
573.00,0.077042
574.00,0.076882
575.00,0.076719
576.00,0.076553
577.00,0.076385
578.00,0.076214
579.00,0.076039
580.00,0.075858
581.00,0.075669
582.00,0.075474
583.00,0.075280
584.00,0.075091
585.00,0.074906
586.00,0.074720
587.00,0.074529
588.00,0.074333
589.00,0.074138
590.00,0.073948
591.00,0.073766
592.00,0.073590
593.00,0.073420
594.00,0.073255
595.00,0.073096
596.00,0.072941
597.00,0.072796
598.00,0.072663
599.00,0.072547
600.00,0.072448
601.00,0.072361
602.00,0.072281
603.00,0.072212
604.00,0.072158
605.00,0.072126
606.00,0.072114
607.00,0.072118
608.00,0.072132
609.00,0.072157
610.00,0.072194
611.00,0.072245
612.00,0.072312
613.00,0.072396
614.00,0.072499
615.00,0.072618
616.00,0.072749
617.00,0.072885
618.00,0.073029
619.00,0.073183
620.00,0.073350
621.00,0.073532
622.00,0.073725
623.00,0.073926
624.00,0.074134
625.00,0.074348
626.00,0.074566
627.00,0.074788
628.00,0.075012
629.00,0.075237
630.00,0.075462
631.00,0.075685
632.00,0.075904
633.00,0.076123
634.00,0.076347
635.00,0.076579
636.00,0.076817
637.00,0.077058
638.00,0.077296
639.00,0.077532
640.00,0.077773
641.00,0.078024
642.00,0.078285
643.00,0.078556
644.00,0.078835
645.00,0.079124
646.00,0.079428
647.00,0.079750
648.00,0.080092
649.00,0.080457
650.00,0.080847
651.00,0.081264
652.00,0.081708
653.00,0.082181
654.00,0.082687
655.00,0.083232
656.00,0.083823
657.00,0.084460
658.00,0.085137
659.00,0.085853
660.00,0.086613
661.00,0.087428
662.00,0.088309
663.00,0.089256
664.00,0.090262
665.00,0.091321
666.00,0.092437
667.00,0.093623
668.00,0.094888
669.00,0.096235
670.00,0.097662
671.00,0.099167
672.00,0.100750
673.00,0.102416
674.00,0.104165
675.00,0.106004
676.00,0.107936
677.00,0.109967
678.00,0.112098
679.00,0.114325
680.00,0.116649
681.00,0.119070
682.00,0.121596
683.00,0.124230
684.00,0.126972
685.00,0.129820
686.00,0.132772
687.00,0.135830
688.00,0.138996
689.00,0.142273
690.00,0.145660
691.00,0.149157
692.00,0.152761
693.00,0.156470
694.00,0.160284
695.00,0.164202
696.00,0.168223
697.00,0.172349
698.00,0.176580
699.00,0.180913
700.00,0.185339
701.00,0.189854
702.00,0.194455
703.00,0.199149
704.00,0.203937
705.00,0.208814
706.00,0.213767
707.00,0.218785
708.00,0.223870
709.00,0.229027
710.00,0.234263
711.00,0.239572
712.00,0.244943
713.00,0.250363
714.00,0.255828
715.00,0.261338
716.00,0.266891
717.00,0.272487
718.00,0.278122
719.00,0.283791
720.00,0.289492
