wavelength_nm,reflectance
350.00,0.011269
351.00,0.011270
352.00,0.011334
353.00,0.011401
354.00,0.011472
355.00,0.011553
356.00,0.011648
357.00,0.011766
358.00,0.011913
359.00,0.012099
360.00,0.012334
361.00,0.012622
362.00,0.012946
363.00,0.013281
364.00,0.013607
365.00,0.013909
366.00,0.014175
367.00,0.014391
368.00,0.014547
369.00,0.014630
370.00,0.014632
371.00,0.014561
372.00,0.014427
373.00,0.014240
374.00,0.014005
375.00,0.013723
376.00,0.013399
377.00,0.013046
378.00,0.012678
379.00,0.012307
380.00,0.011932
381.00,0.011549
382.00,0.011155
383.00,0.010758
384.00,0.010367
385.00,0.009990
386.00,0.009624
387.00,0.009265
388.00,0.008911
389.00,0.008568
390.00,0.008246
391.00,0.007954
392.00,0.007694
393.00,0.007470
394.00,0.007280
395.00,0.007107
396.00,0.006931
397.00,0.006738
398.00,0.006541
399.00,0.006361
400.00,0.006215
401.00,0.006098
402.00,0.006002
403.00,0.005921
404.00,0.005848
405.00,0.005776
406.00,0.005701
407.00,0.005625
408.00,0.005551
409.00,0.005483
410.00,0.005421
411.00,0.005364
412.00,0.005311
413.00,0.005262
414.00,0.005214
415.00,0.005166
416.00,0.005120
417.00,0.005079
418.00,0.005045
419.00,0.005016
420.00,0.004991
421.00,0.004966
422.00,0.004941
423.00,0.004911
424.00,0.004877
425.00,0.004842
426.00,0.004809
427.00,0.004781
428.00,0.004756
429.00,0.004733
430.00,0.004709
431.00,0.004686
432.00,0.004666
433.00,0.004652
434.00,0.004644
435.00,0.004641
436.00,0.004642
437.00,0.004645
438.00,0.004646
439.00,0.004643
440.00,0.004636
441.00,0.004623
442.00,0.004606
443.00,0.004588
444.00,0.004574
445.00,0.004568
446.00,0.004567
447.00,0.004565
448.00,0.004561
449.00,0.004552
450.00,0.004542
451.00,0.004530
452.00,0.004522
453.00,0.004522
454.00,0.004534
455.00,0.004552
456.00,0.004568
457.00,0.004576
458.00,0.004577
459.00,0.004575
460.00,0.004572
461.00,0.004574
462.00,0.004585
463.00,0.004608
464.00,0.004640
465.00,0.004675
466.00,0.004707
467.00,0.004739
468.00,0.004773
469.00,0.004811
470.00,0.004853
471.00,0.004898
472.00,0.004944
473.00,0.004990
474.00,0.005037
475.00,0.005085
476.00,0.005133
477.00,0.005180
478.00,0.005226
479.00,0.005269
480.00,0.005309
481.00,0.005346
482.00,0.005378
483.00,0.005408
484.00,0.005436
485.00,0.005461
486.00,0.005484
487.00,0.005506
488.00,0.005526
489.00,0.005543
490.00,0.005557
491.00,0.005569
492.00,0.005584
493.00,0.005601
494.00,0.005619
495.00,0.005632
496.00,0.005636
497.00,0.005634
498.00,0.005629
499.00,0.005621
500.00,0.005614
501.00,0.005606
502.00,0.005599
503.00,0.005592
504.00,0.005582
505.00,0.005570
506.00,0.005557
507.00,0.005547
508.00,0.005542
509.00,0.005541
510.00,0.005541
511.00,0.005538
512.00,0.005536
513.00,0.005539
514.00,0.005549
515.00,0.005567
516.00,0.005592
517.00,0.005623
518.00,0.005659
519.00,0.005698
520.00,0.005740
521.00,0.005789
522.00,0.005847
523.00,0.005920
524.00,0.006006
525.00,0.006103
526.00,0.006211
527.00,0.006328
528.00,0.006455
529.00,0.006591
530.00,0.006737
531.00,0.006892
532.00,0.007057
533.00,0.007230
534.00,0.007408
535.00,0.007589
536.00,0.007774
537.00,0.007961
538.00,0.008149
539.00,0.008337
540.00,0.008521
541.00,0.008698
542.00,0.008867
543.00,0.009030
544.00,0.009186
545.00,0.009336
546.00,0.009480
547.00,0.009619
548.00,0.009754
549.00,0.009885
550.00,0.010015
551.00,0.010145
552.00,0.010280
553.00,0.010421
554.00,0.010573
555.00,0.010737
556.00,0.010916
557.00,0.011114
558.00,0.011335
559.00,0.011584
560.00,0.011864
561.00,0.012180
562.00,0.012535
563.00,0.012932
564.00,0.013377
565.00,0.013873
566.00,0.014426
567.00,0.015043
568.00,0.015730
569.00,0.016490
570.00,0.017327
571.00,0.018244
572.00,0.019243
573.00,0.020326
574.00,0.021493
575.00,0.022743
576.00,0.024076
577.00,0.025488
578.00,0.026971
579.00,0.028513
580.00,0.030104
581.00,0.031728
582.00,0.033372
