wavelength_nm,reflectance
350.00,0.214771
351.00,0.214785
352.00,0.217492
353.00,0.220676
354.00,0.224815
355.00,0.230219
356.00,0.236534
357.00,0.243240
358.00,0.249929
359.00,0.256642
360.00,0.263533
361.00,0.270718
362.00,0.278154
363.00,0.285764
364.00,0.293475
365.00,0.301248
366.00,0.309051
367.00,0.316849
368.00,0.324593
369.00,0.332233
370.00,0.339714
371.00,0.346972
372.00,0.353941
373.00,0.360560
374.00,0.366801
375.00,0.372644
376.00,0.378080
377.00,0.383151
378.00,0.387908
379.00,0.392396
380.00,0.396627
381.00,0.400605
382.00,0.404336
383.00,0.407839
384.00,0.411134
385.00,0.414242
386.00,0.417174
387.00,0.419940
388.00,0.422552
389.00,0.425025
390.00,0.427376
391.00,0.429622
392.00,0.431780
393.00,0.433869
394.00,0.435900
395.00,0.437864
396.00,0.439747
397.00,0.441539
398.00,0.443260
399.00,0.444932
400.00,0.446576
401.00,0.448187
402.00,0.449754
403.00,0.451267
404.00,0.452713
405.00,0.454078
406.00,0.455355
407.00,0.456543
408.00,0.457649
409.00,0.458680
410.00,0.459645
411.00,0.460555
412.00,0.461421
413.00,0.462248
414.00,0.463041
415.00,0.463802
416.00,0.464531
417.00,0.465225
418.00,0.465884
419.00,0.466511
420.00,0.467116
421.00,0.467701
422.00,0.468265
423.00,0.468806
424.00,0.469321
425.00,0.469808
426.00,0.470265
427.00,0.470692
428.00,0.471100
429.00,0.471501
430.00,0.471904
431.00,0.472307
432.00,0.472702
433.00,0.473084
434.00,0.473449
435.00,0.473795
436.00,0.474123
437.00,0.474440
438.00,0.474754
439.00,0.475070
440.00,0.475383
441.00,0.475685
442.00,0.475969
443.00,0.476238
444.00,0.476501
445.00,0.476762
446.00,0.477020
447.00,0.477272
448.00,0.477517
449.00,0.477753
450.00,0.477983
451.00,0.478207
452.00,0.478429
453.00,0.478649
454.00,0.478867
455.00,0.479079
456.00,0.479273
457.00,0.479445
458.00,0.479599
459.00,0.479743
460.00,0.479885
461.00,0.480032
462.00,0.480198
463.00,0.480384
464.00,0.480575
465.00,0.480749
466.00,0.480889
467.00,0.481003
468.00,0.481107
469.00,0.481214
470.00,0.481332
471.00,0.481468
472.00,0.481623
473.00,0.481785
474.00,0.481939
475.00,0.482070
476.00,0.482186
477.00,0.482297
478.00,0.482411
479.00,0.482528
480.00,0.482643
481.00,0.482753
482.00,0.482856
483.00,0.482951
484.00,0.483036
485.00,0.483118
486.00,0.483201
487.00,0.483289
488.00,0.483379
489.00,0.483467
490.00,0.483548
491.00,0.483625
492.00,0.483698
493.00,0.483768
494.00,0.483837
495.00,0.483902
496.00,0.483965
497.00,0.484024
498.00,0.484079
499.00,0.484131
500.00,0.484180
501.00,0.484228
502.00,0.484273
503.00,0.484317
504.00,0.484358
505.00,0.484395
506.00,0.484429
507.00,0.484462
508.00,0.484494
509.00,0.484525
510.00,0.484555
511.00,0.484584
512.00,0.484613
513.00,0.484640
514.00,0.484667
515.00,0.484692
516.00,0.484713
517.00,0.484730
518.00,0.484747
519.00,0.484765
520.00,0.484789
521.00,0.484819
522.00,0.484855
523.00,0.484897
524.00,0.484943
525.00,0.484991
526.00,0.485037
527.00,0.485084
528.00,0.485134
529.00,0.485189
530.00,0.485249
531.00,0.485314
532.00,0.485384
533.00,0.485457
534.00,0.485532
535.00,0.485608
536.00,0.485685
537.00,0.485760
538.00,0.485834
539.00,0.485904
540.00,0.485967
541.00,0.486021
542.00,0.486066
543.00,0.486105
544.00,0.486138
545.00,0.486167
546.00,0.486193
547.00,0.486215
548.00,0.486231
549.00,0.486239
550.00,0.486238
551.00,0.486225
552.00,0.486202
553.00,0.486168
554.00,0.486127
555.00,0.486083
556.00,0.486037
557.00,0.485989
558.00,0.485936
559.00,0.485874
560.00,0.485807
561.00,0.485737
562.00,0.485666
563.00,0.485597
564.00,0.485531
565.00,0.485472
566.00,0.485418
567.00,0.485371
568.00,0.485331
569.00,0.485295
570.00,0.485266
571.00,0.485241
572.00,0.485223
573.00,0.485215
574.00,0.485219
575.00,0.485237
576.00,0.485270
577.00,0.485318
578.00,0.485384
579.00,0.485465
580.00,0.485564
581.00,0.485677
582.00,0.485801
583.00,0.485932
584.00,0.486069
585.00,0.486205
586.00,0.486338
587.00,0.486466
588.00,0.486589
589.00,0.486703
590.00,0.486804
591.00,0.486886
592.00,0.486943
593.00,0.486981
594.00,0.487007
595.00,0.487026
596.00,0.487044
597.00,0.487061
598.00,0.487082
599.00,0.487102
600.00,0.487119
601.00,0.487129
602.00,0.487137
603.00,0.487148
604.00,0.487165
605.00,0.487187
606.00,0.487214
607.00,0.487242
608.00,0.487276
609.00,0.487315
610.00,0.487363
611.00,0.487416
612.00,0.487473
613.00,0.487531
614.00,0.487594
615.00,0.487666
616.00,0.487750
617.00,0.487840
618.00,0.487930
619.00,0.488014
620.00,0.488093
621.00,0.488168
622.00,0.488242
623.00,0.488316
624.00,0.488388
625.00,0.488460
626.00,0.488534
627.00,0.488612
628.00,0.488699
629.00,0.488806
630.00,0.488942
631.00,0.489118
632.00,0.489323
633.00,0.489546
634.00,0.489775
635.00,0.490001
636.00,0.490218
637.00,0.490420
638.00,0.490612
639.00,0.490799
640.00,0.490985
641.00,0.491171
642.00,0.491358
643.00,0.491543
644.00,0.491725
645.00,0.491900
646.00,0.492066
647.00,0.492227
648.00,0.492386
649.00,0.492549
650.00,0.492715
651.00,0.492885
652.00,0.493061
653.00,0.493238
654.00,0.493413
655.00,0.493585
656.00,0.493753
657.00,0.493919
658.00,0.494082
659.00,0.494243
660.00,0.494399
661.00,0.494549
662.00,0.494691
663.00,0.494826
664.00,0.494954
665.00,0.495076
666.00,0.495195
667.00,0.495311
668.00,0.495424
669.00,0.495530
670.00,0.495630
671.00,0.495724
672.00,0.495816
673.00,0.495909
674.00,0.496004
675.00,0.496103
676.00,0.496208
677.00,0.496317
678.00,0.496426
679.00,0.496533
680.00,0.496639
681.00,0.496745
682.00,0.496850
683.00,0.496955
684.00,0.497059
685.00,0.497159
686.00,0.497257
687.00,0.497353
688.00,0.497447
689.00,0.497539
690.00,0.497627
691.00,0.497709
692.00,0.497786
693.00,0.497855
694.00,0.497917
695.00,0.497971
696.00,0.498016
697.00,0.498052
698.00,0.498080
699.00,0.498101
700.00,0.498118
701.00,0.498133
702.00,0.498151
703.00,0.498177
704.00,0.498216
705.00,0.498273
706.00,0.498350
707.00,0.498447
708.00,0.498560
709.00,0.498686
710.00,0.498816
711.00,0.498939
712.00,0.499049
713.00,0.499144
714.00,0.499226
715.00,0.499297
716.00,0.499358
717.00,0.499410
718.00,0.499454
719.00,0.499490
720.00,0.499517
721.00,0.499536
722.00,0.499550
723.00,0.499563
724.00,0.499580
725.00,0.499600
726.00,0.499623
727.00,0.499646
728.00,0.499669
729.00,0.499689
730.00,0.499704
731.00,0.499721
732.00,0.499745
733.00,0.499781
734.00,0.499825
735.00,0.499870
736.00,0.499910
737.00,0.499948
738.00,0.499984
739.00,0.500023
740.00,0.500064
741.00,0.500108
742.00,0.500155
743.00,0.500206
744.00,0.500261
745.00,0.500319
746.00,0.500374
747.00,0.500417
748.00,0.500443
749.00,0.500464
750.00,0.500496
751.00,0.500548
752.00,0.500618
753.00,0.500694
754.00,0.500767
755.00,0.500835
756.00,0.500891
757.00,0.500933
758.00,0.500966
759.00,0.500995
760.00,0.501027
761.00,0.501061
762.00,0.501094
763.00,0.501125
764.00,0.501155
765.00,0.501184
766.00,0.501213
767.00,0.501243
768.00,0.501273
769.00,0.501302
770.00,0.501332
771.00,0.501363
772.00,0.501395
773.00,0.501427
774.00,0.501457
775.00,0.501485
776.00,0.501512
777.00,0.501541
778.00,0.501572
779.00,0.501604
780.00,0.501633
781.00,0.501656
782.00,0.501676
783.00,0.501697
784.00,0.501722
785.00,0.501749
786.00,0.501778
787.00,0.501807
788.00,0.501835
789.00,0.501861
790.00,0.501883
791.00,0.501902
792.00,0.501919
793.00,0.501936
794.00,0.501951
795.00,0.501964
796.00,0.501973
797.00,0.501980
798.00,0.501985
799.00,0.501991
800.00,0.501998
801.00,0.502009
802.00,0.502024
803.00,0.502041
804.00,0.502058
805.00,0.502073
806.00,0.502086
807.00,0.502097
808.00,0.502105
809.00,0.502113
810.00,0.502122
811.00,0.502133
812.00,0.502147
813.00,0.502162
814.00,0.502179
815.00,0.502198
816.00,0.502220
817.00,0.502244
818.00,0.502269
819.00,0.502289
820.00,0.502302
821.00,0.502312
822.00,0.502323
823.00,0.502338
824.00,0.502357
825.00,0.502380
826.00,0.502406
827.00,0.502431
828.00,0.502451
829.00,0.502462
830.00,0.502465
831.00,0.502460
832.00,0.502451
833.00,0.502440
834.00,0.502432
835.00,0.502429
836.00,0.502428
837.00,0.502423
838.00,0.502407
839.00,0.502380
840.00,0.502339
841.00,0.502284
842.00,0.502218
843.00,0.502143
844.00,0.502063
845.00,0.501971
846.00,0.501863
847.00,0.501733
848.00,0.501579
849.00,0.501399
850.00,0.501193
851.00,0.500958
852.00,0.500693
853.00,0.500398
854.00,0.500069
855.00,0.499703
856.00,0.499296
857.00,0.498847
858.00,0.498354
859.00,0.497825
860.00,0.497296
861.00,0.496817
862.00,0.496431
863.00,0.496170
864.00,0.496066
865.00,0.496137
866.00,0.496362
867.00,0.496708
868.00,0.497142
869.00,0.497625
870.00,0.498118
871.00,0.498584
872.00,0.499002
873.00,0.499355
874.00,0.499628
875.00,0.499826
876.00,0.499959
877.00,0.500033
878.00,0.500057
879.00,0.500037
880.00,0.499982
881.00,0.499900
882.00,0.499801
883.00,0.499691
884.00,0.499565
885.00,0.499419
886.00,0.499247
887.00,0.499058
888.00,0.498861
889.00,0.498664
890.00,0.498470
891.00,0.498277
892.00,0.498087
893.00,0.497905
894.00,0.497737
895.00,0.497591
896.00,0.497466
897.00,0.497363
898.00,0.497281
899.00,0.497220
900.00,0.497179
901.00,0.497155
902.00,0.497155
903.00,0.497186
904.00,0.497249
905.00,0.497340
906.00,0.497449
907.00,0.497570
908.00,0.497699
909.00,0.497838
910.00,0.497986
911.00,0.498140
912.00,0.498299
913.00,0.498459
914.00,0.498618
915.00,0.498769
916.00,0.498910
917.00,0.499044
918.00,0.499178
919.00,0.499313
920.00,0.499445
921.00,0.499566
922.00,0.499669
923.00,0.499751
924.00,0.499809
925.00,0.499842
926.00,0.499860
927.00,0.499874
928.00,0.499891
929.00,0.499912
930.00,0.499932
931.00,0.499949
932.00,0.499964
933.00,0.499975
934.00,0.499984
935.00,0.499991
936.00,0.499996
937.00,0.499999
938.00,0.500001
939.00,0.500003
940.00,0.500004
941.00,0.500004
942.00,0.500000
943.00,0.499989
944.00,0.499974
945.00,0.499956
946.00,0.499938
947.00,0.499921
948.00,0.499905
949.00,0.499893
950.00,0.499881
951.00,0.499867
952.00,0.499849
953.00,0.499823
954.00,0.499788
955.00,0.499740
956.00,0.499684
957.00,0.499624
958.00,0.499566
959.00,0.499512
960.00,0.499466
961.00,0.499428
962.00,0.499393
963.00,0.499354
964.00,0.499305
965.00,0.499248
966.00,0.499185
967.00,0.499119
968.00,0.499057
969.00,0.499005
970.00,0.498964
971.00,0.498929
972.00,0.498888
973.00,0.498834
974.00,0.498770
975.00,0.498701
976.00,0.498631
977.00,0.498564
978.00,0.498498
979.00,0.498434
980.00,0.498368
981.00,0.498293
982.00,0.498208
983.00,0.498115
984.00,0.498020
985.00,0.497928
986.00,0.497841
987.00,0.497759
988.00,0.497683
989.00,0.497610
990.00,0.497538
991.00,0.497463
992.00,0.497394
993.00,0.497338
994.00,0.497297
995.00,0.497255
996.00,0.497188
997.00,0.497084
998.00,0.496975
999.00,0.496904
1000.00,0.496902
1001.00,0.496959
1002.00,0.497052
1003.00,0.497158
1004.00,0.497239
1005.00,0.497250
1006.00,0.497166
1007.00,0.497023
1008.00,0.496870
1009.00,0.496748
1010.00,0.496656
1011.00,0.496584
1012.00,0.496523
1013.00,0.496467
1014.00,0.496412
1015.00,0.496353
1016.00,0.496292
1017.00,0.496242
1018.00,0.496219
1019.00,0.496228
1020.00,0.496247
1021.00,0.496253
1022.00,0.496235
1023.00,0.496209
1024.00,0.496196
1025.00,0.496205
1026.00,0.496224
1027.00,0.496237
1028.00,0.496235
1029.00,0.496230
1030.00,0.496235
1031.00,0.496259
1032.00,0.496292
1033.00,0.496324
1034.00,0.496354
1035.00,0.496396
1036.00,0.496469
1037.00,0.496579
1038.00,0.496706
1039.00,0.496825
1040.00,0.496921
1041.00,0.497001
1042.00,0.497072
1043.00,0.497146
1044.00,0.497233
1045.00,0.497346
1046.00,0.497488
1047.00,0.497639
1048.00,0.497780
1049.00,0.497896
1050.00,0.497989
1051.00,0.498059
1052.00,0.498111
1053.00,0.498155
1054.00,0.498201
1055.00,0.498254
1056.00,0.498308
1057.00,0.498358
1058.00,0.498400
1059.00,0.498434
1060.00,0.498463
1061.00,0.498487
1062.00,0.498512
1063.00,0.498540
1064.00,0.498570
1065.00,0.498590
1066.00,0.498588
1067.00,0.498558
1068.00,0.498515
1069.00,0.498477
1070.00,0.498453
1071.00,0.498435
1072.00,0.498414
1073.00,0.498383
1074.00,0.498345
1075.00,0.498306
1076.00,0.498269
1077.00,0.498231
1078.00,0.498192
1079.00,0.498147
1080.00,0.498090
1081.00,0.498014
1082.00,0.497917
1083.00,0.497809
1084.00,0.497703
1085.00,0.497603
1086.00,0.497498
1087.00,0.497378
1088.00,0.497233
1089.00,0.497069
1090.00,0.496891
1091.00,0.496703
1092.00,0.496500
1093.00,0.496281
1094.00,0.496040
1095.00,0.495768
1096.00,0.495455
1097.00,0.495094
1098.00,0.494680
1099.00,0.494210
1100.00,0.493678
1101.00,0.493070
1102.00,0.492375
1103.00,0.491578
1104.00,0.490669
1105.00,0.489632
1106.00,0.488459
1107.00,0.487147
1108.00,0.485692
1109.00,0.484086
1110.00,0.482301
1111.00,0.480309
1112.00,0.478090
1113.00,0.475645
1114.00,0.472980
1115.00,0.470093
1116.00,0.466978
1117.00,0.463628
1118.00,0.460053
1119.00,0.456308
1120.00,0.452452
1121.00,0.448553
1122.00,0.444698
1123.00,0.440970
1124.00,0.437462
1125.00,0.434265
1126.00,0.431476
1127.00,0.429181
1128.00,0.427455
1129.00,0.426365
1130.00,0.425958
1131.00,0.426227
1132.00,0.427154
1133.00,0.428706
1134.00,0.430799
1135.00,0.433346
1136.00,0.436246
1137.00,0.439376
1138.00,0.442607
1139.00,0.445822
1140.00,0.448924
1141.00,0.451819
1142.00,0.454433
1143.00,0.456735
1144.00,0.458698
1145.00,0.460307
1146.00,0.461570
1147.00,0.462497
1148.00,0.463111
1149.00,0.463455
1150.00,0.463576
1151.00,0.463510
1152.00,0.463278
1153.00,0.462895
1154.00,0.462379
1155.00,0.461754
1156.00,0.461044
1157.00,0.460265
1158.00,0.459427
1159.00,0.458536
1160.00,0.457601
1161.00,0.456641
1162.00,0.455675
1163.00,0.454717
1164.00,0.453777
1165.00,0.452861
1166.00,0.451979
1167.00,0.451138
1168.00,0.450349
1169.00,0.449624
1170.00,0.448981
1171.00,0.448439
1172.00,0.448016
1173.00,0.447722
1174.00,0.447570
1175.00,0.447566
1176.00,0.447715
1177.00,0.448016
1178.00,0.448472
1179.00,0.449079
1180.00,0.449835
1181.00,0.450737
1182.00,0.451776
1183.00,0.452946
1184.00,0.454234
1185.00,0.455618
1186.00,0.457073
1187.00,0.458577
1188.00,0.460114
1189.00,0.461667
1190.00,0.463217
1191.00,0.464751
1192.00,0.466251
1193.00,0.467707
1194.00,0.469109
1195.00,0.470452
1196.00,0.471732
1197.00,0.472947
1198.00,0.474097
1199.00,0.475183
1200.00,0.476207
1201.00,0.477172
1202.00,0.478082
1203.00,0.478937
1204.00,0.479740
1205.00,0.480493
1206.00,0.481197
1207.00,0.481855
1208.00,0.482469
1209.00,0.483040
1210.00,0.483570
1211.00,0.484061
1212.00,0.484518
1213.00,0.484949
1214.00,0.485357
1215.00,0.485741
1216.00,0.486098
1217.00,0.486428
1218.00,0.486741
1219.00,0.487045
1220.00,0.487348
1221.00,0.487649
1222.00,0.487948
1223.00,0.488243
1224.00,0.488532
