wavelength_nm,reflectance
350.00,0.067975
351.00,0.067980
352.00,0.067984
353.00,0.068100
354.00,0.068259
355.00,0.068404
356.00,0.068529
357.00,0.068655
358.00,0.068816
359.00,0.069046
360.00,0.069356
361.00,0.069748
362.00,0.070219
363.00,0.070735
364.00,0.071247
365.00,0.071712
366.00,0.072158
367.00,0.072659
368.00,0.073279
369.00,0.074022
370.00,0.074857
371.00,0.075752
372.00,0.076692
373.00,0.077669
374.00,0.078680
375.00,0.079726
376.00,0.080816
377.00,0.081957
378.00,0.083170
379.00,0.084480
380.00,0.085909
381.00,0.087446
382.00,0.089060
383.00,0.090721
384.00,0.092427
385.00,0.094186
386.00,0.096010
387.00,0.097903
388.00,0.099864
389.00,0.101895
390.00,0.104002
391.00,0.106194
392.00,0.108477
393.00,0.110839
394.00,0.113251
395.00,0.115691
396.00,0.118155
397.00,0.120654
398.00,0.123198
399.00,0.125787
400.00,0.128412
401.00,0.131068
402.00,0.133753
403.00,0.136470
404.00,0.139218
405.00,0.141990
406.00,0.144773
407.00,0.147553
408.00,0.150321
409.00,0.153070
410.00,0.155792
411.00,0.158483
412.00,0.161141
413.00,0.163763
414.00,0.166343
415.00,0.168868
416.00,0.171330
417.00,0.173727
418.00,0.176065
419.00,0.178349
420.00,0.180575
421.00,0.182736
422.00,0.184825
423.00,0.186843
424.00,0.188795
425.00,0.190688
426.00,0.192526
427.00,0.194314
428.00,0.196055
429.00,0.197749
430.00,0.199391
431.00,0.200975
432.00,0.202506
433.00,0.203993
434.00,0.205443
435.00,0.206858
436.00,0.208237
437.00,0.209577
438.00,0.210882
439.00,0.212157
440.00,0.213408
441.00,0.214637
442.00,0.215847
443.00,0.217037
444.00,0.218205
445.00,0.219348
446.00,0.220463
447.00,0.221555
448.00,0.222635
449.00,0.223712
450.00,0.224787
451.00,0.225852
452.00,0.226901
453.00,0.227935
454.00,0.228957
455.00,0.229972
456.00,0.230979
457.00,0.231977
458.00,0.232966
459.00,0.233948
460.00,0.234929
461.00,0.235914
462.00,0.236898
463.00,0.237874
464.00,0.238836
465.00,0.239782
466.00,0.240718
467.00,0.241645
468.00,0.242567
469.00,0.243485
470.00,0.244400
471.00,0.245312
472.00,0.246219
473.00,0.247118
474.00,0.248012
475.00,0.248902
476.00,0.249790
477.00,0.250677
478.00,0.251561
479.00,0.252442
480.00,0.253322
481.00,0.254203
482.00,0.255088
483.00,0.255977
484.00,0.256868
485.00,0.257762
486.00,0.258658
487.00,0.259557
488.00,0.260462
489.00,0.261374
490.00,0.262292
491.00,0.263217
492.00,0.264149
493.00,0.265088
494.00,0.266035
495.00,0.266987
496.00,0.267946
497.00,0.268910
498.00,0.269877
499.00,0.270847
500.00,0.271818
501.00,0.272792
502.00,0.273771
503.00,0.274758
504.00,0.275752
505.00,0.276749
506.00,0.277748
507.00,0.278750
508.00,0.279758
509.00,0.280776
510.00,0.281803
511.00,0.282835
512.00,0.283870
513.00,0.284908
514.00,0.285951
515.00,0.287000
516.00,0.288058
517.00,0.289127
518.00,0.290208
519.00,0.291300
520.00,0.292397
521.00,0.293497
522.00,0.294601
523.00,0.295712
524.00,0.296835
525.00,0.297970
526.00,0.299115
527.00,0.300269
528.00,0.301430
529.00,0.302598
530.00,0.303774
531.00,0.304956
532.00,0.306144
533.00,0.307336
534.00,0.308534
535.00,0.309738
536.00,0.310951
537.00,0.312172
538.00,0.313400
539.00,0.314632
540.00,0.315870
541.00,0.317112
542.00,0.318359
543.00,0.319613
544.00,0.320873
545.00,0.322141
546.00,0.323414
547.00,0.324691
548.00,0.325967
549.00,0.327244
550.00,0.328525
551.00,0.329812
552.00,0.331105
553.00,0.332401
554.00,0.333698
555.00,0.334995
556.00,0.336296
557.00,0.337602
558.00,0.338914
559.00,0.340229
560.00,0.341548
561.00,0.342870
562.00,0.344196
563.00,0.345525
564.00,0.346858
565.00,0.348189
566.00,0.349518
567.00,0.350845
568.00,0.352173
569.00,0.353503
570.00,0.354836
571.00,0.356170
572.00,0.357505
573.00,0.358839
574.00,0.360173
575.00,0.361509
576.00,0.362844
577.00,0.364176
578.00,0.365504
579.00,0.366829
580.00,0.368149
581.00,0.369468
582.00,0.370784
583.00,0.372094
584.00,0.373396
585.00,0.374693
586.00,0.375990
587.00,0.377294
588.00,0.378604
589.00,0.379916
590.00,0.381226
591.00,0.382534
592.00,0.383840
593.00,0.385146
594.00,0.386453
595.00,0.387767
596.00,0.389091
597.00,0.390424
598.00,0.391763
599.00,0.393106
600.00,0.394456
601.00,0.395820
602.00,0.397206
