wavelength_nm,reflectance
350.00,0.023418
351.00,0.023419
352.00,0.023421
353.00,0.023383
354.00,0.023320
355.00,0.023238
356.00,0.023126
357.00,0.022971
358.00,0.022761
359.00,0.022488
360.00,0.022189
361.00,0.021930
362.00,0.021766
363.00,0.021665
364.00,0.021538
365.00,0.021307
366.00,0.020991
367.00,0.020668
368.00,0.020407
369.00,0.020213
370.00,0.020047
371.00,0.019874
372.00,0.019681
373.00,0.019467
374.00,0.019235
375.00,0.018999
376.00,0.018784
377.00,0.018611
378.00,0.018474
379.00,0.018348
380.00,0.018208
381.00,0.018033
382.00,0.017808
383.00,0.017520
384.00,0.017205
385.00,0.016931
386.00,0.016754
387.00,0.016653
388.00,0.016555
389.00,0.016397
390.00,0.016184
391.00,0.015963
392.00,0.015780
393.00,0.015637
394.00,0.015517
395.00,0.015402
396.00,0.015275
397.00,0.015124
398.00,0.014939
399.00,0.014744
400.00,0.014584
401.00,0.014498
402.00,0.014465
403.00,0.014428
404.00,0.014336
405.00,0.014196
406.00,0.014048
407.00,0.013931
408.00,0.013849
409.00,0.013783
410.00,0.013715
411.00,0.013635
412.00,0.013540
413.00,0.013425
414.00,0.013306
415.00,0.013209
416.00,0.013157
417.00,0.013147
418.00,0.013156
419.00,0.013163
420.00,0.013158
421.00,0.013133
422.00,0.013083
423.00,0.013016
424.00,0.012947
425.00,0.012891
426.00,0.012848
427.00,0.012812
428.00,0.012778
429.00,0.012745
430.00,0.012714
431.00,0.012687
432.00,0.012664
433.00,0.012645
434.00,0.012629
435.00,0.012616
436.00,0.012606
437.00,0.012600
438.00,0.012593
439.00,0.012576
440.00,0.012543
441.00,0.012500
442.00,0.012463
443.00,0.012447
444.00,0.012449
445.00,0.012455
446.00,0.012453
447.00,0.012445
448.00,0.012438
449.00,0.012441
450.00,0.012452
451.00,0.012463
452.00,0.012469
453.00,0.012466
454.00,0.012450
455.00,0.012421
456.00,0.012389
457.00,0.012371
458.00,0.012383
459.00,0.012417
460.00,0.012450
461.00,0.012461
462.00,0.012451
463.00,0.012434
464.00,0.012421
465.00,0.012417
466.00,0.012422
467.00,0.012436
468.00,0.012454
469.00,0.012468
470.00,0.012471
471.00,0.012467
472.00,0.012465
473.00,0.012474
474.00,0.012490
475.00,0.012502
476.00,0.012501
477.00,0.012489
478.00,0.012478
479.00,0.012477
480.00,0.012487
481.00,0.012503
482.00,0.012520
483.00,0.012533
484.00,0.012539
485.00,0.012535
486.00,0.012525
487.00,0.012513
488.00,0.012507
489.00,0.012506
490.00,0.012508
491.00,0.012509
492.00,0.012510
493.00,0.012514
494.00,0.012521
495.00,0.012530
496.00,0.012534
497.00,0.012530
498.00,0.012520
499.00,0.012511
500.00,0.012509
501.00,0.012513
502.00,0.012513
503.00,0.012503
504.00,0.012485
505.00,0.012465
506.00,0.012450
507.00,0.012440
508.00,0.012433
509.00,0.012426
510.00,0.012417
511.00,0.012409
512.00,0.012402
513.00,0.012395
514.00,0.012385
515.00,0.012371
516.00,0.012352
517.00,0.012330
518.00,0.012308
519.00,0.012287
520.00,0.012267
521.00,0.012247
522.00,0.012226
523.00,0.012204
524.00,0.012178
525.00,0.012151
526.00,0.012122
527.00,0.012094
528.00,0.012069
529.00,0.012049
530.00,0.012033
531.00,0.012019
532.00,0.012001
533.00,0.011972
534.00,0.011936
535.00,0.011900
536.00,0.011873
537.00,0.011852
538.00,0.011832
539.00,0.011807
540.00,0.011778
541.00,0.011747
542.00,0.011717
543.00,0.011691
544.00,0.011671
545.00,0.011656
