wavelength_nm,reflectance
350.00,0.409654
351.00,0.409679
352.00,0.410349
353.00,0.411128
354.00,0.412129
355.00,0.413422
356.00,0.414913
357.00,0.416468
358.00,0.417986
359.00,0.419499
360.00,0.421072
361.00,0.422755
362.00,0.424541
363.00,0.426407
364.00,0.428335
365.00,0.430327
366.00,0.432389
367.00,0.434535
368.00,0.436809
369.00,0.439264
370.00,0.441943
371.00,0.444853
372.00,0.447991
373.00,0.451357
374.00,0.454960
375.00,0.458813
376.00,0.462926
377.00,0.467321
378.00,0.472017
379.00,0.477027
380.00,0.482322
381.00,0.487867
382.00,0.493626
383.00,0.499567
384.00,0.505662
385.00,0.511879
386.00,0.518192
387.00,0.524574
388.00,0.530999
389.00,0.537443
390.00,0.543883
391.00,0.550296
392.00,0.556664
393.00,0.562966
394.00,0.569183
395.00,0.575297
396.00,0.581290
397.00,0.587145
398.00,0.592847
399.00,0.598383
400.00,0.603744
401.00,0.608936
402.00,0.613973
403.00,0.618865
404.00,0.623615
405.00,0.628223
406.00,0.632686
407.00,0.636980
408.00,0.641077
409.00,0.644951
410.00,0.648586
411.00,0.651966
412.00,0.655085
413.00,0.657954
414.00,0.660595
415.00,0.663037
416.00,0.665345
417.00,0.667593
418.00,0.669852
419.00,0.672163
420.00,0.674565
421.00,0.677079
422.00,0.679687
423.00,0.682355
424.00,0.685047
425.00,0.687709
426.00,0.690284
427.00,0.692728
428.00,0.695046
429.00,0.697258
430.00,0.699392
431.00,0.701503
432.00,0.703655
433.00,0.705905
434.00,0.708274
435.00,0.710773
436.00,0.713406
437.00,0.716136
438.00,0.718915
439.00,0.721696
440.00,0.724424
441.00,0.727048
442.00,0.729519
443.00,0.731822
444.00,0.733948
445.00,0.735890
446.00,0.737657
447.00,0.739258
448.00,0.740706
449.00,0.742015
450.00,0.743202
451.00,0.744284
452.00,0.745277
453.00,0.746193
454.00,0.747047
455.00,0.747843
456.00,0.748583
457.00,0.749267
458.00,0.749902
459.00,0.750490
460.00,0.751038
461.00,0.751553
462.00,0.752045
463.00,0.752517
464.00,0.752969
465.00,0.753391
466.00,0.753778
467.00,0.754127
468.00,0.754437
469.00,0.754706
470.00,0.754934
471.00,0.755120
472.00,0.755264
473.00,0.755370
474.00,0.755443
475.00,0.755486
476.00,0.755496
477.00,0.755472
478.00,0.755411
479.00,0.755314
480.00,0.755181
481.00,0.755015
482.00,0.754818
483.00,0.754593
484.00,0.754344
485.00,0.754071
486.00,0.753775
487.00,0.753454
488.00,0.753107
489.00,0.752734
490.00,0.752330
491.00,0.751895
492.00,0.751428
493.00,0.750928
494.00,0.750399
495.00,0.749843
496.00,0.749264
497.00,0.748662
498.00,0.748038
499.00,0.747390
500.00,0.746714
501.00,0.746005
502.00,0.745256
503.00,0.744464
504.00,0.743621
505.00,0.742726
506.00,0.741774
507.00,0.740764
508.00,0.739694
509.00,0.738563
510.00,0.737369
511.00,0.736111
512.00,0.734786
513.00,0.733389
514.00,0.731918
515.00,0.730372
516.00,0.728752
517.00,0.727058
518.00,0.725291
519.00,0.723449
520.00,0.721535
521.00,0.719550
522.00,0.717499
523.00,0.715386
524.00,0.713217
525.00,0.710999
526.00,0.708738
527.00,0.706433
528.00,0.704086
529.00,0.701695
530.00,0.699259
531.00,0.696775
532.00,0.694244
533.00,0.691667
534.00,0.689050
535.00,0.686396
536.00,0.683701
537.00,0.680962
538.00,0.678172
539.00,0.675328
540.00,0.672424
541.00,0.669455
542.00,0.666419
543.00,0.663311
544.00,0.660130
545.00,0.656868
546.00,0.653519
547.00,0.650078
548.00,0.646547
549.00,0.642930
550.00,0.639230
551.00,0.635452
552.00,0.631600
553.00,0.627679
554.00,0.623700
555.00,0.619677
556.00,0.615623
557.00,0.611556
558.00,0.607498
559.00,0.603466
560.00,0.599475
561.00,0.595540
562.00,0.591672
563.00,0.587881
564.00,0.584173
565.00,0.580557
566.00,0.577039
567.00,0.573625
568.00,0.570324
569.00,0.567139
570.00,0.564072
571.00,0.561126
572.00,0.558300
573.00,0.555591
574.00,0.552998
575.00,0.550522
576.00,0.548164
577.00,0.545924
578.00,0.543800
579.00,0.541790
580.00,0.539890
581.00,0.538091
582.00,0.536382
583.00,0.534753
584.00,0.533192
585.00,0.531685
586.00,0.530218
587.00,0.528779
588.00,0.527355
589.00,0.525934
590.00,0.524507
591.00,0.523067
592.00,0.521608
593.00,0.520128
594.00,0.518630
595.00,0.517116
596.00,0.515593
597.00,0.514067
598.00,0.512547
599.00,0.511036
600.00,0.509539
601.00,0.508061
602.00,0.506607
603.00,0.505183
604.00,0.503797
605.00,0.502456
606.00,0.501173
607.00,0.499956
608.00,0.498812
609.00,0.497749
610.00,0.496771
611.00,0.495881
612.00,0.495081
613.00,0.494369
614.00,0.493739
615.00,0.493185
616.00,0.492697
617.00,0.492270
618.00,0.491899
619.00,0.491576
620.00,0.491294
621.00,0.491044
622.00,0.490820
623.00,0.490618
624.00,0.490435
625.00,0.490268
626.00,0.490114
627.00,0.489968
628.00,0.489827
629.00,0.489691
630.00,0.489556
631.00,0.489423
632.00,0.489297
633.00,0.489182
634.00,0.489086
635.00,0.489018
636.00,0.488988
637.00,0.489006
638.00,0.489084
639.00,0.489232
640.00,0.489462
641.00,0.489774
642.00,0.490170
643.00,0.490651
644.00,0.491210
645.00,0.491846
646.00,0.492552
647.00,0.493324
648.00,0.494159
649.00,0.495053
650.00,0.496006
651.00,0.497018
652.00,0.498090
653.00,0.499217
654.00,0.500394
655.00,0.501619
656.00,0.502878
657.00,0.504161
658.00,0.505452
659.00,0.506731
660.00,0.507971
661.00,0.509149
662.00,0.510247
663.00,0.511247
664.00,0.512135
665.00,0.512904
666.00,0.513550
667.00,0.514071
668.00,0.514466
669.00,0.514733
670.00,0.514876
671.00,0.514904
672.00,0.514833
673.00,0.514674
674.00,0.514446
675.00,0.514165
676.00,0.513846
677.00,0.513498
678.00,0.513130
679.00,0.512748
680.00,0.512356
681.00,0.511959
682.00,0.511559
683.00,0.511155
684.00,0.510743
685.00,0.510318
686.00,0.509861
687.00,0.509346
688.00,0.508753
689.00,0.508065
690.00,0.507269
691.00,0.506356
692.00,0.505330
693.00,0.504201
694.00,0.502979
695.00,0.501671
696.00,0.500283
697.00,0.498824
698.00,0.497308
699.00,0.495749
700.00,0.494164
701.00,0.492573
