wavelength_nm,reflectance
300.00,0.054900
302.00,0.055300
304.00,0.055600
306.00,0.055800
308.00,0.055900
310.00,0.056000
312.00,0.056100
314.00,0.056100
316.00,0.056000
318.00,0.055700
320.00,0.055400
322.00,0.055200
324.00,0.055000
326.00,0.054800
328.00,0.054500
330.00,0.054300
332.00,0.054200
334.00,0.054000
336.00,0.053900
338.00,0.053900
340.00,0.053900
342.00,0.054100
344.00,0.054300
346.00,0.054800
348.00,0.055300
350.00,0.056100
352.00,0.057000
354.00,0.058100
356.00,0.059400
358.00,0.060800
360.00,0.062500
362.00,0.064400
364.00,0.066600
366.00,0.069000
368.00,0.071700
370.00,0.074800
372.00,0.078300
374.00,0.082100
376.00,0.086700
378.00,0.092700
380.00,0.099900
382.00,0.107500
384.00,0.116700
386.00,0.127800
388.00,0.140900
390.00,0.156100
392.00,0.173300
394.00,0.192300
396.00,0.212600
398.00,0.233500
400.00,0.254500
402.00,0.274800
404.00,0.293900
406.00,0.311100
408.00,0.326000
410.00,0.338500
412.00,0.349000
414.00,0.357500
416.00,0.364600
418.00,0.370700
420.00,0.376000
422.00,0.380700
424.00,0.385100
426.00,0.389300
428.00,0.393300
430.00,0.397300
432.00,0.401100
434.00,0.404700
436.00,0.408400
438.00,0.411900
440.00,0.415100
442.00,0.417900
444.00,0.420500
446.00,0.423000
448.00,0.425200
450.00,0.427200
452.00,0.429100
454.00,0.430800
456.00,0.432400
458.00,0.434000
460.00,0.435700
462.00,0.437400
464.00,0.438800
466.00,0.440200
468.00,0.441700
470.00,0.443100
472.00,0.444600
474.00,0.446200
476.00,0.448000
478.00,0.449500
480.00,0.451200
482.00,0.452900
484.00,0.454500
486.00,0.456200
488.00,0.458200
490.00,0.460200
492.00,0.462300
494.00,0.464600
496.00,0.467100
498.00,0.469400
500.00,0.471700
502.00,0.473900
504.00,0.476000
506.00,0.478100
508.00,0.480200
510.00,0.482100
512.00,0.483900
514.00,0.485800
516.00,0.487800
518.00,0.489600
520.00,0.491300
522.00,0.493100
524.00,0.494900
526.00,0.496700
528.00,0.498500
530.00,0.500100
532.00,0.501800
534.00,0.503500
536.00,0.505200
538.00,0.506800
540.00,0.508300
542.00,0.509900
544.00,0.511400
546.00,0.512900
548.00,0.514500
550.00,0.516000
552.00,0.517400
554.00,0.518900
556.00,0.520200
558.00,0.521600
560.00,0.522800
562.00,0.523900
564.00,0.525100
566.00,0.526400
568.00,0.527600
570.00,0.528800
572.00,0.530100
574.00,0.531100
576.00,0.532200
578.00,0.533200
580.00,0.534200
582.00,0.535100
584.00,0.536200
586.00,0.537000
588.00,0.538000
590.00,0.538800
592.00,0.539600
594.00,0.540400
596.00,0.541300
598.00,0.542000
600.00,0.542700
602.00,0.543400
604.00,0.544300
606.00,0.545000
608.00,0.545600
610.00,0.546300
612.00,0.547000
614.00,0.547600
616.00,0.548200
618.00,0.548900
620.00,0.549600
622.00,0.550300
624.00,0.550900
626.00,0.551400
628.00,0.552100
630.00,0.552700
632.00,0.553300
634.00,0.553900
636.00,0.554500
638.00,0.555100
640.00,0.555700
642.00,0.556300
644.00,0.556800
646.00,0.557400
648.00,0.558000
650.00,0.558700
652.00,0.559200
654.00,0.559800
656.00,0.560400
658.00,0.560900
660.00,0.561500
662.00,0.562100
664.00,0.562800
666.00,0.563300
668.00,0.563700
670.00,0.564100
672.00,0.564700
674.00,0.565500
676.00,0.566100
678.00,0.566500
680.00,0.566800
682.00,0.567500
684.00,0.568000
686.00,0.568400
688.00,0.568900
690.00,0.569600
692.00,0.570000
694.00,0.570500
696.00,0.571100
698.00,0.571800
700.00,0.572200
702.00,0.572800
704.00,0.573300
706.00,0.573600
708.00,0.574200
710.00,0.574700
712.00,0.575200
714.00,0.575700
716.00,0.576100
718.00,0.576600
720.00,0.577000
722.00,0.577500
724.00,0.578200
726.00,0.578600
728.00,0.578800
730.00,0.579400
732.00,0.579900
734.00,0.580400
736.00,0.580700
738.00,0.581000
740.00,0.581300
742.00,0.581800
744.00,0.582400
746.00,0.582800
748.00,0.583100
750.00,0.583300
752.00,0.583800
754.00,0.584100
756.00,0.584600
758.00,0.585000
760.00,0.585400
762.00,0.585800
764.00,0.586200
766.00,0.586700
768.00,0.587100
770.00,0.587500
772.00,0.588100
774.00,0.588400
776.00,0.588800
778.00,0.589600
780.00,0.590000
782.00,0.590400
784.00,0.590800
786.00,0.591000
788.00,0.591500
790.00,0.591900
792.00,0.592200
794.00,0.592400
796.00,0.592900
798.00,0.593200
800.00,0.593400
820.00,0.596200
840.00,0.599300
860.00,0.602300
880.00,0.600600
900.00,0.599500
920.00,0.597600
940.00,0.599700
960.00,0.606200
980.00,0.610500
1000.00,0.613400
1020.00,0.615800
1040.00,0.617600
1060.00,0.621300
1080.00,0.625500
1100.00,0.627900
1120.00,0.630300
1140.00,0.629300
1160.00,0.620800
1180.00,0.606700
1200.00,0.588600
1220.00,0.592300
1240.00,0.620600
1260.00,0.632700
1280.00,0.638100
1300.00,0.640300
1320.00,0.642700
1340.00,0.642300
1360.00,0.634500
1380.00,0.609100
1400.00,0.587200
1420.00,0.577200
1440.00,0.579900
1460.00,0.587100
1480.00,0.594800
1500.00,0.602900
1520.00,0.608300
1540.00,0.611800
1560.00,0.615800
1580.00,0.618100
1600.00,0.618800
1620.00,0.619000
1640.00,0.615200
1660.00,0.607800
1680.00,0.587200
1700.00,0.518300
1720.00,0.440000
1740.00,0.445000
1760.00,0.459000
1780.00,0.486700
1800.00,0.495200
1820.00,0.497600
1840.00,0.503700
1860.00,0.512000
1880.00,0.508100
1900.00,0.483100
1920.00,0.451100
1940.00,0.434800
1960.00,0.431800
1980.00,0.436200
2000.00,0.443200
2020.00,0.452500
2040.00,0.460300
2060.00,0.466100
2080.00,0.472400
2100.00,0.476100
2120.00,0.479200
2140.00,0.476800
2160.00,0.473800
2180.00,0.470000
2200.00,0.460800
2220.00,0.443000
2240.00,0.412000
2260.00,0.364559
2280.00,0.287233
2300.00,0.216291
2320.00,0.212992
2340.00,0.214065
2360.00,0.200399
2380.00,0.200654
2400.00,0.197492
2420.00,0.204416
2440.00,0.208180
2460.00,0.211899
2480.00,0.215242
2500.00,0.217159
2520.00,0.219471
2540.00,0.221926
2560.00,0.226884
2580.00,0.230323
2600.00,0.229013
2620.00,0.228428
2640.00,0.229274
2660.00,0.223384
2680.00,0.204807
2700.00,0.158399
2720.00,0.113161
2740.00,0.087508
2760.00,0.074682
2780.00,0.068068
2800.00,0.063518
2820.00,0.059943
2840.00,0.058281
2860.00,0.057468
2880.00,0.053679
2900.00,0.051831
2920.00,0.055345
2940.00,0.052917
2960.00,0.054444
2980.00,0.054744
3000.00,0.054966
3020.00,0.055236
3040.00,0.056827
3060.00,0.054449
3080.00,0.058326
3100.00,0.058775
3120.00,0.058644
3140.00,0.059048
3160.00,0.059961
3180.00,0.060472
3200.00,0.061538
3220.00,0.062857
3240.00,0.064145
3260.00,0.061296
3280.00,0.062630
3300.00,0.064627
3320.00,0.061980
3340.00,0.059614
3360.00,0.052759
3380.00,0.046731
3400.00,0.040545
3420.00,0.038586
3440.00,0.043004
3460.00,0.048830
3480.00,0.047238
3500.00,0.044028
3520.00,0.048590
3540.00,0.057149
3560.00,0.061946
3580.00,0.066302
3600.00,0.069795
3620.00,0.071582
3640.00,0.072849
3660.00,0.073640
3680.00,0.073865
3700.00,0.073479
3720.00,0.073330
3740.00,0.074498
3760.00,0.074532
3780.00,0.075468
3800.00,0.072920
3820.00,0.070772
3840.00,0.068792
3860.00,0.068759
3880.00,0.068063
3900.00,0.068188
3920.00,0.067213
3940.00,0.061289
3960.00,0.059850
3980.00,0.057840
4000.00,0.060539
4020.00,0.066342
4040.00,0.073959
4060.00,0.080711
4080.00,0.082852
4100.00,0.084403
4120.00,0.083809
4140.00,0.085192
4160.00,0.085009
4180.00,0.085599
4200.00,0.083622
4220.00,0.083045
4240.00,0.081100
4260.00,0.081879
4280.00,0.080596
4300.00,0.079038
4320.00,0.078795
4340.00,0.078824
4360.00,0.079797
4380.00,0.079048
4400.00,0.079324
4420.00,0.079997
4440.00,0.080249
4460.00,0.080084
4480.00,0.078261
4500.00,0.077313
4520.00,0.078752
4540.00,0.077514
4560.00,0.077792
4580.00,0.077296
4600.00,0.076898
4620.00,0.076216
4640.00,0.074839
4660.00,0.073053
4680.00,0.073574
4700.00,0.074845
4720.00,0.078194
4740.00,0.080014
4760.00,0.079925
4780.00,0.080727
4800.00,0.081561
4820.00,0.080245
4840.00,0.080319
4860.00,0.080620
4880.00,0.079542
4900.00,0.079515
4920.00,0.079711
4940.00,0.079589
4960.00,0.081442
4980.00,0.083909
5000.00,0.085590
5100.00,0.087284
5200.00,0.089573
5300.00,0.090919
5400.00,0.089996
5500.00,0.073331
5600.00,0.053604
5700.00,0.058554
5800.00,0.047967
5900.00,0.048730
6000.00,0.048192
6100.00,0.046716
6200.00,0.049551
6300.00,0.059077
6400.00,0.075556
6500.00,0.087704
6600.00,0.080626
6700.00,0.064823
6800.00,0.046616
6900.00,0.044167
7000.00,0.044698
7100.00,0.048449
7200.00,0.052233
7300.00,0.059694
7400.00,0.069177
7500.00,0.066426
7600.00,0.056015
7700.00,0.055303
7800.00,0.051435
7900.00,0.046024
8000.00,0.041884
8100.00,0.039202
8200.00,0.036756
8300.00,0.034461
8400.00,0.033064
8500.00,0.031948
8600.00,0.031691
8700.00,0.032857
8800.00,0.035386
8900.00,0.037394
9000.00,0.037660
9100.00,0.037398
9200.00,0.038672
9300.00,0.037614
9400.00,0.037484
9500.00,0.038799
9600.00,0.041280
9700.00,0.043701
9800.00,0.047594
9900.00,0.047020
10000.00,0.043480
10100.00,0.041272
10200.00,0.037655
10300.00,0.035387
10400.00,0.033506
10500.00,0.032709
10600.00,0.030962
10700.00,0.029483
10800.00,0.028938
10900.00,0.027677
11000.00,0.026499
11100.00,0.027419
11200.00,0.029883
11300.00,0.029636
11400.00,0.026873
11500.00,0.027187
11600.00,0.023353
11700.00,0.019316
11800.00,0.018522
11900.00,0.019320
12000.00,0.017168
12100.00,0.019369
12200.00,0.016074
12300.00,0.014744
12400.00,0.015814
12500.00,0.020147
12600.00,0.020522
12700.00,0.021533
12800.00,0.023137
12900.00,0.029069
13000.00,0.028414
13100.00,0.029926
13200.00,0.039291
13300.00,0.037673
13400.00,0.039869
13500.00,0.043535
13600.00,0.047411
13700.00,0.051451
13800.00,0.055131
13900.00,0.057097
14000.00,0.060407
