wavelength_nm,reflectance
350.00,0.044791
351.00,0.044794
352.00,0.047987
353.00,0.050128
354.00,0.050166
355.00,0.047593
356.00,0.044075
357.00,0.041825
358.00,0.042446
359.00,0.045103
360.00,0.048349
361.00,0.050927
362.00,0.052329
363.00,0.052236
364.00,0.050627
365.00,0.048677
366.00,0.047863
367.00,0.049132
368.00,0.051343
369.00,0.052829
370.00,0.052457
371.00,0.051243
372.00,0.050735
373.00,0.052052
374.00,0.054579
375.00,0.057274
376.00,0.059286
377.00,0.060547
378.00,0.061184
379.00,0.061307
380.00,0.060951
381.00,0.060137
382.00,0.058998
383.00,0.058129
384.00,0.058239
385.00,0.059741
386.00,0.061871
387.00,0.063572
388.00,0.064080
389.00,0.063813
390.00,0.063481
391.00,0.063625
392.00,0.064103
393.00,0.064600
394.00,0.064851
395.00,0.064780
396.00,0.064359
397.00,0.063666
398.00,0.063214
399.00,0.063625
400.00,0.065237
401.00,0.067267
402.00,0.068652
403.00,0.068660
404.00,0.067896
405.00,0.067297
406.00,0.067546
407.00,0.068308
408.00,0.068994
409.00,0.069165
410.00,0.068976
411.00,0.068732
412.00,0.068684
413.00,0.068870
414.00,0.069274
415.00,0.069855
416.00,0.070467
417.00,0.070938
418.00,0.071149
419.00,0.071176
420.00,0.071150
421.00,0.071164
422.00,0.071165
423.00,0.071069
424.00,0.070833
425.00,0.070584
426.00,0.070498
427.00,0.070690
428.00,0.071050
429.00,0.071409
430.00,0.071641
431.00,0.071771
432.00,0.071863
433.00,0.071961
434.00,0.072029
435.00,0.072008
436.00,0.071866
437.00,0.071685
438.00,0.071571
439.00,0.071604
440.00,0.071762
441.00,0.071992
442.00,0.072242
443.00,0.072449
444.00,0.072548
445.00,0.072504
446.00,0.072406
447.00,0.072370
448.00,0.072467
449.00,0.072564
450.00,0.072481
451.00,0.072109
452.00,0.071643
453.00,0.071350
454.00,0.071419
455.00,0.071732
456.00,0.072095
457.00,0.072339
458.00,0.072416
459.00,0.072305
460.00,0.072016
461.00,0.071674
462.00,0.071435
463.00,0.071402
464.00,0.071468
465.00,0.071474
466.00,0.071312
467.00,0.071069
468.00,0.070881
469.00,0.070849
470.00,0.070926
471.00,0.071030
472.00,0.071089
473.00,0.071078
474.00,0.070982
475.00,0.070800
476.00,0.070577
477.00,0.070371
478.00,0.070230
479.00,0.070173
480.00,0.070210
481.00,0.070331
482.00,0.070452
483.00,0.070466
484.00,0.070311
485.00,0.070095
486.00,0.069970
487.00,0.070032
488.00,0.070167
489.00,0.070207
490.00,0.070033
491.00,0.069719
