wavelength_nm,HDPE_white_GDS384,HDPE_black_GDS351,LDPE_white_GDS404,PET_clear_GDS380,PET_brown_GDS379,Polystyrene_blue_GDS345,ABS_black_GDS341,Polyester_black_GDS434,Nylon_olive_GDS428,Cotton_white_GDS437,Concrete_grey_GDS375,Brick_red_GDS349,Asphalt_black_GDS376,Asphalt_tar_GDS346,Cedar_fresh_GDS357,Cedar_weathered_GDS361,Pine_beam_GDS363,GreenVeg_aspen,DryGrass_golden_GDS480,DryNPV_Dspicata,BareSoil_playa,Water_turbid,IronOxide_GDS782,Goethite_GDS134,Cellulose_SAC6288,Lignin_SA370959
350,0.089805,0.124736,0.043892,0.214771,0.011269,0.409654,0.026710,0.023418,0.067677,0.209308,0.152649,0.055043,0.054641,0.027595,0.022122,0.071276,0.067975,,0.025240,,0.136302,0.044791,0.012291,0.019055,0.809595,0.010790
351,0.089810,0.124744,0.043895,0.214785,0.011270,0.409679,0.026712,0.023419,0.067681,0.209320,0.152658,0.055046,0.054644,0.027597,0.022123,0.071280,0.067980,,0.025242,,0.136311,0.044794,0.013077,0.019056,0.808724,0.010956
352,0.089817,0.124646,0.043898,0.217492,0.011334,0.410349,0.026660,0.023421,0.067685,0.209335,0.152669,0.055050,0.054626,0.027510,0.022124,0.071285,0.067984,,0.025244,0.139940,0.136915,0.047987,0.013604,0.018861,0.807555,0.011572
353,0.090037,0.124570,0.044202,0.220676,0.011401,0.411128,0.026606,0.023383,0.068010,0.208731,0.152829,0.054992,0.054609,0.027424,0.022113,0.071399,0.068100,,0.025245,0.138979,0.137518,0.050128,0.013031,0.018666,0.806470,0.012490
354,0.090350,0.124539,0.044678,0.224815,0.011472,0.412129,0.026547,0.023320,0.068443,0.207876,0.153065,0.054911,0.054594,0.027342,0.022092,0.071562,0.068259,,0.025247,0.138486,0.138117,0.050166,0.012799,0.018473,0.805728,0.012418
355,0.090661,0.124572,0.045267,0.230219,0.011553,0.413422,0.026485,0.023238,0.068803,0.207058,0.153330,0.054839,0.054581,0.027264,0.022062,0.071726,0.068404,,0.025204,0.139268,0.138711,0.047593,0.013201,0.018285,0.805388,0.012604
356,0.090975,0.124665,0.046026,0.236534,0.011648,0.414913,0.026424,0.023126,0.069051,0.206294,0.153635,0.054779,0.054578,0.027193,0.022019,0.071894,0.068529,,0.025173,0.139760,0.139297,0.044075,0.013242,0.018114,0.805407,0.012803
357,0.091349,0.124814,0.046962,0.243240,0.011766,0.416468,0.026374,0.022971,0.069184,0.205593,0.153976,0.054723,0.054593,0.027130,0.021964,0.072067,0.068655,,0.025168,0.138961,0.139871,0.041825,0.013235,0.017977,0.805565,0.012805
358,0.091869,0.125006,0.048048,0.249929,0.011913,0.417986,0.026340,0.022761,0.069218,0.204962,0.154332,0.054655,0.054630,0.027076,0.021905,0.072246,0.068816,,0.025195,0.138646,0.140434,0.042446,0.013189,0.017878,0.805157,0.013018
359,0.092613,0.125212,0.049258,0.256642,0.012099,0.419499,0.026319,0.022488,0.069174,0.204405,0.154689,0.054560,0.054681,0.027025,0.021850,0.072433,0.069046,,0.025241,0.138438,0.140990,0.045103,0.013101,0.017791,0.806213,0.013178
